time,ego_speed,acceleration_cmd,mode,distance_error,distance,ttc
0.0,0.3,3.0,cruise,,,
0.1,0.6,3.0,cruise,,,
0.2,0.9,3.0,cruise,,,
0.3,1.2,3.0,cruise,,,
0.4,1.5,3.0,cruise,,,
0.5,1.8,3.0,cruise,,,
0.6,2.1,3.0,cruise,,,
0.7,2.4,3.0,cruise,,,
0.8,2.7,3.0,cruise,,,
0.9,3.0,3.0,cruise,,,
1.0,3.3,3.0,cruise,,,
1.1,3.6,3.0,cruise,,,
1.2,3.9,3.0,cruise,,,
1.3,4.2,3.0,cruise,,,
1.4,4.5,3.0,cruise,,,
1.5,4.8,3.0,cruise,,,
1.6,5.1,3.0,cruise,,,
1.7,5.4,3.0,cruise,,,
1.8,5.7,3.0,cruise,,,
1.9,6.0,3.0,cruise,,,
2.0,6.3,3.0,cruise,,,
2.1,6.6,3.0,cruise,,,
2.2,6.9,3.0,cruise,,,
2.3,7.2,3.0,cruise,,,
2.4,7.5,3.0,cruise,,,
2.5,7.8,3.0,cruise,,,
2.6,8.1,3.0,cruise,,,
2.7,8.4,3.0,cruise,,,
2.8,8.7,3.0,cruise,,,
2.9,9.0,3.0,cruise,,,
3.0,9.3,3.0,cruise,,,
3.1,9.6,3.0,cruise,,,
3.2,9.9,3.0,cruise,,,
3.3,10.2,3.0,cruise,,,
3.4,10.5,3.0,cruise,,,
3.5,10.8,3.0,cruise,,,
3.6,11.1,3.0,cruise,,,
3.7,11.4,3.0,cruise,,,
3.8,11.7,3.0,cruise,,,
3.9,12.0,3.0,cruise,,,
4.0,12.3,3.0,cruise,,,
4.1,12.6,3.0,cruise,,,
4.2,12.9,3.0,cruise,,,
4.3,13.2,3.0,cruise,,,
4.4,13.5,3.0,cruise,,,
4.5,13.8,3.0,cruise,,,
4.6,14.1,3.0,cruise,,,
4.7,14.4,3.0,cruise,,,
4.8,14.7,3.0,cruise,,,
4.9,15.0,3.0,cruise,,,
5.0,15.3,3.0,cruise,,,
5.1,15.6,3.0,cruise,,,
5.2,15.9,3.0,cruise,,,
5.3,16.2,3.0,cruise,,,
5.4,16.5,3.0,cruise,,,
5.5,16.8,3.0,cruise,,,
5.6,17.1,3.0,cruise,,,
5.7,17.4,3.0,cruise,,,
5.8,17.7,3.0,cruise,,,
5.9,18.0,3.0,cruise,,,
6.0,18.3,3.0,cruise,,,
6.1,18.6,3.0,cruise,,,
6.2,18.9,3.0,cruise,,,
6.3,19.2,3.0,cruise,,,
6.4,19.5,3.0,cruise,,,
6.5,19.8,3.0,cruise,,,
6.6,20.1,3.0,cruise,,,
6.7,20.4,3.0,cruise,,,
6.8,20.7,3.0,cruise,,,
6.9,21.0,3.0,cruise,,,
7.0,21.3,3.0,cruise,,,
7.1,21.6,3.0,cruise,,,
7.2,21.9,3.0,cruise,,,
7.3,22.2,3.0,cruise,,,
7.4,22.5,3.0,cruise,,,
7.5,22.8,3.0,cruise,,,
7.6,23.1,3.0,cruise,,,
7.7,23.4,3.0,cruise,,,
7.8,23.7,3.0,cruise,,,
7.9,24.0,3.0,cruise,,,
8.0,24.3,3.0,cruise,,,
8.1,24.6,3.0,cruise,,,
8.2,24.9,3.0,cruise,,,
8.3,25.2,3.0,cruise,,,
8.4,25.5,3.0,cruise,,,
8.5,25.8,3.0,cruise,,,
8.6,26.1,3.0,cruise,,,
8.7,26.4,3.0,cruise,,,
8.8,26.7,3.0,cruise,,,
8.9,27.0,3.0,cruise,,,
9.0,27.3,3.0,cruise,,,
9.1,27.6,3.0,cruise,,,
9.2,27.9,3.0,cruise,,,
9.3,28.2,3.0,cruise,,,
9.4,28.5,3.0,cruise,,,
9.5,28.8,3.0,cruise,,,
9.6,29.1,3.0,cruise,,,
9.7,29.4,3.0,cruise,,,
9.8,29.7,3.0,cruise,,,
9.9,30.0,3.0,cruise,,,
10.0,30.0,0.0,cruise,,,
10.1,30.0,0.0,cruise,,,
10.2,30.0,0.0,cruise,,,
10.3,30.0,0.0,cruise,,,
10.4,30.0,0.0,cruise,,,
10.5,30.0,0.0,cruise,,,
10.6,30.0,0.0,cruise,,,
10.7,30.0,0.0,cruise,,,
10.8,30.0,0.0,cruise,,,
10.9,30.0,0.0,cruise,,,
11.0,30.0,0.0,cruise,,,
11.1,30.0,0.0,cruise,,,
11.2,30.0,0.0,cruise,,,
11.3,30.0,0.0,cruise,,,
11.4,30.0,0.0,cruise,,,
11.5,30.0,0.0,cruise,,,
11.6,30.0,0.0,cruise,,,
11.7,30.0,0.0,cruise,,,
11.8,30.0,0.0,cruise,,,
11.9,30.0,0.0,cruise,,,
12.0,30.0,0.0,cruise,,,
12.1,30.0,0.0,cruise,,,
12.2,30.0,0.0,cruise,,,
12.3,30.0,0.0,cruise,,,
12.4,30.0,0.0,cruise,,,
12.5,30.0,0.0,cruise,,,
12.6,30.0,0.0,cruise,,,
12.7,30.0,0.0,cruise,,,
12.8,30.0,0.0,cruise,,,
12.9,30.0,0.0,cruise,,,
13.0,30.0,0.0,cruise,,,
13.1,30.0,0.0,cruise,,,
13.2,30.0,0.0,cruise,,,
13.3,30.0,0.0,cruise,,,
13.4,30.0,0.0,cruise,,,
13.5,30.0,0.0,cruise,,,
13.6,30.0,0.0,cruise,,,
13.7,30.0,0.0,cruise,,,
13.8,30.0,0.0,cruise,,,
13.9,30.0,0.0,cruise,,,
14.0,30.0,0.0,cruise,,,
14.1,30.0,0.0,cruise,,,
14.2,30.0,0.0,cruise,,,
14.3,30.0,0.0,cruise,,,
14.4,30.0,0.0,cruise,,,
14.5,30.0,0.0,cruise,,,
14.6,30.0,0.0,cruise,,,
14.7,30.0,0.0,cruise,,,
14.8,30.0,0.0,cruise,,,
14.9,30.0,0.0,cruise,,,
15.0,30.0,0.0,cruise,,,
15.1,30.0,0.0,cruise,,,
15.2,30.0,0.0,cruise,,,
15.3,30.0,0.0,cruise,,,
15.4,30.0,0.0,cruise,,,
15.5,30.0,0.0,cruise,,,
15.6,30.0,0.0,cruise,,,
15.7,30.0,0.0,cruise,,,
15.8,30.0,0.0,cruise,,,
15.9,30.0,0.0,cruise,,,
16.0,30.0,0.0,cruise,,,
16.1,30.0,0.0,cruise,,,
16.2,30.0,0.0,cruise,,,
16.3,30.0,0.0,cruise,,,
16.4,30.0,0.0,cruise,,,
16.5,30.0,0.0,cruise,,,
16.6,30.0,0.0,cruise,,,
16.7,30.0,0.0,cruise,,,
16.8,30.0,0.0,cruise,,,
16.9,30.0,0.0,cruise,,,
17.0,30.0,0.0,cruise,,,
17.1,30.0,0.0,cruise,,,
17.2,30.0,0.0,cruise,,,
17.3,30.0,0.0,cruise,,,
17.4,30.0,0.0,cruise,,,
17.5,30.0,0.0,cruise,,,
17.6,30.0,0.0,cruise,,,
17.7,30.0,0.0,cruise,,,
17.8,30.0,0.0,cruise,,,
17.9,30.0,0.0,cruise,,,
18.0,30.0,0.0,cruise,,,
18.1,30.0,0.0,cruise,,,
18.2,30.0,0.0,cruise,,,
18.3,30.0,0.0,cruise,,,
18.4,30.0,0.0,cruise,,,
18.5,30.0,0.0,cruise,,,
18.6,30.0,0.0,cruise,,,
18.7,30.0,0.0,cruise,,,
18.8,30.0,0.0,cruise,,,
18.9,30.0,0.0,cruise,,,
19.0,30.0,0.0,cruise,,,
19.1,30.0,0.0,cruise,,,
19.2,30.0,0.0,cruise,,,
19.3,30.0,0.0,cruise,,,
19.4,30.0,0.0,cruise,,,
19.5,30.0,0.0,cruise,,,
19.6,30.0,0.0,cruise,,,
19.7,30.0,0.0,cruise,,,
19.8,30.0,0.0,cruise,,,
19.9,30.0,0.0,cruise,,,
20.0,30.0,0.0,cruise,,,
20.1,30.0,0.0,cruise,,,
20.2,30.0,0.0,cruise,,,
20.3,30.0,0.0,cruise,,,
20.4,30.0,0.0,cruise,,,
20.5,30.0,0.0,cruise,,,
20.6,30.0,0.0,cruise,,,
20.7,30.0,0.0,cruise,,,
20.8,30.0,0.0,cruise,,,
20.9,30.0,0.0,cruise,,,
21.0,30.0,0.0,cruise,,,
21.1,30.0,0.0,cruise,,,
21.2,30.0,0.0,cruise,,,
21.3,30.0,0.0,cruise,,,
21.4,30.0,0.0,cruise,,,
21.5,30.0,0.0,cruise,,,
21.6,30.0,0.0,cruise,,,
21.7,30.0,0.0,cruise,,,
21.8,30.0,0.0,cruise,,,
21.9,30.0,0.0,cruise,,,
22.0,30.0,0.0,cruise,,,
22.1,30.0,0.0,cruise,,,
22.2,30.0,0.0,cruise,,,
22.3,30.0,0.0,cruise,,,
22.4,30.0,0.0,cruise,,,
22.5,30.0,0.0,cruise,,,
22.6,30.0,0.0,cruise,,,
22.7,30.0,0.0,cruise,,,
22.8,30.0,0.0,cruise,,,
22.9,30.0,0.0,cruise,,,
23.0,30.0,0.0,cruise,,,
23.1,30.0,0.0,cruise,,,
23.2,30.0,0.0,cruise,,,
23.3,30.0,0.0,cruise,,,
23.4,30.0,0.0,cruise,,,
23.5,30.0,0.0,cruise,,,
23.6,30.0,0.0,cruise,,,
23.7,30.0,0.0,cruise,,,
23.8,30.0,0.0,cruise,,,
23.9,30.0,0.0,cruise,,,
24.0,30.0,0.0,cruise,,,
24.1,30.0,0.0,cruise,,,
24.2,30.0,0.0,cruise,,,
24.3,30.0,0.0,cruise,,,
24.4,30.0,0.0,cruise,,,
24.5,30.0,0.0,cruise,,,
24.6,30.0,0.0,cruise,,,
24.7,30.0,0.0,cruise,,,
24.8,30.0,0.0,cruise,,,
24.9,30.0,0.0,cruise,,,
25.0,30.0,0.0,cruise,,,
25.1,30.0,0.0,cruise,,,
25.2,30.0,0.0,cruise,,,
25.3,30.0,0.0,cruise,,,
25.4,30.0,0.0,cruise,,,
25.5,30.0,0.0,cruise,,,
25.6,30.0,0.0,cruise,,,
25.7,30.0,0.0,cruise,,,
25.8,30.0,0.0,cruise,,,
25.9,30.0,0.0,cruise,,,
26.0,30.0,0.0,cruise,,,
26.1,30.0,0.0,cruise,,,
26.2,30.0,0.0,cruise,,,
26.3,30.0,0.0,cruise,,,
26.4,30.0,0.0,cruise,,,
26.5,30.0,0.0,cruise,,,
26.6,30.0,0.0,cruise,,,
26.7,30.0,0.0,cruise,,,
26.8,30.0,0.0,cruise,,,
26.9,30.0,0.0,cruise,,,
27.0,30.0,0.0,cruise,,,
27.1,30.0,0.0,cruise,,,
27.2,30.0,0.0,cruise,,,
27.3,30.0,0.0,cruise,,,
27.4,30.0,0.0,cruise,,,
27.5,30.0,0.0,cruise,,,
27.6,30.0,0.0,cruise,,,
27.7,30.0,0.0,cruise,,,
27.8,30.0,0.0,cruise,,,
27.9,30.0,0.0,cruise,,,
28.0,30.0,0.0,cruise,,,
28.1,30.0,0.0,cruise,,,
28.2,30.0,0.0,cruise,,,
28.3,30.0,0.0,cruise,,,
28.4,30.0,0.0,cruise,,,
28.5,30.0,0.0,cruise,,,
28.6,30.0,0.0,cruise,,,
28.7,30.0,0.0,cruise,,,
28.8,30.0,0.0,cruise,,,
28.9,30.0,0.0,cruise,,,
29.0,30.0,0.0,cruise,,,
29.1,30.0,0.0,cruise,,,
29.2,30.0,0.0,cruise,,,
29.3,30.0,0.0,cruise,,,
29.4,30.0,0.0,cruise,,,
29.5,30.0,0.0,cruise,,,
29.6,30.0,0.0,cruise,,,
29.7,30.0,0.0,cruise,,,
29.8,30.0,0.0,cruise,,,
29.9,30.0,0.0,cruise,,,
30.0,29.2,-8.0,follow,2.9,52.1,13.603133
30.1,28.983629,-2.163712,follow,2.93,50.87,12.457058
30.2,28.183629,-8.0,follow,4.375443,49.1,18.228198
30.3,28.483629,3.0,follow,4.685443,47.59,20.306117
30.4,28.783629,3.0,follow,3.655443,49.07,12.380069
30.5,27.983629,-8.0,follow,5.015443,48.16,15.223025
30.6,28.283629,3.0,follow,3.555443,48.42,23.017369
30.7,27.483629,-8.0,follow,4.825443,47.6,25.004875
30.8,27.783629,3.0,follow,3.485443,47.74,15.234734
30.9,26.983629,-8.0,follow,6.555443,45.12,28.672581
31.0,27.283629,3.0,follow,3.225443,47.25,17.941025
31.1,26.483629,-8.0,follow,5.605443,45.32,24.716016
31.2,26.783629,3.0,follow,2.285443,47.44,29.582906
31.3,25.983629,-8.0,follow,6.815443,43.36,17.964651
31.4,26.283629,3.0,follow,2.775443,46.2,17.951307
31.5,25.483629,-8.0,follow,5.615443,43.81,48.482296
31.6,25.783629,3.0,follow,5.865443,42.36,27.44183
31.7,25.690419,-0.932096,follow,6.435443,42.24,93.779308
31.8,25.644698,-0.457215,follow,6.415629,42.12,31.795934
31.9,25.944698,3.0,follow,5.717047,42.75,21.324911
32.0,25.771611,-1.730865,follow,6.357047,42.56,inf
32.1,24.971611,-8.0,follow,7.777417,40.88,288.67782
32.2,25.271611,3.0,follow,6.177417,41.28,186.27221
32.3,25.571611,3.0,follow,4.237417,43.67,26.601915
32.4,24.771611,-8.0,follow,5.487417,42.87,236.05378
32.5,25.071611,3.0,follow,6.127417,41.03,inf
32.6,24.271611,-8.0,follow,7.307417,40.3,306.205043
32.7,24.571611,3.0,follow,6.257417,40.15,inf
32.8,23.771611,-8.0,follow,6.347417,40.51,inf
32.9,23.45029,-3.213209,follow,7.307417,38.35,inf
33.0,23.75029,3.0,follow,6.125435,39.05,inf
33.1,22.95029,-8.0,follow,8.435435,37.19,inf
33.2,23.25029,3.0,follow,4.995435,39.43,inf
33.3,22.45029,-8.0,follow,5.345435,39.53,inf
33.4,22.75029,3.0,follow,5.625435,38.05,inf
33.5,23.05029,3.0,follow,3.855435,40.27,inf
33.6,22.25029,-8.0,follow,7.685435,36.89,inf
33.7,22.55029,3.0,follow,6.895435,36.48,inf
33.8,22.85029,3.0,follow,5.535435,38.29,inf
33.9,23.15029,3.0,follow,5.175435,39.1,inf
34.0,23.45029,3.0,follow,5.015435,39.71,inf
34.1,22.65029,-8.0,follow,7.995435,37.18,inf
34.2,22.95029,3.0,follow,5.145435,38.83,inf
34.3,22.15029,-8.0,follow,6.935435,37.49,inf
34.4,22.45029,3.0,follow,5.955435,37.27,inf
34.5,22.75029,3.0,follow,5.285435,38.39,inf
34.6,21.95029,-8.0,follow,6.045435,38.08,inf
34.7,22.25029,3.0,follow,7.375435,35.55,inf
34.8,22.55029,3.0,follow,4.445435,38.93,inf
34.9,21.75029,-8.0,follow,5.025435,38.8,inf
35.0,22.05029,3.0,follow,6.075435,36.55,inf
35.1,22.35029,3.0,follow,5.385435,37.69,inf
35.2,21.780463,-5.698272,follow,5.725435,37.8,inf
35.3,22.080463,3.0,follow,5.130695,37.54,inf
35.4,21.280463,-8.0,follow,6.480695,36.64,inf
35.5,21.580463,3.0,follow,5.420695,36.5,inf
35.6,21.117483,-4.629797,follow,5.150695,37.22,inf
35.7,21.417483,3.0,follow,3.116225,38.56,inf
35.8,20.617483,-8.0,follow,4.266225,37.86,inf
35.9,20.917483,3.0,follow,4.086225,36.84,inf
36.0,21.217483,3.0,follow,3.266225,38.11,inf
36.1,20.417483,-8.0,follow,7.756225,34.07,inf
36.2,20.717483,3.0,follow,2.096225,38.53,inf
36.3,19.917483,-8.0,follow,5.766225,35.31,inf
36.4,20.217483,3.0,follow,3.036225,36.84,inf
36.5,19.417483,-8.0,follow,4.326225,36.0,inf
36.6,19.717483,3.0,follow,3.326225,35.8,inf
36.7,20.017483,3.0,follow,1.026225,38.55,inf
36.8,19.217483,-8.0,follow,3.296225,36.73,inf
36.9,19.517483,3.0,follow,1.186225,37.64,inf
37.0,18.717483,-8.0,follow,2.076225,37.2,inf
37.1,19.017483,3.0,follow,0.296225,37.78,inf
37.2,18.217483,-8.0,follow,1.186225,37.34,inf
37.3,18.517483,3.0,follow,1.506225,35.82,inf
37.4,18.817483,3.0,follow,-0.583775,38.36,inf
37.5,18.017483,-8.0,follow,1.526225,36.7,inf
37.6,18.317483,3.0,follow,1.516225,35.51,inf
37.7,18.617483,3.0,follow,0.706225,36.77,inf
37.8,18.917483,3.0,follow,-1.003775,38.93,inf
