time,ego_speed,acceleration_cmd,mode,distance_error,distance,ttc
0.0,0.3,3.0,cruise,,,
0.1,0.6,3.0,cruise,,,
0.2,0.9,3.0,cruise,,,
0.3,1.2,3.0,cruise,,,
0.4,1.5,3.0,cruise,,,
0.5,1.8,3.0,cruise,,,
0.6,2.1,3.0,cruise,,,
0.7,2.4,3.0,cruise,,,
0.8,2.7,3.0,cruise,,,
0.9,3.0,3.0,cruise,,,
1.0,3.3,3.0,cruise,,,
1.1,3.6,3.0,cruise,,,
1.2,3.9,3.0,cruise,,,
1.3,4.2,3.0,cruise,,,
1.4,4.5,3.0,cruise,,,
1.5,4.8,3.0,cruise,,,
1.6,5.1,3.0,cruise,,,
1.7,5.4,3.0,cruise,,,
1.8,5.7,3.0,cruise,,,
1.9,6.0,3.0,cruise,,,
2.0,6.3,3.0,cruise,,,
2.1,6.6,3.0,cruise,,,
2.2,6.9,3.0,cruise,,,
2.3,7.2,3.0,cruise,,,
2.4,7.5,3.0,cruise,,,
2.5,7.8,3.0,cruise,,,
2.6,8.1,3.0,cruise,,,
2.7,8.4,3.0,cruise,,,
2.8,8.7,3.0,cruise,,,
2.9,9.0,3.0,cruise,,,
3.0,9.3,3.0,cruise,,,
3.1,9.6,3.0,cruise,,,
3.2,9.9,3.0,cruise,,,
3.3,10.2,3.0,cruise,,,
3.4,10.5,3.0,cruise,,,
3.5,10.8,3.0,cruise,,,
3.6,11.1,3.0,cruise,,,
3.7,11.4,3.0,cruise,,,
3.8,11.7,3.0,cruise,,,
3.9,12.0,3.0,cruise,,,
4.0,12.3,3.0,cruise,,,
4.1,12.6,3.0,cruise,,,
4.2,12.9,3.0,cruise,,,
4.3,13.2,3.0,cruise,,,
4.4,13.5,3.0,cruise,,,
4.5,13.8,3.0,cruise,,,
4.6,14.1,3.0,cruise,,,
4.7,14.4,3.0,cruise,,,
4.8,14.7,3.0,cruise,,,
4.9,15.0,3.0,cruise,,,
5.0,15.3,3.0,cruise,,,
5.1,15.6,3.0,cruise,,,
5.2,15.9,3.0,cruise,,,
5.3,16.2,3.0,cruise,,,
5.4,16.5,3.0,cruise,,,
5.5,16.8,3.0,cruise,,,
5.6,17.1,3.0,cruise,,,
5.7,17.4,3.0,cruise,,,
5.8,17.7,3.0,cruise,,,
5.9,18.0,3.0,cruise,,,
6.0,18.3,2.9,cruise,,,
6.1,18.6,2.9,cruise,,,
6.2,18.9,2.9,cruise,,,
6.3,19.2,2.9,cruise,,,
6.4,19.4,2.9,cruise,,,
6.5,19.7,2.9,cruise,,,
6.6,20.0,2.9,cruise,,,
6.7,20.3,2.8,cruise,,,
6.8,20.6,2.8,cruise,,,
6.9,20.9,2.8,cruise,,,
7.0,21.1,2.8,cruise,,,
7.1,21.4,2.8,cruise,,,
7.2,21.7,2.7,cruise,,,
7.3,22.0,2.7,cruise,,,
7.4,22.2,2.7,cruise,,,
7.5,22.5,2.7,cruise,,,
7.6,22.8,2.7,cruise,,,
7.7,23.0,2.6,cruise,,,
7.8,23.3,2.6,cruise,,,
7.9,23.5,2.6,cruise,,,
8.0,23.8,2.6,cruise,,,
8.1,24.1,2.5,cruise,,,
8.2,24.3,2.5,cruise,,,
8.3,24.6,2.5,cruise,,,
8.4,24.8,2.5,cruise,,,
8.5,25.0,2.4,cruise,,,
8.6,25.3,2.4,cruise,,,
8.7,25.5,2.4,cruise,,,
8.8,25.8,2.3,cruise,,,
8.9,26.0,2.3,cruise,,,
9.0,26.2,2.3,cruise,,,
9.1,26.4,2.2,cruise,,,
9.2,26.7,2.2,cruise,,,
9.3,26.9,2.2,cruise,,,
9.4,27.1,2.2,cruise,,,
9.5,27.3,2.1,cruise,,,
9.6,27.5,2.1,cruise,,,
9.7,27.7,2.1,cruise,,,
9.8,27.9,2.0,cruise,,,
9.9,28.1,2.0,cruise,,,
10.0,28.3,2.0,cruise,,,
10.1,28.5,1.9,cruise,,,
10.2,28.7,1.9,cruise,,,
10.3,28.9,1.9,cruise,,,
10.4,29.1,1.8,cruise,,,
10.5,29.3,1.8,cruise,,,
10.6,29.4,1.8,cruise,,,
10.7,29.6,1.7,cruise,,,
10.8,29.8,1.7,cruise,,,
10.9,29.9,1.7,cruise,,,
11.0,30.1,1.6,cruise,,,
11.1,30.3,1.6,cruise,,,
11.2,30.4,1.6,cruise,,,
11.3,30.6,1.5,cruise,,,
11.4,30.7,1.5,cruise,,,
11.5,30.9,1.5,cruise,,,
11.6,31.0,1.4,cruise,,,
11.7,31.2,1.4,cruise,,,
11.8,31.3,1.4,cruise,,,
11.9,31.4,1.4,cruise,,,
12.0,31.6,1.3,cruise,,,
12.1,31.7,1.3,cruise,,,
12.2,31.8,1.3,cruise,,,
12.3,32.0,1.2,cruise,,,
12.4,32.1,1.2,cruise,,,
12.5,32.2,1.2,cruise,,,
12.6,32.3,1.1,cruise,,,
12.7,32.4,1.1,cruise,,,
12.8,32.5,1.1,cruise,,,
12.9,32.6,1.0,cruise,,,
13.0,32.7,1.0,cruise,,,
13.1,32.8,1.0,cruise,,,
13.2,32.9,0.9,cruise,,,
13.3,33.0,0.9,cruise,,,
13.4,33.1,0.9,cruise,,,
13.5,33.2,0.9,cruise,,,
13.6,33.3,0.8,cruise,,,
13.7,33.3,0.8,cruise,,,
13.8,33.4,0.8,cruise,,,
13.9,33.5,0.7,cruise,,,
14.0,33.6,0.7,cruise,,,
14.1,33.6,0.7,cruise,,,
14.2,33.7,0.7,cruise,,,
14.3,33.8,0.6,cruise,,,
14.4,33.8,0.6,cruise,,,
14.5,33.9,0.6,cruise,,,
14.6,33.9,0.5,cruise,,,
14.7,34.0,0.5,cruise,,,
14.8,34.0,0.5,cruise,,,
14.9,34.1,0.5,cruise,,,
15.0,34.1,0.4,cruise,,,
15.1,34.2,0.4,cruise,,,
15.2,34.2,0.4,cruise,,,
15.3,34.2,0.4,cruise,,,
15.4,34.3,0.3,cruise,,,
15.5,34.3,0.3,cruise,,,
15.6,34.3,0.3,cruise,,,
15.7,34.4,0.3,cruise,,,
15.8,34.4,0.3,cruise,,,
15.9,34.4,0.2,cruise,,,
16.0,34.4,0.2,cruise,,,
16.1,34.5,0.2,cruise,,,
16.2,34.5,0.2,cruise,,,
16.3,34.5,0.1,cruise,,,
16.4,34.5,0.1,cruise,,,
16.5,34.5,0.1,cruise,,,
16.6,34.5,0.1,cruise,,,
16.7,34.5,0.1,cruise,,,
16.8,34.5,0.0,cruise,,,
16.9,34.5,0.0,cruise,,,
17.0,34.5,0.0,cruise,,,
17.1,34.5,-0.0,cruise,,,
17.2,34.5,-0.0,cruise,,,
17.3,34.5,-0.0,cruise,,,
17.4,34.5,-0.1,cruise,,,
17.5,34.5,-0.1,cruise,,,
17.6,34.5,-0.1,cruise,,,
17.7,34.5,-0.1,cruise,,,
17.8,34.5,-0.1,cruise,,,
17.9,34.5,-0.1,cruise,,,
18.0,34.5,-0.2,cruise,,,
18.1,34.4,-0.2,cruise,,,
18.2,34.4,-0.2,cruise,,,
18.3,34.4,-0.2,cruise,,,
18.4,34.4,-0.2,cruise,,,
18.5,34.4,-0.2,cruise,,,
18.6,34.3,-0.2,cruise,,,
18.7,34.3,-0.2,cruise,,,
18.8,34.3,-0.3,cruise,,,
18.9,34.3,-0.3,cruise,,,
19.0,34.2,-0.3,cruise,,,
19.1,34.2,-0.3,cruise,,,
19.2,34.2,-0.3,cruise,,,
19.3,34.1,-0.3,cruise,,,
19.4,34.1,-0.3,cruise,,,
19.5,34.1,-0.3,cruise,,,
19.6,34.0,-0.3,cruise,,,
19.7,34.0,-0.4,cruise,,,
19.8,34.0,-0.4,cruise,,,
19.9,33.9,-0.4,cruise,,,
20.0,33.9,-0.4,cruise,,,
20.1,33.9,-0.4,cruise,,,
20.2,33.8,-0.4,cruise,,,
20.3,33.8,-0.4,cruise,,,
20.4,33.7,-0.4,cruise,,,
20.5,33.7,-0.4,cruise,,,
20.6,33.7,-0.4,cruise,,,
20.7,33.6,-0.4,cruise,,,
20.8,33.6,-0.4,cruise,,,
20.9,33.5,-0.4,cruise,,,
21.0,33.5,-0.4,cruise,,,
21.1,33.4,-0.4,cruise,,,
21.2,33.4,-0.5,cruise,,,
21.3,33.3,-0.5,cruise,,,
21.4,33.3,-0.5,cruise,,,
21.5,33.3,-0.5,cruise,,,
21.6,33.2,-0.5,cruise,,,
21.7,33.2,-0.5,cruise,,,
21.8,33.1,-0.5,cruise,,,
21.9,33.1,-0.5,cruise,,,
22.0,33.0,-0.5,cruise,,,
22.1,33.0,-0.5,cruise,,,
22.2,32.9,-0.5,cruise,,,
22.3,32.9,-0.5,cruise,,,
22.4,32.8,-0.5,cruise,,,
22.5,32.8,-0.5,cruise,,,
22.6,32.7,-0.5,cruise,,,
22.7,32.7,-0.5,cruise,,,
22.8,32.6,-0.5,cruise,,,
22.9,32.6,-0.5,cruise,,,
23.0,32.5,-0.5,cruise,,,
23.1,32.5,-0.5,cruise,,,
23.2,32.4,-0.5,cruise,,,
23.3,32.4,-0.5,cruise,,,
23.4,32.3,-0.5,cruise,,,
23.5,32.3,-0.5,cruise,,,
23.6,32.2,-0.5,cruise,,,
23.7,32.2,-0.5,cruise,,,
23.8,32.1,-0.5,cruise,,,
23.9,32.1,-0.5,cruise,,,
24.0,32.0,-0.5,cruise,,,
24.1,32.0,-0.5,cruise,,,
24.2,31.9,-0.5,cruise,,,
24.3,31.9,-0.5,cruise,,,
24.4,31.8,-0.5,cruise,,,
24.5,31.8,-0.5,cruise,,,
24.6,31.7,-0.5,cruise,,,
24.7,31.7,-0.5,cruise,,,
24.8,31.6,-0.5,cruise,,,
24.9,31.6,-0.5,cruise,,,
25.0,31.6,-0.5,cruise,,,
25.1,31.5,-0.5,cruise,,,
25.2,31.5,-0.5,cruise,,,
25.3,31.4,-0.5,cruise,,,
25.4,31.4,-0.5,cruise,,,
25.5,31.3,-0.4,cruise,,,
25.6,31.3,-0.4,cruise,,,
25.7,31.2,-0.4,cruise,,,
25.8,31.2,-0.4,cruise,,,
25.9,31.2,-0.4,cruise,,,
26.0,31.1,-0.4,cruise,,,
26.1,31.1,-0.4,cruise,,,
26.2,31.0,-0.4,cruise,,,
26.3,31.0,-0.4,cruise,,,
26.4,30.9,-0.4,cruise,,,
26.5,30.9,-0.4,cruise,,,
26.6,30.9,-0.4,cruise,,,
26.7,30.8,-0.4,cruise,,,
26.8,30.8,-0.4,cruise,,,
26.9,30.7,-0.4,cruise,,,
27.0,30.7,-0.4,cruise,,,
27.1,30.7,-0.4,cruise,,,
27.2,30.6,-0.4,cruise,,,
27.3,30.6,-0.4,cruise,,,
27.4,30.6,-0.4,cruise,,,
27.5,30.5,-0.4,cruise,,,
27.6,30.5,-0.4,cruise,,,
27.7,30.4,-0.4,cruise,,,
27.8,30.4,-0.3,cruise,,,
27.9,30.4,-0.3,cruise,,,
28.0,30.3,-0.3,cruise,,,
28.1,30.3,-0.3,cruise,,,
28.2,30.3,-0.3,cruise,,,
28.3,30.2,-0.3,cruise,,,
28.4,30.2,-0.3,cruise,,,
28.5,30.2,-0.3,cruise,,,
28.6,30.2,-0.3,cruise,,,
28.7,30.1,-0.3,cruise,,,
28.8,30.1,-0.3,cruise,,,
28.9,30.1,-0.3,cruise,,,
29.0,30.0,-0.3,cruise,,,
29.1,30.0,-0.3,cruise,,,
29.2,30.0,-0.3,cruise,,,
29.3,30.0,-0.3,cruise,,,
29.4,29.9,-0.3,cruise,,,
29.5,29.9,-0.3,cruise,,,
29.6,29.9,-0.2,cruise,,,
29.7,29.9,-0.2,cruise,,,
29.8,29.8,-0.2,cruise,,,
29.9,29.8,-0.2,cruise,,,
30.0,29.6,-2.1,follow,-2.61,52.10,12.33
30.1,29.4,-1.8,follow,-3.52,50.87,11.27
30.2,29.1,-2.7,follow,-5.02,49.10,13.45
30.3,28.8,-3.1,follow,-6.12,47.59,17.66
30.4,28.7,-1.1,follow,-4.18,49.07,12.57
30.5,28.5,-2.5,follow,-4.92,48.16,13.19
30.6,28.3,-1.8,follow,-4.29,48.42,22.91
30.7,28.0,-2.5,follow,-4.84,47.60,19.33
30.8,27.9,-1.9,follow,-4.32,47.74,14.92
30.9,27.4,-4.1,follow,-6.66,45.12,22.18
31.0,27.3,-1.0,follow,-3.92,47.25,17.52
31.1,27.0,-3.6,follow,-5.70,45.32,19.36
31.2,26.9,-0.7,follow,-3.05,47.44,27.32
31.3,26.4,-5.1,follow,-7.01,43.36,15.26
31.4,26.3,-0.6,follow,-3.42,46.20,17.51
31.5,26.0,-4.0,follow,-5.71,43.81,31.91
31.6,25.6,-3.8,follow,-6.57,42.36,31.75
31.7,25.3,-3.1,follow,-6.12,42.24,2205.86
31.8,24.9,-3.1,follow,-5.77,42.12,66.99
31.9,24.7,-2.4,follow,-4.67,42.75,55.72
32.0,24.4,-2.8,follow,-4.50,42.56,
32.1,24.0,-3.9,follow,-5.77,40.88,
32.2,23.8,-2.7,follow,-4.78,41.28,
32.3,23.7,-0.8,follow,-1.99,43.67,
32.4,23.4,-2.5,follow,-2.67,42.87,
32.5,23.1,-3.5,follow,-4.13,41.03,
32.6,22.8,-3.1,follow,-4.34,40.30,
32.7,22.5,-2.8,follow,-4.03,40.15,
32.8,22.3,-2.3,follow,-3.25,40.51,
32.9,21.9,-4.1,follow,-5.06,38.35,
33.0,21.6,-2.4,follow,-3.74,39.05,
33.1,21.2,-4.2,follow,-5.24,37.19,
33.2,21.1,-1.3,follow,-2.37,39.43,
33.3,20.8,-2.2,follow,-2.08,39.53,
33.4,20.5,-3.3,follow,-3.22,38.05,
33.5,20.5,-0.7,follow,-0.51,40.27,
33.6,20.0,-4.4,follow,-3.79,36.89,
33.7,19.7,-2.9,follow,-3.53,36.48,
33.8,19.6,-1.3,follow,-1.28,38.29,
33.9,19.5,-1.4,follow,-0.28,39.10,
34.0,19.3,-1.1,follow,0.53,39.71,
34.1,19.0,-3.3,follow,-1.83,37.18,
34.2,18.9,-0.7,follow,0.32,38.83,
34.3,18.7,-2.5,follow,-0.92,37.49,
34.4,18.5,-1.9,follow,-0.76,37.27,
34.5,18.4,-0.8,follow,0.65,38.39,
34.6,18.3,-1.6,follow,0.47,38.08,
34.7,17.9,-3.3,follow,-1.83,35.55,
34.8,18.0,0.7,follow,2.05,38.93,
34.9,17.9,-1.0,follow,1.81,38.80,
35.0,17.6,-2.6,follow,-0.29,36.55,
35.1,17.6,-0.5,follow,1.24,37.69,
35.2,17.5,-1.0,follow,1.43,37.80,
35.3,17.4,-1.1,follow,1.32,37.54,
35.4,17.2,-1.7,follow,0.59,36.64,
35.5,17.1,-1.3,follow,0.70,36.50,
35.6,17.0,-0.6,follow,1.61,37.22,
35.7,17.0,0.2,follow,3.03,38.56,
35.8,17.0,-0.9,follow,2.30,37.86,
35.9,16.8,-1.3,follow,1.41,36.84,
36.0,16.8,0.3,follow,2.88,38.11,
36.1,16.5,-3.6,follow,-1.20,34.07,
36.2,16.7,2.1,follow,3.80,38.53,
36.3,16.4,-2.8,follow,0.27,35.31,
36.4,16.4,0.2,follow,2.22,36.84,
36.5,16.3,-1.2,follow,1.34,36.00,
36.6,16.2,-0.9,follow,1.33,35.80,
36.7,16.4,1.5,follow,4.21,38.55,
36.8,16.2,-1.3,follow,2.17,36.73,
36.9,16.3,0.4,follow,3.27,37.64,
37.0,16.3,-0.4,follow,2.76,37.20,
37.1,16.3,0.4,follow,3.40,37.78,
37.2,16.3,-0.3,follow,2.91,37.34,
37.3,16.1,-1.2,follow,1.42,35.82,
37.4,16.3,1.6,follow,4.15,38.36,
37.5,16.2,-1.0,follow,2.25,36.70,
37.6,16.1,-1.1,follow,1.21,35.51,
37.7,16.1,0.5,follow,2.63,36.77,
37.8,16.3,1.7,follow,4.71,38.93,
37.9,16.3,0.1,follow,3.73,38.20,
38.0,16.3,-0.6,follow,2.38,36.86,
38.1,16.3,0.1,follow,2.47,36.86,
38.2,16.3,0.1,follow,2.49,36.89,
38.3,16.5,2.2,follow,5.16,39.57,
