time,ego_speed,acceleration_cmd,mode,distance_error,distance,ttc
0.00,0.00,3.00,cruise,,,
0.10,0.30,3.00,cruise,,,
0.20,0.60,3.00,cruise,,,
0.30,0.90,3.00,cruise,,,
0.40,1.20,3.00,cruise,,,
0.50,1.50,3.00,cruise,,,
0.60,1.80,3.00,cruise,,,
0.70,2.10,3.00,cruise,,,
0.80,2.40,3.00,cruise,,,
0.90,2.70,3.00,cruise,,,
1.00,3.00,3.00,cruise,,,
1.10,3.30,3.00,cruise,,,
1.20,3.60,3.00,cruise,,,
1.30,3.90,3.00,cruise,,,
1.40,4.20,3.00,cruise,,,
1.50,4.50,3.00,cruise,,,
1.60,4.80,3.00,cruise,,,
1.70,5.10,3.00,cruise,,,
1.80,5.40,3.00,cruise,,,
1.90,5.70,3.00,cruise,,,
2.00,6.00,3.00,cruise,,,
2.10,6.29,3.00,cruise,,,
2.20,6.59,3.00,cruise,,,
2.30,6.89,3.00,cruise,,,
2.40,7.19,3.00,cruise,,,
2.50,7.49,3.00,cruise,,,
2.60,7.79,3.00,cruise,,,
2.70,8.09,3.00,cruise,,,
2.80,8.39,3.00,cruise,,,
2.90,8.69,3.00,cruise,,,
3.00,8.98,3.00,cruise,,,
3.10,9.28,3.00,cruise,,,
3.20,9.58,3.00,cruise,,,
3.30,9.88,3.00,cruise,,,
3.40,10.18,3.00,cruise,,,
3.50,10.48,3.00,cruise,,,
3.60,10.77,3.00,cruise,,,
3.70,11.07,3.00,cruise,,,
3.80,11.37,3.00,cruise,,,
3.90,11.67,3.00,cruise,,,
4.00,11.96,3.00,cruise,,,
4.10,12.26,3.00,cruise,,,
4.20,12.56,3.00,cruise,,,
4.30,12.85,3.00,cruise,,,
4.40,13.15,3.00,cruise,,,
4.50,13.45,3.00,cruise,,,
4.60,13.74,3.00,cruise,,,
4.70,14.04,3.00,cruise,,,
4.80,14.34,3.00,cruise,,,
4.90,14.63,3.00,cruise,,,
5.00,14.93,3.00,cruise,,,
5.10,15.22,3.00,cruise,,,
5.20,15.52,3.00,cruise,,,
5.30,15.81,3.00,cruise,,,
5.40,16.11,3.00,cruise,,,
5.50,16.40,3.00,cruise,,,
5.60,16.70,3.00,cruise,,,
5.70,16.99,3.00,cruise,,,
5.80,17.29,3.00,cruise,,,
5.90,17.58,3.00,cruise,,,
6.00,17.87,3.00,cruise,,,
6.10,18.17,3.00,cruise,,,
6.20,18.46,3.00,cruise,,,
6.30,18.75,3.00,cruise,,,
6.40,19.05,3.00,cruise,,,
6.50,19.34,3.00,cruise,,,
6.60,19.63,3.00,cruise,,,
6.70,19.93,3.00,cruise,,,
6.80,20.22,3.00,cruise,,,
6.90,20.51,3.00,cruise,,,
7.00,20.80,3.00,cruise,,,
7.10,21.09,3.00,cruise,,,
7.20,21.38,3.00,cruise,,,
7.30,21.67,3.00,cruise,,,
7.40,21.96,3.00,cruise,,,
7.50,22.26,3.00,cruise,,,
7.60,22.55,3.00,cruise,,,
7.70,22.84,3.00,cruise,,,
7.80,23.12,3.00,cruise,,,
7.90,23.41,3.00,cruise,,,
8.00,23.70,3.00,cruise,,,
8.10,23.99,3.00,cruise,,,
8.20,24.28,3.00,cruise,,,
8.30,24.57,3.00,cruise,,,
8.40,24.86,3.00,cruise,,,
8.50,25.14,3.00,cruise,,,
8.60,25.43,3.00,cruise,,,
8.70,25.72,2.87,cruise,,,
8.80,25.99,2.68,cruise,,,
8.90,26.25,2.54,cruise,,,
9.00,26.49,2.39,cruise,,,
9.10,26.71,2.26,cruise,,,
9.20,26.92,2.13,cruise,,,
9.30,27.12,2.01,cruise,,,
9.40,27.31,1.90,cruise,,,
9.50,27.48,1.79,cruise,,,
9.60,27.65,1.69,cruise,,,
9.70,27.80,1.60,cruise,,,
9.80,27.95,1.51,cruise,,,
9.90,28.08,1.43,cruise,,,
10.00,28.21,1.36,cruise,,,
10.10,28.33,1.28,cruise,,,
10.20,28.44,1.22,cruise,,,
10.30,28.55,1.15,cruise,,,
10.40,28.65,1.09,cruise,,,
10.50,28.74,1.04,cruise,,,
10.60,28.83,0.98,cruise,,,
10.70,28.91,0.93,cruise,,,
10.80,28.98,0.89,cruise,,,
10.90,29.06,0.84,cruise,,,
11.00,29.12,0.80,cruise,,,
11.10,29.19,0.76,cruise,,,
11.20,29.25,0.73,cruise,,,
11.30,29.30,0.69,cruise,,,
11.40,29.35,0.66,cruise,,,
11.50,29.40,0.63,cruise,,,
11.60,29.45,0.61,cruise,,,
11.70,29.49,0.58,cruise,,,
11.80,29.53,0.55,cruise,,,
11.90,29.57,0.53,cruise,,,
12.00,29.61,0.51,cruise,,,
12.10,29.64,0.49,cruise,,,
12.20,29.67,0.47,cruise,,,
12.30,29.70,0.45,cruise,,,
12.40,29.73,0.43,cruise,,,
12.50,29.75,0.42,cruise,,,
12.60,29.78,0.40,cruise,,,
12.70,29.80,0.39,cruise,,,
12.80,29.82,0.38,cruise,,,
12.90,29.84,0.36,cruise,,,
13.00,29.86,0.35,cruise,,,
13.10,29.88,0.34,cruise,,,
13.20,29.89,0.33,cruise,,,
13.30,29.91,0.32,cruise,,,
13.40,29.92,0.31,cruise,,,
13.50,29.94,0.30,cruise,,,
13.60,29.95,0.30,cruise,,,
13.70,29.96,0.29,cruise,,,
13.80,29.97,0.28,cruise,,,
13.90,29.98,0.28,cruise,,,
14.00,29.99,0.27,cruise,,,
14.10,30.00,0.26,cruise,,,
14.20,30.01,0.26,cruise,,,
14.30,30.02,0.25,cruise,,,
14.40,30.02,0.25,cruise,,,
14.50,30.03,0.24,cruise,,,
14.60,30.04,0.24,cruise,,,
14.70,30.04,0.24,cruise,,,
14.80,30.05,0.23,cruise,,,
14.90,30.05,0.23,cruise,,,
15.00,30.06,0.22,cruise,,,
15.10,30.06,0.22,cruise,,,
15.20,30.07,0.22,cruise,,,
15.30,30.07,0.22,cruise,,,
15.40,30.07,0.21,cruise,,,
15.50,30.08,0.21,cruise,,,
15.60,30.08,0.21,cruise,,,
15.70,30.08,0.21,cruise,,,
15.80,30.09,0.21,cruise,,,
15.90,30.09,0.20,cruise,,,
16.00,30.09,0.20,cruise,,,
16.10,30.09,0.20,cruise,,,
16.20,30.09,0.20,cruise,,,
16.30,30.10,0.20,cruise,,,
16.40,30.10,0.20,cruise,,,
16.50,30.10,0.19,cruise,,,
16.60,30.10,0.19,cruise,,,
16.70,30.10,0.19,cruise,,,
16.80,30.10,0.19,cruise,,,
16.90,30.10,0.19,cruise,,,
17.00,30.10,0.19,cruise,,,
17.10,30.10,0.19,cruise,,,
17.20,30.11,0.19,cruise,,,
17.30,30.11,0.19,cruise,,,
17.40,30.11,0.19,cruise,,,
17.50,30.11,0.19,cruise,,,
17.60,30.11,0.18,cruise,,,
17.70,30.11,0.18,cruise,,,
17.80,30.11,0.18,cruise,,,
17.90,30.11,0.18,cruise,,,
18.00,30.11,0.18,cruise,,,
18.10,30.11,0.18,cruise,,,
18.20,30.11,0.18,cruise,,,
18.30,30.11,0.18,cruise,,,
18.40,30.11,0.18,cruise,,,
18.50,30.11,0.18,cruise,,,
18.60,30.11,0.18,cruise,,,
18.70,30.11,0.18,cruise,,,
18.80,30.11,0.18,cruise,,,
18.90,30.11,0.18,cruise,,,
19.00,30.11,0.18,cruise,,,
19.10,30.11,0.18,cruise,,,
19.20,30.11,0.18,cruise,,,
19.30,30.11,0.18,cruise,,,
19.40,30.11,0.18,cruise,,,
19.50,30.11,0.18,cruise,,,
19.60,30.11,0.18,cruise,,,
19.70,30.11,0.18,cruise,,,
19.80,30.11,0.18,cruise,,,
19.90,30.11,0.18,cruise,,,
20.00,30.11,0.18,cruise,,,
20.10,30.11,0.18,cruise,,,
20.20,30.10,0.18,cruise,,,
20.30,30.10,0.18,cruise,,,
20.40,30.10,0.18,cruise,,,
20.50,30.10,0.18,cruise,,,
20.60,30.10,0.18,cruise,,,
20.70,30.10,0.18,cruise,,,
20.80,30.10,0.18,cruise,,,
20.90,30.10,0.18,cruise,,,
21.00,30.10,0.18,cruise,,,
21.10,30.10,0.18,cruise,,,
21.20,30.10,0.18,cruise,,,
21.30,30.10,0.18,cruise,,,
21.40,30.10,0.18,cruise,,,
21.50,30.10,0.18,cruise,,,
21.60,30.10,0.18,cruise,,,
21.70,30.10,0.18,cruise,,,
21.80,30.10,0.18,cruise,,,
21.90,30.10,0.18,cruise,,,
22.00,30.10,0.18,cruise,,,
22.10,30.10,0.18,cruise,,,
22.20,30.10,0.18,cruise,,,
22.30,30.10,0.18,cruise,,,
22.40,30.10,0.18,cruise,,,
22.50,30.09,0.18,cruise,,,
22.60,30.09,0.18,cruise,,,
22.70,30.09,0.18,cruise,,,
22.80,30.09,0.18,cruise,,,
22.90,30.09,0.18,cruise,,,
23.00,30.09,0.18,cruise,,,
23.10,30.09,0.18,cruise,,,
23.20,30.09,0.18,cruise,,,
23.30,30.09,0.18,cruise,,,
23.40,30.09,0.18,cruise,,,
23.50,30.09,0.18,cruise,,,
23.60,30.09,0.18,cruise,,,
23.70,30.09,0.18,cruise,,,
23.80,30.09,0.18,cruise,,,
23.90,30.09,0.18,cruise,,,
