time,ego_speed,acceleration_cmd,mode,distance_error,distance,ttc
0.0,0.00,3.00,cruise,,,
0.1,0.30,3.00,cruise,,,
0.2,0.60,3.00,cruise,,,
0.3,0.90,3.00,cruise,,,
0.4,1.20,3.00,cruise,,,
0.5,1.50,3.00,cruise,,,
0.6,1.80,3.00,cruise,,,
0.7,2.10,3.00,cruise,,,
0.8,2.40,3.00,cruise,,,
0.9,2.70,3.00,cruise,,,
1.0,3.00,3.00,cruise,,,
1.1,3.30,3.00,cruise,,,
1.2,3.60,3.00,cruise,,,
1.3,3.90,3.00,cruise,,,
1.4,4.20,3.00,cruise,,,
1.5,4.50,3.00,cruise,,,
1.6,4.80,3.00,cruise,,,
1.7,5.10,3.00,cruise,,,
1.8,5.40,3.00,cruise,,,
1.9,5.70,3.00,cruise,,,
2.0,6.00,3.00,cruise,,,
2.1,6.29,3.00,cruise,,,
2.2,6.59,3.00,cruise,,,
2.3,6.89,3.00,cruise,,,
2.4,7.19,3.00,cruise,,,
2.5,7.49,3.00,cruise,,,
2.6,7.79,3.00,cruise,,,
2.7,8.09,3.00,cruise,,,
2.8,8.39,3.00,cruise,,,
2.9,8.69,3.00,cruise,,,
3.0,8.98,3.00,cruise,,,
3.1,9.28,3.00,cruise,,,
3.2,9.58,3.00,cruise,,,
3.3,9.88,3.00,cruise,,,
3.4,10.18,3.00,cruise,,,
3.5,10.48,3.00,cruise,,,
3.6,10.77,3.00,cruise,,,
3.7,11.07,3.00,cruise,,,
3.8,11.37,3.00,cruise,,,
3.9,11.67,3.00,cruise,,,
4.0,11.96,3.00,cruise,,,
4.1,12.26,3.00,cruise,,,
4.2,12.56,3.00,cruise,,,
4.3,12.85,3.00,cruise,,,
4.4,13.15,3.00,cruise,,,
4.5,13.45,3.00,cruise,,,
4.6,13.74,3.00,cruise,,,
4.7,14.04,3.00,cruise,,,
4.8,14.34,3.00,cruise,,,
4.9,14.63,3.00,cruise,,,
5.0,14.93,3.00,cruise,,,
5.1,15.22,3.00,cruise,,,
5.2,15.52,3.00,cruise,,,
5.3,15.81,3.00,cruise,,,
5.4,16.11,3.00,cruise,,,
5.5,16.40,3.00,cruise,,,
5.6,16.70,3.00,cruise,,,
5.7,16.99,3.00,cruise,,,
5.8,17.29,3.00,cruise,,,
5.9,17.58,3.00,cruise,,,
6.0,17.87,3.00,cruise,,,
6.1,18.17,3.00,cruise,,,
6.2,18.46,3.00,cruise,,,
6.3,18.75,3.00,cruise,,,
6.4,19.05,3.00,cruise,,,
6.5,19.34,3.00,cruise,,,
6.6,19.63,3.00,cruise,,,
6.7,19.93,3.00,cruise,,,
6.8,20.22,3.00,cruise,,,
6.9,20.51,3.00,cruise,,,
7.0,20.80,3.00,cruise,,,
7.1,21.09,3.00,cruise,,,
7.2,21.38,3.00,cruise,,,
7.3,21.67,3.00,cruise,,,
7.4,21.96,3.00,cruise,,,
7.5,22.26,3.00,cruise,,,
7.6,22.55,3.00,cruise,,,
7.7,22.84,3.00,cruise,,,
7.8,23.12,3.00,cruise,,,
7.9,23.41,3.00,cruise,,,
8.0,23.70,3.00,cruise,,,
8.1,23.99,3.00,cruise,,,
8.2,24.28,3.00,cruise,,,
8.3,24.57,3.00,cruise,,,
8.4,24.86,3.00,cruise,,,
8.5,25.14,3.00,cruise,,,
8.6,25.43,3.00,cruise,,,
8.7,25.72,3.00,cruise,,,
8.8,26.01,3.00,cruise,,,
8.9,26.29,3.00,cruise,,,
9.0,26.58,3.00,cruise,,,
9.1,26.86,3.00,cruise,,,
9.2,27.15,3.00,cruise,,,
9.3,27.43,3.00,cruise,,,
9.4,27.72,3.00,cruise,,,
9.5,28.00,3.00,cruise,,,
9.6,28.29,3.00,cruise,,,
9.7,28.57,3.00,cruise,,,
9.8,28.86,3.00,cruise,,,
9.9,29.14,3.00,cruise,,,
10.0,29.42,2.89,cruise,,,
10.1,29.69,1.53,cruise,,,
10.2,29.83,0.85,cruise,,,
10.3,29.90,0.52,cruise,,,
10.4,29.93,0.35,cruise,,,
10.5,29.95,0.26,cruise,,,
10.6,29.96,0.22,cruise,,,
10.7,29.96,0.20,cruise,,,
10.8,29.96,0.19,cruise,,,
10.9,29.96,0.18,cruise,,,
11.0,29.96,0.18,cruise,,,
11.1,29.96,0.18,cruise,,,
11.2,29.96,0.18,cruise,,,
11.3,29.96,0.18,cruise,,,
11.4,29.96,0.18,cruise,,,
11.5,29.96,0.18,cruise,,,
11.6,29.96,0.18,cruise,,,
11.7,29.96,0.18,cruise,,,
11.8,29.96,0.18,cruise,,,
11.9,29.96,0.18,cruise,,,
12.0,29.96,0.18,cruise,,,
12.1,29.96,0.18,cruise,,,
12.2,29.96,0.18,cruise,,,
12.3,29.96,0.18,cruise,,,
12.4,29.96,0.18,cruise,,,
12.5,29.96,0.18,cruise,,,
12.6,29.96,0.18,cruise,,,
12.7,29.96,0.18,cruise,,,
12.8,29.96,0.18,cruise,,,
12.9,29.96,0.18,cruise,,,
13.0,29.96,0.18,cruise,,,
13.1,29.96,0.18,cruise,,,
13.2,29.96,0.18,cruise,,,
13.3,29.96,0.18,cruise,,,
13.4,29.96,0.18,cruise,,,
13.5,29.96,0.18,cruise,,,
13.6,29.96,0.18,cruise,,,
13.7,29.96,0.18,cruise,,,
13.8,29.96,0.18,cruise,,,
13.9,29.96,0.18,cruise,,,
14.0,29.96,0.18,cruise,,,
14.1,29.96,0.18,cruise,,,
14.2,29.96,0.18,cruise,,,
14.3,29.96,0.18,cruise,,,
14.4,29.96,0.18,cruise,,,
14.5,29.96,0.18,cruise,,,
14.6,29.96,0.18,cruise,,,
14.7,29.96,0.18,cruise,,,
14.8,29.96,0.18,cruise,,,
14.9,29.96,0.18,cruise,,,
15.0,29.96,0.18,cruise,,,
15.1,29.96,0.18,cruise,,,
15.2,29.96,0.18,cruise,,,
15.3,29.96,0.18,cruise,,,
15.4,29.96,0.18,cruise,,,
15.5,29.96,0.18,cruise,,,
15.6,29.96,0.18,cruise,,,
15.7,29.96,0.18,cruise,,,
15.8,29.96,0.18,cruise,,,
15.9,29.96,0.18,cruise,,,
16.0,29.96,0.18,cruise,,,
16.1,29.96,0.18,cruise,,,
16.2,29.96,0.18,cruise,,,
16.3,29.96,0.18,cruise,,,
16.4,29.96,0.18,cruise,,,
16.5,29.96,0.18,cruise,,,
16.6,29.96,0.18,cruise,,,
16.7,29.96,0.18,cruise,,,
16.8,29.96,0.18,cruise,,,
16.9,29.96,0.18,cruise,,,
17.0,29.96,0.18,cruise,,,
17.1,29.96,0.18,cruise,,,
17.2,29.96,0.18,cruise,,,
17.3,29.96,0.18,cruise,,,
17.4,29.96,0.18,cruise,,,
17.5,29.96,0.18,cruise,,,
17.6,29.96,0.18,cruise,,,
17.7,29.96,0.18,cruise,,,
17.8,29.96,0.18,cruise,,,
17.9,29.96,0.18,cruise,,,
18.0,29.96,0.18,cruise,,,
18.1,29.96,0.18,cruise,,,
18.2,29.96,0.18,cruise,,,
18.3,29.96,0.18,cruise,,,
18.4,29.96,0.18,cruise,,,
18.5,29.96,0.18,cruise,,,
18.6,29.96,0.18,cruise,,,
18.7,29.96,0.18,cruise,,,
18.8,29.96,0.18,cruise,,,
18.9,29.96,0.18,cruise,,,
19.0,29.96,0.18,cruise,,,
19.1,29.96,0.18,cruise,,,
19.2,29.96,0.18,cruise,,,
19.3,29.96,0.18,cruise,,,
19.4,29.96,0.18,cruise,,,
19.5,29.96,0.18,cruise,,,
19.6,29.96,0.18,cruise,,,
19.7,29.96,0.18,cruise,,,
19.8,29.96,0.18,cruise,,,
19.9,29.96,0.18,cruise,,,
20.0,29.96,0.18,cruise,,,
20.1,29.96,0.18,cruise,,,
20.2,29.96,0.18,cruise,,,
20.3,29.96,0.18,cruise,,,
20.4,29.96,0.18,cruise,,,
20.5,29.96,0.18,cruise,,,
20.6,29.96,0.18,cruise,,,
20.7,29.96,0.18,cruise,,,
20.8,29.96,0.18,cruise,,,
20.9,29.96,0.18,cruise,,,
21.0,29.96,0.18,cruise,,,
21.1,29.96,0.18,cruise,,,
21.2,29.96,0.18,cruise,,,
