New Terminal Output:
time,ego_speed,acceleration_cmd,mode,distance_error,distance,ttc
30.0,32.44,-8.0,follow,-6.56,52.1,7.37
30.1,31.64,-1.98,follow,-6.03,51.43,7.63
30.2,31.44,-3.78,follow,-6.33,50.83,8.54
30.3,31.06,-3.0,follow,-6.26,50.34,10.22
30.4,30.76,-3.52,follow,-6.4,49.74,8.37
30.5,30.41,-3.32,follow,-6.43,49.19,8.8
30.6,30.08,-2.99,follow,-6.32,48.8,12.51
30.7,29.78,-3.14,follow,-6.3,48.38,11.52
30.8,29.47,-3.23,follow,-6.31,47.89,9.94
30.9,29.14,-2.94,follow,-6.19,47.52,12.73
31.0,28.85,-3.11,follow,-6.17,47.1,11.22
31.1,28.54,-2.97,follow,-6.1,46.71,12.01
31.2,28.24,-2.78,follow,-5.96,46.41,15.16
31.3,27.96,-3.12,follow,-5.98,45.97,10.46
31.4,27.65,-2.9,follow,-5.9,45.57,11.56
31.5,27.36,-2.66,follow,-5.75,45.29,16.29
31.6,27.1,-2.69,follow,-5.63,45.01,15.76
31.7,26.83,-2.31,follow,-5.39,44.85,28.28
31.8,26.59,-2.51,follow,-5.27,44.62,19.62

128.0,21.12,3.0,follow,34.35,76.03,
128.1,21.42,3.0,follow,34.8,76.93,
128.2,21.72,3.0,follow,35.09,77.67,
128.3,22.02,3.0,follow,35.43,78.46,
128.4,22.32,3.0,follow,35.75,79.23,
128.5,22.62,3.0,follow,35.94,79.86,
128.6,22.92,3.0,follow,36.33,80.71,
128.7,23.22,3.0,follow,36.64,81.46,
128.8,23.52,3.0,follow,36.81,82.09,
128.9,23.82,3.0,follow,36.98,82.71,
129.0,24.12,3.0,follow,37.14,83.32,
129.1,24.42,3.0,follow,37.07,83.69,
129.2,24.72,3.0,follow,37.12,84.2,
129.3,25.02,3.0,follow,37.11,84.64,
129.4,25.32,3.0,follow,37.04,85.02,
129.5,25.62,3.0,follow,37.0,85.43,
129.6,25.92,3.0,follow,37.12,86.0,
129.7,26.22,3.0,follow,37.11,86.43,
129.8,26.52,3.0,follow,36.95,86.73,
129.9,26.82,3.0,follow,36.87,87.1,
