New Terminal Output:
product_id,code,standard_label,category_lv1,category_lv2,station_scope,keywords_examples
P1_POWER,P1_POWER-TS-019,Fixture contact unstable (pogo pin / clamp),TEST_SYSTEM,FIXTURE_CONTACT,ICT;FCT;FUNC;BST,"fixture, pogo, 接触不良, 探针, reseat"
P1_POWER,P1_POWER-TS-020,Fixture contact unstable (pogo pin / clamp),TEST_SYSTEM,FIXTURE_CONTACT,ICT;FCT;FUNC;BST,"fixture, pogo, 接触不良, 探针, reseat"
P1_POWER,P1_POWER-TS-021,Fixture contact unstable (pogo pin / clamp),TEST_SYSTEM,FIXTURE_CONTACT,ICT;FCT;FUNC;BST,"fixture, pogo, 接触不良, 探针, reseat"
P1_POWER,P1_POWER-TS-022,Fixture contact unstable (pogo pin / clamp),TEST_SYSTEM,FIXTURE_CONTACT,ICT;FCT;FUNC;BST,"fixture, pogo, 接触不良, 探针, reseat"
P1_POWER,P1_POWER-TS-023,Fixture contact unstable (pogo pin / clamp),TEST_SYSTEM,FIXTURE_CONTACT,ICT;FCT;FUNC;BST,"fixture, pogo, 接触不良, 探针, reseat"
P1_POWER,P1_POWER-TS-024,Fixture contact unstable (pogo pin / clamp),TEST_SYSTEM,FIXTURE_CONTACT,ICT;FCT;FUNC;BST,"fixture, pogo, 接触不良, 探针, reseat"
P1_POWER,P1_POWER-SW-025,Programming failed (flash write),FW_SW,FLASH_FAIL,FLASH;FCT,"flash fail, 烧录失败, write fail, program fail"
P1_POWER,P1_POWER-SW-026,Programming failed (flash write),FW_SW,FLASH_FAIL,FLASH;FCT,"flash fail, 烧录失败, write fail, program fail"
P1_POWER,P1_POWER-SW-027,Programming failed (flash write),FW_SW,FLASH_FAIL,FLASH;FCT,"flash fail, 烧录失败, write fail, program fail"
P1_POWER,P1_POWER-SW-028,Programming failed (flash write),FW_SW,FLASH_FAIL,FLASH;FCT,"flash fail, 烧录失败, write fail, program fail"
P1_POWER,P1_POWER-SW-029,Programming failed (flash write),FW_SW,FLASH_FAIL,FLASH;FCT,"flash fail, 烧录失败, write fail, program fail"
P1_POWER,P1_POWER-SW-030,Programming failed (flash write),FW_SW,FLASH_FAIL,FLASH;FCT,"flash fail, 烧录失败, write fail, program fail"
P1_POWER,P1_POWER-EL-031,Hi-Pot leakage over spec,ELECTRICAL,LEAKAGE,HIPOT,"hipot, leakage, 漏电, 绝缘不良"
P1_POWER,P1_POWER-EL-032,Hi-Pot leakage over spec,ELECTRICAL,LEAKAGE,HIPOT,"hipot, leakage, 漏电, 绝缘不良"
P1_POWER,P1_POWER-EL-033,Hi-Pot leakage over spec,ELECTRICAL,LEAKAGE,HIPOT,"hipot, leakage, 漏电, 绝缘不良"
P1_POWER,P1_POWER-EL-034,Hi-Pot leakage over spec,ELECTRICAL,LEAKAGE,HIPOT,"hipot, leakage, 漏电, 绝缘不良"
P1_POWER,P1_POWER-EL-035,Hi-Pot leakage over spec,ELECTRICAL,LEAKAGE,HIPOT,"hipot, leakage, 漏电, 绝缘不良"
P1_POWER,P1_POWER-EL-036,Hi-Pot leakage over spec,ELECTRICAL,LEAKAGE,HIPOT,"hipot, leakage, 漏电, 绝缘不良"
P1_POWER,P1_POWER-EL-037,Idle current high / abnormal consumption,ELECTRICAL,CURRENT_HIGH,BURNIN;FUNC;FCT,"current high, ICC, 功耗高, 静态电流"
