New Terminal Output:
PPSETMODE 0x40047080
PPRSTATUS 0x80017081
PPRCONTROL 0x80017083
PPWCONTROL 0x40017084
PPRDATA 0x80017085
PPWDATA 0x40017086
PPCLAIM 0x708b
PPRELEASE 0x708c
PPYIELD 0x708d
PPFCONTROL 0x4002708e
PPEXCL 0x708f
PPDATADIR 0x40047090
PPNEGOT 0x40047091
PPWCTLONIRQ 0x40017092
PPCLRIRQ 0x80047093
PPSETPHASE 0x40047094
PPGETTIME 0x80107095
PPSETTIME 0x40107096
PPGETMODES 0x80047097
PPGETMODE 0x80047098
PPGETPHASE 0x80047099
PPGETFLAGS 0x8004709a
PPSETFLAGS 0x4004709b
IEEE1284_MODE_NIBBLE 0x0
IEEE1284_MODE_BYTE 0x1
IEEE1284_MODE_COMPAT 0x100
IEEE1284_MODE_BECP 0x200
IEEE1284_MODE_ECP 0x10
IEEE1284_MODE_ECPRLE 0x30
IEEE1284_MODE_ECPSWE 0x400
IEEE1284_MODE_EPP 0x40
IEEE1284_MODE_EPPSL 0x800
IEEE1284_MODE_EPPSWE 0x1000
IEEE1284_DEVICEID 0x4
IEEE1284_EXT_LINK 0x4000
IEEE1284_ADDR 0x2000
IEEE1284_DATA 0x0
PP_FASTWRITE 0x4
PP_FASTREAD 0x8
PP_W91284PIC 0x10

In file included from print_constants.c:1:
/usr/include/stdio.h:28:10: fatal error: bits/libc-header-start.h: No such file or directory
   28 | #include <bits/libc-header-start.h>
      |          ^~~~~~~~~~~~~~~~~~~~~~~~~~
compilation terminated.
