New Terminal Output:
(CVXPY) Jan 26 03:40:50 AM: Your problem has 3889 variables, 14075 constraints, and 0 parameters.
(CVXPY) Jan 26 03:40:51 AM: It is compliant with the following grammars: DCP, DQCP
(CVXPY) Jan 26 03:40:51 AM: (If you need to solve this problem multiple times, but with different data, consider using parameters.)
(CVXPY) Jan 26 03:40:51 AM: CVXPY will first compile your problem; then, it will invoke a numerical solver to obtain a solution.
(CVXPY) Jan 26 03:40:51 AM: Your problem is compiled with the CPP canonicalization backend.
(CVXPY) Jan 26 03:40:51 AM: Compiling problem (target solver=CLARABEL).
(CVXPY) Jan 26 03:40:51 AM: Reduction chain: Dcp2Cone -> CvxAttr2Constr -> ConeMatrixStuffing -> CLARABEL
(CVXPY) Jan 26 03:40:51 AM: Applying reduction Dcp2Cone
(CVXPY) Jan 26 03:40:52 AM: Applying reduction CvxAttr2Constr
(CVXPY) Jan 26 03:40:52 AM: Applying reduction ConeMatrixStuffing
(CVXPY) Jan 26 03:40:58 AM: Applying reduction CLARABEL
(CVXPY) Jan 26 03:40:58 AM: Finished problem compilation (took 7.774e+00 seconds).
(CVXPY) Jan 26 03:40:58 AM: Invoking solver CLARABEL  to obtain a solution.
===============================================================================
                                     CVXPY                                     
                                     v1.7.5                                    
===============================================================================
-------------------------------------------------------------------------------
                                  Compilation                                  
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
                                Numerical solver                               
-------------------------------------------------------------------------------
-------------------------------------------------------------
           Clarabel.rs v0.11.1  -  Clever Acronym                

                   (c) Paul Goulart                          
                University of Oxford, 2022                   
-------------------------------------------------------------

problem:
  variables     = 4399
  constraints   = 14585
  nnz(P)        = 0
  nnz(A)        = 33724
  cones (total) = 2
    :        Zero = 1,  numel = 3380
    : Nonnegative = 1,  numel = 11205

settings:
  linear algebra: direct / qdldl, precision: 64 bit (1 thread)
  max iter = 200, time limit = Inf,  max step = 0.990
  tol_feas = 1.0e-8, tol_gap_abs = 1.0e-8, tol_gap_rel = 1.0e-8,
  static reg : on, ϵ1 = 1.0e-8, ϵ2 = 4.9e-32
  dynamic reg: on, ϵ = 1.0e-13, δ = 2.0e-7
  iter refine: on, reltol = 1.0e-13, abstol = 1.0e-12,
               max iter = 10, stop ratio = 5.0
  equilibrate: on, min_scale = 1.0e-4, max_scale = 1.0e4
               max iter = 10

iter    pcost        dcost       gap       pres      dres      k/t        μ       step      
---------------------------------------------------------------------------------------------
  0  +4.3370e+06  -1.5226e+07  4.51e+00  8.39e-01  2.33e-13  1.00e+00  2.04e+04   ------   
  1  +3.0088e+06  -6.3203e+06  3.10e+00  7.02e-01  2.95e-13  6.08e+03  1.44e+04  7.35e-01  
  2  +2.8495e+06  -2.4223e+06  2.18e+00  5.58e-01  2.81e-13  6.05e+03  1.22e+04  2.40e-01  
  3  +2.8362e+06  +6.8448e+05  3.14e+00  3.23e-01  2.63e-13  3.58e+03  8.11e+03  4.03e-01  
  4  +2.8593e+06  +2.1197e+06  3.49e-01  1.34e-01  2.39e-13  1.36e+03  4.16e+03  5.41e-01  
  5  +2.8616e+06  +2.0980e+06  3.64e-01  1.38e-01  2.68e-13  1.44e+03  4.15e+03  4.73e-03  
  6  +2.8616e+06  +2.1022e+06  3.61e-01  1.37e-01  3.12e-13  1.43e+03  4.15e+03  6.89e-03  
  7  +2.8625e+06  +2.1219e+06  3.49e-01  1.34e-01  3.35e-13  1.35e+03  4.14e+03  2.38e-02  
  8  +2.8636e+06  +2.1222e+06  3.49e-01  1.34e-01  3.23e-13  1.36e+03  4.10e+03  2.60e-02  
  9  +2.8644e+06  +2.1170e+06  3.53e-01  1.35e-01  3.78e-13  1.37e+03  4.09e+03  1.25e-02  
 10  +2.8662e+06  +2.1426e+06  3.38e-01  1.31e-01  3.60e-13  1.28e+03  4.09e+03  1.15e-02  
 11  +2.8653e+06  +2.1412e+06  3.38e-01  1.31e-01  3.62e-13  1.22e+03  4.05e+03  1.63e-01  
 12  +2.9023e+06  +2.5406e+06  1.42e-01  6.89e-02  3.08e-13  4.92e+02  2.42e+03  6.08e-01  
 13  +2.8999e+06  +2.6816e+06  8.14e-02  4.24e-02  2.57e-13  2.27e+02  1.59e+03  6.45e-01  
 14  +2.9000e+06  +2.6847e+06  8.02e-02  4.18e-02  2.82e-13  2.19e+02  1.58e+03  3.53e-02  
 15  +2.9001e+06  +2.6830e+06  8.09e-02  4.22e-02  3.08e-13  2.13e+02  1.58e+03  7.53e-02  
 16  +2.9020e+06  +2.7000e+06  7.48e-02  3.93e-02  3.04e-13  1.84e+02  1.48e+03  1.62e-01  
 17  +2.9075e+06  +2.7572e+06  5.45e-02  2.95e-02  3.23e-13  1.21e+02  1.14e+03  3.88e-01  
