New Terminal Output:
Processed 007.jpg: date=2019-01-23, total=20.00
Processed 009.jpg: date=2018-01-18, total=11.00
Processed 010.jpg: date=2017-12-29, total=14.10
Processed 011.jpg: date=2017-06-15, total=15.000
Processed 019.jpg: date=2018-03-18, total=86.00
Processed 034.jpg: date=2018-08-09, total=332.30
Processed 039.jpg: date=2018-03-30, total=189.75
Processed 052.jpg: date=2018-03-23, total=10.00
Processed 063.jpg: date=None, total=85.54
Processed 064.jpg: date=2018-02-21, total=88.17
Processed 069.jpg: date=2018-02-20, total=9.90
Processed 071.jpg: date=2018-02-19, total=17.76
Processed 074.jpg: date=None, total=702.00
Processed 077.jpg: date=2017-10-29, total=9.90
Processed 078.jpg: date=2017-02-02, total=92.80
Processed 080.jpg: date=2017-09-21, total=10.40
Processed 083.jpg: date=2017-05-30, total=18.80
Processed 087.jpg: date=None, total=538.00
Processed 088.jpg: date=None, total=99.80
Processed 090.jpg: date=2017-03-13, total=5.00
Processed 094.jpg: date=2018-02-09, total=5.90
Processed 097.jpg: date=2018-01-12, total=21.00
Done.
