New Terminal Output:
Package                  Version
------------------------ ---------------
aiohappyeyeballs         2.6.1
aiohttp                  3.13.3
aiosignal                1.4.0
anyio                    4.12.1
attrs                    25.4.0
cbor2                    5.8.0
certifi                  2026.1.4
click                    8.3.1
einops                   0.8.0
filelock                 3.20.3
frozenlist               1.8.0
fsspec                   2026.1.0
grpclib                  0.4.9
h2                       4.3.0
hpack                    4.1.0
hyperframe               6.1.0
idna                     3.11
Jinja2                   3.1.6
markdown-it-py           4.0.0
MarkupSafe               3.0.3
mdurl                    0.1.2
modal                    1.3.0
mpmath                   1.3.0
multidict                6.7.0
networkx                 3.6.1
nvidia-cublas-cu12       12.4.5.8
nvidia-cuda-cupti-cu12   12.4.127
nvidia-cuda-nvrtc-cu12   12.4.127
nvidia-cuda-runtime-cu12 12.4.127
nvidia-cudnn-cu12        9.1.0.70
nvidia-cufft-cu12        11.2.1.3
nvidia-curand-cu12       10.3.5.147
nvidia-cusolver-cu12     11.6.1.9
nvidia-cusparse-cu12     12.3.1.170
nvidia-nccl-cu12         2.21.5
nvidia-nvjitlink-cu12    12.4.127
nvidia-nvtx-cu12         12.4.127
pip                      24.0
propcache                0.4.1
protobuf                 6.33.4
Pygments                 2.19.2
rich                     14.3.0
setuptools               68.1.2
shellingham              1.5.4
sympy                    1.13.1
synchronicity            0.11.1
toml                     0.10.2
torch                    2.5.1
triton                   3.1.0
typer                    0.21.1
types-certifi            2021.10.8.3
types-toml               0.10.8.20240310
typing_extensions        4.15.0
watchfiles               1.1.1
wheel                    0.42.0
yarl                     1.22.0
