New Terminal Output:
unified_level_1,unified_level_2,unified_level_3,unified_level_4,unified_level_5
Books,,,,
Books,Biographies,Arts & Literature Biographies,Psychologist Biographies,
Books,Biographies,Arts & Literature Biographies,Rich & Famous Biographies,
Books,Biographies,Arts & Literature Biographies,Rich & Famous Biographies,Afghan & Iraq War Biographies
Books,Biographies,Arts & Literature Biographies,Theatre Biographies,
Books,Biographies,Arts & Literature Biographies,Theatre Biographies,Heavy Metal Musician Biographies
Books,Biographies,Historical Biographies,,
Books,Biographies,Historical Biographies,Historical European Biographies,Historical Russia Biographies
Books,Biographies,True Crime,White Collar Crime True Accounts,
Books,Calendars,Animal Calendars,Cat Calendars,
Books,Calendars,Animal Calendars,Horse Calendars,
Books,Children's Books,,,
Books,Children's Books,Aging Parents,,
Books,Children's Books,Aging Parents,Disability Parenting,
Books,Children's Books,Architecture,Commercial Graphic Design,Branding & Logo Design
Books,Children's Books,Architecture,Historic Architectural Preservation,
Books,Children's Books,Architecture,Interior Design,
Books,Children's Books,Automotive,Automotive Insurance,
Books,Children's Books,Children's History,Children's African Folk Tales,
