New Terminal Output:
source,category_path,depth,unified_level_1,unified_level_2,unified_level_3,unified_level_4,unified_level_5
amazon,"Clothing, Shoes & Jewelry > Women's Fashion > Women's Shops > Maternity > Maternity Sleepwear",5,Clothing Shoes & Jewelry,Womens Fashion,Womens Shops,Maternity,Maternity Sleepwear
amazon,"Beauty & Personal Care > Foot, Hand & Nail Care Products > Hand, Foot & Nail Tools > Nail Cleaning Brushes",4,Beauty & Personal Care,Personal Care,Nail Polish & Decoration Products,Nail Art Tools,
amazon,Health & Household > Health Care Products > First Aid Supplies > Itching & Rash Treatments > Poison Ivy Treatments,5,Beauty & Personal Care,Health Care,First Aid,Itching & Rash Treatments,Poison Ivy Treatments
amazon,Sports & Outdoors > Outdoor Recreation > Cycling Equipment > Cycling Accessories > Bike Lights & Reflectors > Bike Headlights,5,Clothing Shoes & Jewelry,outdoor recreation,cycling,Cycling Apparel & Accessories,Bike Lights & Reflectors
amazon,Pet Supplies > Horse Supplies > Horse Grooming & Bathing Supplies > Horse Care Coat Care,4,Pet Supplies,Pet Supplies Sub,Fish Supplies,Horse Care Coat Care,
amazon,Automotive > Automotive Replacement Parts > Automotive Replacement Engines & Engine Parts > Automotive Replacement Engine Parts > Automotive Replacement Engine Valves & Parts > Automotive Replacement Engine Valve Cover Bolts,5,Clothing Shoes & Jewelry,Automotive Replacement Parts,Automotive Replacement Engines & Engine,Automotive Replacement Engine Parts,Automotive Replacement Engine Valves &
amazon,Books > Science & Math > Behavioral Sciences > Cognitive Psychology,4,Clothing Shoes & Jewelry,Athletics,Measuring Tools & Sensors,Novelty Clothing,
amazon,Automotive > Car Care > Exterior Care Products > Cleaners,4,Clothing Shoes & Jewelry,Athletics,Measuring Tools & Sensors,Cleaners,
amazon,Books > History > American History > South American History > Peru History,5,Clothing Shoes & Jewelry,Athletics,American History,South American History,Peru History

unified_level_1,unified_level_2,unified_level_3,unified_level_4,unified_level_5
Arts Crafts & Sewing,,,,
Arts Crafts & Sewing,Beading & Jewelry Making,,,
Arts Crafts & Sewing,Beading & Jewelry Making,Beading Supplies,"Beading Mats, Trays & Boards",
Arts Crafts & Sewing,Beading & Jewelry Making,Jewelry Making Kits,,
Arts Crafts & Sewing,Beading & Jewelry Making,Jewelry Making Kits,Jewelry Making Chains,
Arts Crafts & Sewing,Beading & Jewelry Making,Jewelry Making Tools & Accessories,Jewelry Diamond & Gold Testers,Jewelry Diamond Testers
Arts Crafts & Sewing,Craft Supplies & Materials,,,
Arts Crafts & Sewing,Craft Supplies & Materials,Candle Making Supplies,Candle Making Molds,
Arts Crafts & Sewing,Craft Supplies & Materials,Candle Making Supplies,Candle Making Wax,
Arts Crafts & Sewing,Craft Supplies & Materials,Candle Making Supplies,Stained Glass Lead & Foil,
Arts Crafts & Sewing,Craft Supplies & Materials,Ceramic & Pottery Supplies,,
Arts Crafts & Sewing,Craft Supplies & Materials,Ceramic & Pottery Supplies,Clay Molds,
Arts Crafts & Sewing,Craft Supplies & Materials,Ceramic & Pottery Supplies,Leathercraft Accessories,
Arts Crafts & Sewing,Craft Supplies & Materials,Ceramic & Pottery Supplies,Pottery Wheels & Accessories,
Arts Crafts & Sewing,Craft Supplies & Materials,Paper Craft Supplies,Craft Adhesives,
Arts Crafts & Sewing,Craft Supplies & Materials,Paper Craft Supplies,Craft Adhesives,Art Glues & Pastes
Arts Crafts & Sewing,Craft Supplies & Materials,Paper Craft Supplies,Craft Adhesives,Construction Paper
Arts Crafts & Sewing,Craft Supplies & Materials,Paper Craft Supplies,Craft Adhesives,Craft Glue Guns & Sticks
Arts Crafts & Sewing,Craft Supplies & Materials,Paper Craft Supplies,Face Painting Supplies,
