New Terminal Output:
Processed 007.jpg: Date=2019-01-23, Amount=20.00
Processed 009.jpg: Date=2018-01-18, Amount=26.60
Processed 010.jpg: Date=None, Amount=None
Processed 011.jpg: Date=2017-06-15, Amount=5.00
Processed 019.jpg: Date=2018-03-18, Amount=86.00
Processed 034.jpg: Date=2018-03-09, Amount=18.81
Processed 039.jpg: Date=None, Amount=189.75
Processed 052.jpg: Date=2018-03-23, Amount=20.00
Processed 063.jpg: Date=2018-02-26, Amount=85.54
Processed 064.jpg: Date=2018-02-21, Amount=None
Processed 069.jpg: Date=2018-02-20, Amount=9.90
Processed 071.jpg: Date=2018-02-19, Amount=17.70
Processed 074.jpg: Date=2018-03-20, Amount=702.00
Processed 077.jpg: Date=2017-10-29, Amount=23.26
Processed 078.jpg: Date=2017-02-02, Amount=100.00
Processed 080.jpg: Date=2017-09-21, Amount=10.40
Processed 083.jpg: Date=2017-05-30, Amount=1.07
Processed 087.jpg: Date=None, Amount=538.00
Processed 088.jpg: Date=None, Amount=99.80
Processed 090.jpg: Date=2017-03-13, Amount=5.00
Processed 094.jpg: Date=2018-02-09, Amount=10.00
Processed 097.jpg: Date=2018-01-12, Amount=21.00
