New Terminal Output:
year        rgdpna     delta           rnna
4400  2010  41919.085938  0.037575  215740.281250
4401  2011  45004.605469  0.037597  218333.703125
4402  2012  47892.449219  0.037678  221570.093750
4403  2013  49624.027344  0.037818  223431.875000
4404  2014  51828.101562  0.038252  227911.968750
4405  2015  53396.742188  0.039170  234164.859375
4406  2016  54948.359375  0.040339  241138.375000
4407  2017  57609.710938  0.041650  248033.093750
4408  2018  60399.593750  0.042621  254809.796875
4409  2019  63508.824219  0.043566  264125.562500
