time,ego_speed,acceleration_cmd,mode,distance_error,distance,ttc
0.0,0,3,cruise,,,
0.1,0.3,3,cruise,,,
0.2,0.6,3,cruise,,,
0.3,0.9,3,cruise,,,
0.4,1.2,3,cruise,,,
0.5,1.5,3,cruise,,,
0.6,1.8,3,cruise,,,
0.7,2.1,3,cruise,,,
0.8,2.4,3,cruise,,,
0.9,2.7,3,cruise,,,
1.0,3,3,cruise,,,
1.1,3.3,3,cruise,,,
1.2,3.6,3,cruise,,,
1.3,3.9,3,cruise,,,
1.4,4.2,3,cruise,,,
1.5,4.5,3,cruise,,,
1.6,4.8,3,cruise,,,
1.7,5.1,3,cruise,,,
1.8,5.4,3,cruise,,,
1.9,5.7,3,cruise,,,
2.0,6,3,cruise,,,
2.1,6.3,3,cruise,,,
2.2,6.6,3,cruise,,,
2.3,6.9,3,cruise,,,
2.4,7.2,3,cruise,,,
2.5,7.5,3,cruise,,,
2.6,7.8,3,cruise,,,
2.7,8.1,3,cruise,,,
2.8,8.4,3,cruise,,,
2.9,8.7,3,cruise,,,
3.0,9,3,cruise,,,
3.1,9.3,3,cruise,,,
3.2,9.6,3,cruise,,,
3.3,9.9,3,cruise,,,
3.4,10.2,3,cruise,,,
3.5,10.5,3,cruise,,,
3.6,10.8,3,cruise,,,
3.7,11.1,3,cruise,,,
3.8,11.4,3,cruise,,,
3.9,11.7,3,cruise,,,
4.0,12,3,cruise,,,
4.1,12.3,3,cruise,,,
4.2,12.6,3,cruise,,,
4.3,12.9,3,cruise,,,
4.4,13.2,3,cruise,,,
4.5,13.5,3,cruise,,,
4.6,13.8,3,cruise,,,
4.7,14.1,3,cruise,,,
4.8,14.4,3,cruise,,,
4.9,14.7,3,cruise,,,
5.0,15,3,cruise,,,
5.1,15.3,3,cruise,,,
5.2,15.6,3,cruise,,,
5.3,15.9,3,cruise,,,
5.4,16.2,3,cruise,,,
5.5,16.5,3,cruise,,,
5.6,16.8,3,cruise,,,
5.7,17.1,3,cruise,,,
5.8,17.4,3,cruise,,,
5.9,17.7,3,cruise,,,
6.0,18,3,cruise,,,
6.1,18.3,3,cruise,,,
6.2,18.6,3,cruise,,,
6.3,18.9,3,cruise,,,
6.4,19.2,3,cruise,,,
6.5,19.5,3,cruise,,,
6.6,19.8,3,cruise,,,
6.7,20.1,3,cruise,,,
6.8,20.4,3,cruise,,,
6.9,20.7,2.955,cruise,,,
7.0,20.996,2.856,cruise,,,
7.1,21.281,2.766,cruise,,,
7.2,21.558,2.678,cruise,,,
7.3,21.826,2.593,cruise,,,
7.4,22.085,2.511,cruise,,,
7.5,22.336,2.431,cruise,,,
7.6,22.579,2.354,cruise,,,
7.7,22.815,2.28,cruise,,,
7.8,23.042,2.207,cruise,,,
7.9,23.263,2.137,cruise,,,
8.0,23.477,2.069,cruise,,,
8.1,23.684,2.004,cruise,,,
8.2,23.884,1.94,cruise,,,
8.3,24.078,1.879,cruise,,,
8.4,24.266,1.819,cruise,,,
8.5,24.448,1.761,cruise,,,
8.6,24.624,1.705,cruise,,,
8.7,24.795,1.651,cruise,,,
8.8,24.96,1.599,cruise,,,
8.9,25.12,1.548,cruise,,,
9.0,25.274,1.499,cruise,,,
9.1,25.424,1.452,cruise,,,
9.2,25.57,1.405,cruise,,,
9.3,25.71,1.361,cruise,,,
9.4,25.846,1.318,cruise,,,
9.5,25.978,1.276,cruise,,,
9.6,26.106,1.235,cruise,,,
9.7,26.229,1.196,cruise,,,
9.8,26.349,1.158,cruise,,,
9.9,26.465,1.122,cruise,,,
10.0,26.577,1.086,cruise,,,
10.1,26.685,1.052,cruise,,,
10.2,26.79,1.018,cruise,,,
10.3,26.892,0.986,cruise,,,
10.4,26.991,0.955,cruise,,,
10.5,27.086,0.924,cruise,,,
10.6,27.179,0.895,cruise,,,
10.7,27.268,0.867,cruise,,,
10.8,27.355,0.839,cruise,,,
10.9,27.439,0.812,cruise,,,
11.0,27.52,0.787,cruise,,,
11.1,27.599,0.762,cruise,,,
11.2,27.675,0.738,cruise,,,
11.3,27.749,0.714,cruise,,,
11.4,27.82,0.692,cruise,,,
11.5,27.889,0.67,cruise,,,
11.6,27.956,0.648,cruise,,,
11.7,28.021,0.628,cruise,,,
11.8,28.084,0.608,cruise,,,
11.9,28.145,0.589,cruise,,,
12.0,28.204,0.57,cruise,,,
12.1,28.26,0.552,cruise,,,
12.2,28.316,0.534,cruise,,,
12.3,28.369,0.517,cruise,,,
12.4,28.421,0.501,cruise,,,
12.5,28.471,0.485,cruise,,,
12.6,28.519,0.47,cruise,,,
12.7,28.566,0.455,cruise,,,
12.8,28.612,0.44,cruise,,,
12.9,28.656,0.426,cruise,,,
13.0,28.699,0.413,cruise,,,
13.1,28.74,0.4,cruise,,,
13.2,28.78,0.387,cruise,,,
13.3,28.819,0.375,cruise,,,
13.4,28.856,0.363,cruise,,,
13.5,28.892,0.351,cruise,,,
