time,ego_speed,acceleration_cmd,mode,distance_error,distance,ttc
0.0,0.0000,3.0000,cruise,,,
0.1,0.3000,3.0000,cruise,,,
0.2,0.6000,3.0000,cruise,,,
0.3,0.9000,3.0000,cruise,,,
0.4,1.2000,3.0000,cruise,,,
0.5,1.5000,3.0000,cruise,,,
0.6,1.8000,3.0000,cruise,,,
0.7,2.1000,3.0000,cruise,,,
0.8,2.4000,3.0000,cruise,,,
0.9,2.7000,3.0000,cruise,,,
1.0,3.0000,3.0000,cruise,,,
1.1,3.3000,3.0000,cruise,,,
1.2,3.6000,3.0000,cruise,,,
1.3,3.9000,3.0000,cruise,,,
1.4,4.2000,3.0000,cruise,,,
1.5,4.5000,3.0000,cruise,,,
1.6,4.8000,3.0000,cruise,,,
1.7,5.1000,3.0000,cruise,,,
1.8,5.4000,3.0000,cruise,,,
1.9,5.7000,3.0000,cruise,,,
2.0,6.0000,3.0000,cruise,,,
2.1,6.3000,3.0000,cruise,,,
2.2,6.6000,3.0000,cruise,,,
2.3,6.9000,3.0000,cruise,,,
2.4,7.2000,3.0000,cruise,,,
2.5,7.5000,3.0000,cruise,,,
2.6,7.8000,3.0000,cruise,,,
2.7,8.1000,3.0000,cruise,,,
2.8,8.4000,3.0000,cruise,,,
2.9,8.7000,3.0000,cruise,,,
3.0,9.0000,3.0000,cruise,,,
3.1,9.3000,3.0000,cruise,,,
3.2,9.6000,3.0000,cruise,,,
3.3,9.9000,3.0000,cruise,,,
3.4,10.2000,3.0000,cruise,,,
3.5,10.5000,3.0000,cruise,,,
3.6,10.8000,3.0000,cruise,,,
3.7,11.1000,3.0000,cruise,,,
3.8,11.4000,3.0000,cruise,,,
3.9,11.7000,3.0000,cruise,,,
4.0,12.0000,3.0000,cruise,,,
4.1,12.3000,3.0000,cruise,,,
4.2,12.6000,3.0000,cruise,,,
4.3,12.9000,3.0000,cruise,,,
4.4,13.2000,3.0000,cruise,,,
4.5,13.5000,3.0000,cruise,,,
4.6,13.8000,3.0000,cruise,,,
4.7,14.1000,3.0000,cruise,,,
4.8,14.4000,3.0000,cruise,,,
4.9,14.7000,3.0000,cruise,,,
5.0,15.0000,3.0000,cruise,,,
5.1,15.3000,3.0000,cruise,,,
5.2,15.6000,3.0000,cruise,,,
5.3,15.9000,3.0000,cruise,,,
5.4,16.2000,3.0000,cruise,,,
5.5,16.5000,3.0000,cruise,,,
5.6,16.8000,3.0000,cruise,,,
5.7,17.1000,3.0000,cruise,,,
5.8,17.4000,3.0000,cruise,,,
5.9,17.7000,3.0000,cruise,,,
6.0,18.0000,3.0000,cruise,,,
6.1,18.3000,3.0000,cruise,,,
6.2,18.6000,3.0000,cruise,,,
6.3,18.9000,3.0000,cruise,,,
6.4,19.2000,3.0000,cruise,,,
6.5,19.5000,3.0000,cruise,,,
6.6,19.8000,3.0000,cruise,,,
6.7,20.1000,3.0000,cruise,,,
6.8,20.4000,3.0000,cruise,,,
6.9,20.7000,3.0000,cruise,,,
7.0,21.0000,3.0000,cruise,,,
7.1,21.3000,3.0000,cruise,,,
7.2,21.6000,3.0000,cruise,,,
7.3,21.9000,3.0000,cruise,,,
7.4,22.2000,3.0000,cruise,,,
7.5,22.5000,3.0000,cruise,,,
7.6,22.8000,3.0000,cruise,,,
7.7,23.1000,3.0000,cruise,,,
7.8,23.4000,3.0000,cruise,,,
7.9,23.7000,3.0000,cruise,,,
8.0,24.0000,3.0000,cruise,,,
8.1,24.3000,3.0000,cruise,,,
8.2,24.6000,3.0000,cruise,,,
8.3,24.9000,3.0000,cruise,,,
8.4,25.2000,3.0000,cruise,,,
8.5,25.5000,3.0000,cruise,,,
8.6,25.8000,3.0000,cruise,,,
8.7,26.1000,3.0000,cruise,,,
8.8,26.4000,3.0000,cruise,,,
8.9,26.7000,3.0000,cruise,,,
9.0,27.0000,3.0000,cruise,,,
9.1,27.3000,3.0000,cruise,,,
9.2,27.6000,3.0000,cruise,,,
9.3,27.9000,3.0000,cruise,,,
9.4,28.2000,3.0000,cruise,,,
9.5,28.5000,3.0000,cruise,,,
9.6,28.8000,3.0000,cruise,,,
9.7,29.1000,2.7141,cruise,,,
9.8,29.3714,2.0434,cruise,,,
9.9,29.5758,1.7662,cruise,,,
10.0,29.7524,1.3752,cruise,,,
10.1,29.8899,1.1582,cruise,,,
10.2,30.0057,0.9192,cruise,,,
