time,ego_speed,acceleration_cmd,mode,distance_error,distance,ttc
0.0,0.0,3.0,cruise,,,
0.1,0.2,2.9800000000000004,cruise,,,
0.2,0.4,2.9600000000000004,cruise,,,
0.3,0.6,2.94,cruise,,,
0.4,0.8,2.92,cruise,,,
0.5,1.0,2.9000000000000004,cruise,,,
0.6,1.2,2.8800000000000003,cruise,,,
0.7,1.4,2.8600000000000003,cruise,,,
0.8,1.6,2.84,cruise,,,
0.9,1.8,2.8200000000000003,cruise,,,
1.0,2.0,2.8000000000000003,cruise,,,
1.1,2.2,2.7800000000000002,cruise,,,
1.2,2.4,2.7600000000000002,cruise,,,
1.3,2.6,2.74,cruise,,,
1.4,2.8,2.72,cruise,,,
1.5,3.0,2.7,cruise,,,
1.6,3.2,2.68,cruise,,,
1.7,3.4,2.66,cruise,,,
1.8,3.6,2.64,cruise,,,
1.9,3.8,2.62,cruise,,,
2.0,4.0,2.6,cruise,,,
2.1,4.2,2.58,cruise,,,
2.2,4.4,2.5600000000000005,cruise,,,
2.3,4.6,2.54,cruise,,,
2.4,4.8,2.52,cruise,,,
2.5,5.0,2.5,cruise,,,
2.6,5.2,2.4800000000000004,cruise,,,
2.7,5.4,2.4600000000000004,cruise,,,
2.8,5.6,2.44,cruise,,,
2.9,5.8,2.42,cruise,,,
3.0,6.0,2.4000000000000004,cruise,,,
3.1,6.2,2.3800000000000003,cruise,,,
3.2,6.4,2.3600000000000003,cruise,,,
3.3,6.6,2.34,cruise,,,
3.4,6.8,2.32,cruise,,,
3.5,7.0,2.3000000000000003,cruise,,,
3.6,7.2,2.2800000000000002,cruise,,,
3.7,7.4,2.2600000000000002,cruise,,,
3.8,7.6,2.2399999999999998,cruise,,,
3.9,7.8,2.22,cruise,,,
4.0,8.0,2.2,cruise,,,
4.1,8.2,2.18,cruise,,,
4.2,8.4,2.16,cruise,,,
4.3,8.6,2.14,cruise,,,
4.4,8.8,2.12,cruise,,,
4.5,9.0,2.1,cruise,,,
4.6,9.2,2.08,cruise,,,
4.7,9.4,2.06,cruise,,,
4.8,9.6,2.04,cruise,,,
4.9,9.8,2.02,cruise,,,
5.0,10.0,2.0,cruise,,,
5.1,10.2,1.9800000000000002,cruise,,,
5.2,10.4,1.9600000000000002,cruise,,,
5.3,10.6,1.94,cruise,,,
5.4,10.8,1.92,cruise,,,
5.5,11.0,1.9000000000000001,cruise,,,
5.6,11.2,1.8800000000000001,cruise,,,
5.7,11.4,1.8600000000000003,cruise,,,
5.8,11.6,1.8399999999999999,cruise,,,
5.9,11.8,1.82,cruise,,,
6.0,12.0,1.8,cruise,,,
6.1,12.2,1.7800000000000002,cruise,,,
6.2,12.4,1.7600000000000002,cruise,,,
6.3,12.6,1.74,cruise,,,
6.4,12.8,1.72,cruise,,,
6.5,13.0,1.7000000000000002,cruise,,,
6.6,13.2,1.6800000000000002,cruise,,,
6.7,13.4,1.6600000000000001,cruise,,,
6.8,13.6,1.64,cruise,,,
