time,ego_speed,acceleration_cmd,mode,distance_error,distance,ttc
0.0,0.3,3.0,cruise,,,
0.1,0.6,3.0,cruise,,,
0.2,0.9,3.0,cruise,,,
0.3,1.2,3.0,cruise,,,
0.4,1.5,3.0,cruise,,,
0.5,1.8,3.0,cruise,,,
0.6,2.1,3.0,cruise,,,
0.7,2.4,3.0,cruise,,,
0.8,2.7,3.0,cruise,,,
0.9,3.0,3.0,cruise,,,
1.0,3.3,3.0,cruise,,,
1.1,3.6,3.0,cruise,,,
1.2,3.9,3.0,cruise,,,
1.3,4.2,3.0,cruise,,,
1.4,4.5,3.0,cruise,,,
1.5,4.8,3.0,cruise,,,
1.6,5.1,3.0,cruise,,,
1.7,5.4,3.0,cruise,,,
1.8,5.7,3.0,cruise,,,
1.9,6.0,3.0,cruise,,,
2.0,6.3,3.0,cruise,,,
2.1,6.6,3.0,cruise,,,
2.2,6.9,3.0,cruise,,,
2.3,7.2,3.0,cruise,,,
2.4,7.5,3.0,cruise,,,
2.5,7.8,3.0,cruise,,,
2.6,8.1,3.0,cruise,,,
2.7,8.4,3.0,cruise,,,
2.8,8.7,3.0,cruise,,,
2.9,9.0,3.0,cruise,,,
3.0,9.3,3.0,cruise,,,
3.1,9.6,3.0,cruise,,,
3.2,9.9,3.0,cruise,,,
3.3,10.2,3.0,cruise,,,
3.4,10.5,3.0,cruise,,,
3.5,10.8,3.0,cruise,,,
3.6,11.1,3.0,cruise,,,
3.7,11.4,3.0,cruise,,,
3.8,11.7,3.0,cruise,,,
3.9,12.0,3.0,cruise,,,
4.0,12.3,3.0,cruise,,,
4.1,12.6,3.0,cruise,,,
4.2,12.9,3.0,cruise,,,
4.3,13.2,3.0,cruise,,,
4.4,13.5,3.0,cruise,,,
4.5,13.8,3.0,cruise,,,
4.6,14.1,3.0,cruise,,,
4.7,14.4,3.0,cruise,,,
4.8,14.7,3.0,cruise,,,
4.9,15.0,3.0,cruise,,,
5.0,15.3,3.0,cruise,,,
5.1,15.6,3.0,cruise,,,
5.2,15.9,3.0,cruise,,,
5.3,16.2,3.0,cruise,,,
5.4,16.5,3.0,cruise,,,
5.5,16.8,3.0,cruise,,,
5.6,17.1,3.0,cruise,,,
5.7,17.4,3.0,cruise,,,
5.8,17.7,3.0,cruise,,,
5.9,18.0,3.0,cruise,,,
6.0,18.3,3.0,cruise,,,
6.1,18.6,3.0,cruise,,,
6.2,18.9,3.0,cruise,,,
6.3,19.2,3.0,cruise,,,
6.4,19.5,3.0,cruise,,,
6.5,19.8,3.0,cruise,,,
6.6,20.1,3.0,cruise,,,
6.7,20.4,3.0,cruise,,,
6.8,20.7,3.0,cruise,,,
6.9,21.0,3.0,cruise,,,
7.0,21.3,3.0,cruise,,,
7.1,21.6,3.0,cruise,,,
7.2,21.9,3.0,cruise,,,
7.3,22.2,3.0,cruise,,,
7.4,22.5,3.0,cruise,,,
7.5,22.8,3.0,cruise,,,
7.6,23.1,3.0,cruise,,,
7.7,23.4,3.0,cruise,,,
7.8,23.7,3.0,cruise,,,
7.9,24.0,3.0,cruise,,,
8.0,24.3,3.0,cruise,,,
8.1,24.6,3.0,cruise,,,
8.2,24.9,3.0,cruise,,,
8.3,25.2,3.0,cruise,,,
8.4,25.5,3.0,cruise,,,
8.5,25.8,3.0,cruise,,,
8.6,26.1,3.0,cruise,,,
8.7,26.4,3.0,cruise,,,
8.8,26.7,3.0,cruise,,,
8.9,27.0,3.0,cruise,,,
9.0,27.3,3.0,cruise,,,
9.1,27.6,3.0,cruise,,,
9.2,27.9,3.0,cruise,,,
9.3,28.2,3.0,cruise,,,
9.4,28.5,3.0,cruise,,,
9.5,28.8,3.0,cruise,,,
9.6,29.1,3.0,cruise,,,
9.7,29.4,3.0,cruise,,,
9.8,29.7,3.0,cruise,,,
9.9,30.0,3.0,cruise,,,
10.0,30.3,3.0,cruise,,,
10.1,30.6,3.0,cruise,,,
10.2,30.9,3.0,cruise,,,
10.3,31.2,3.0,cruise,,,
10.4,31.5,3.0,cruise,,,
10.5,31.8,3.0,cruise,,,
10.6,32.1,3.0,cruise,,,
10.7,32.4,3.0,cruise,,,
10.8,32.7,3.0,cruise,,,
10.9,33.0,3.0,cruise,,,
11.0,33.3,3.0,cruise,,,
11.1,33.6,3.0,cruise,,,
11.2,33.9,3.0,cruise,,,
11.3,34.2,3.0,cruise,,,
11.4,34.5,3.0,cruise,,,
11.5,34.8,3.0,cruise,,,
11.6,35.1,3.0,cruise,,,
11.7,35.4,3.0,cruise,,,
11.8,35.7,3.0,cruise,,,
11.9,36.0,3.0,cruise,,,
12.0,36.3,3.0,cruise,,,
12.1,36.6,3.0,cruise,,,
12.2,36.9,3.0,cruise,,,
12.3,37.2,3.0,cruise,,,
12.4,37.5,3.0,cruise,,,
12.5,37.8,3.0,cruise,,,
12.6,38.1,3.0,cruise,,,
12.7,38.4,3.0,cruise,,,
12.8,38.7,3.0,cruise,,,
12.9,39.0,3.0,cruise,,,
13.0,39.3,3.0,cruise,,,
13.1,39.6,3.0,cruise,,,
13.2,39.9,3.0,cruise,,,
13.3,40.2,3.0,cruise,,,
13.4,40.5,3.0,cruise,,,
13.5,40.8,3.0,cruise,,,
13.6,41.1,3.0,cruise,,,
13.7,41.4,3.0,cruise,,,
13.8,41.7,3.0,cruise,,,
13.9,42.0,3.0,cruise,,,
14.0,42.3,3.0,cruise,,,
14.1,42.6,3.0,cruise,,,
14.2,42.9,3.0,cruise,,,
14.3,43.2,3.0,cruise,,,
14.4,43.5,3.0,cruise,,,
14.5,43.8,3.0,cruise,,,
14.6,44.1,3.0,cruise,,,
14.7,44.4,2.9,cruise,,,
14.8,44.6,2.6,cruise,,,
14.9,44.9,2.3,cruise,,,
15.0,45.1,2.1,cruise,,,
15.1,45.3,1.8,cruise,,,
15.2,45.4,1.6,cruise,,,
15.3,45.6,1.4,cruise,,,
15.4,45.7,1.2,cruise,,,
15.5,45.8,1.0,cruise,,,
15.6,45.9,0.8,cruise,,,
15.7,45.9,0.6,cruise,,,
15.8,46.0,0.4,cruise,,,
15.9,46.0,0.3,cruise,,,
16.0,46.0,0.1,cruise,,,
16.1,46.0,-0.0,cruise,,,
16.2,46.0,-0.2,cruise,,,
16.3,46.0,-0.3,cruise,,,
16.4,45.9,-0.4,cruise,,,
16.5,45.9,-0.5,cruise,,,
16.6,45.8,-0.6,cruise,,,
16.7,45.7,-0.7,cruise,,,
16.8,45.6,-0.8,cruise,,,
16.9,45.5,-0.9,cruise,,,
17.0,45.4,-1.0,cruise,,,
17.1,45.3,-1.1,cruise,,,
17.2,45.2,-1.2,cruise,,,
17.3,45.1,-1.2,cruise,,,
17.4,45.0,-1.3,cruise,,,
17.5,44.8,-1.4,cruise,,,
17.6,44.7,-1.4,cruise,,,
17.7,44.5,-1.5,cruise,,,
17.8,44.4,-1.5,cruise,,,
17.9,44.2,-1.6,cruise,,,
18.0,44.1,-1.6,cruise,,,
18.1,43.9,-1.6,cruise,,,
18.2,43.7,-1.7,cruise,,,
18.3,43.6,-1.7,cruise,,,
18.4,43.4,-1.7,cruise,,,
18.5,43.2,-1.8,cruise,,,
18.6,43.0,-1.8,cruise,,,
18.7,42.9,-1.8,cruise,,,
18.8,42.7,-1.8,cruise,,,
18.9,42.5,-1.8,cruise,,,
19.0,42.3,-1.9,cruise,,,
19.1,42.1,-1.9,cruise,,,
19.2,41.9,-1.9,cruise,,,
19.3,41.7,-1.9,cruise,,,
19.4,41.6,-1.9,cruise,,,
19.5,41.4,-1.9,cruise,,,
19.6,41.2,-1.9,cruise,,,
19.7,41.0,-1.9,cruise,,,
19.8,40.8,-1.9,cruise,,,
19.9,40.6,-1.9,cruise,,,
20.0,40.4,-1.9,cruise,,,
20.1,40.2,-1.9,cruise,,,
20.2,40.1,-1.9,cruise,,,
20.3,39.9,-1.8,cruise,,,
20.4,39.7,-1.8,cruise,,,
20.5,39.5,-1.8,cruise,,,
20.6,39.3,-1.8,cruise,,,
20.7,39.1,-1.8,cruise,,,
20.8,39.0,-1.8,cruise,,,
20.9,38.8,-1.8,cruise,,,
21.0,38.6,-1.8,cruise,,,
21.1,38.4,-1.7,cruise,,,
21.2,38.3,-1.7,cruise,,,
21.3,38.1,-1.7,cruise,,,
21.4,37.9,-1.7,cruise,,,
21.5,37.8,-1.7,cruise,,,
21.6,37.6,-1.6,cruise,,,
21.7,37.4,-1.6,cruise,,,
21.8,37.3,-1.6,cruise,,,
21.9,37.1,-1.6,cruise,,,
22.0,37.0,-1.6,cruise,,,
22.1,36.8,-1.5,cruise,,,
22.2,36.7,-1.5,cruise,,,
22.3,36.5,-1.5,cruise,,,
22.4,36.4,-1.5,cruise,,,
22.5,36.2,-1.5,cruise,,,
22.6,36.1,-1.4,cruise,,,
22.7,35.9,-1.4,cruise,,,
22.8,35.8,-1.4,cruise,,,
22.9,35.7,-1.4,cruise,,,
23.0,35.5,-1.3,cruise,,,
23.1,35.4,-1.3,cruise,,,
23.2,35.3,-1.3,cruise,,,
23.3,35.1,-1.3,cruise,,,
23.4,35.0,-1.3,cruise,,,
23.5,34.9,-1.2,cruise,,,
23.6,34.8,-1.2,cruise,,,
23.7,34.6,-1.2,cruise,,,
23.8,34.5,-1.2,cruise,,,
23.9,34.4,-1.1,cruise,,,
24.0,34.3,-1.1,cruise,,,
24.1,34.2,-1.1,cruise,,,
24.2,34.1,-1.1,cruise,,,
24.3,34.0,-1.1,cruise,,,
24.4,33.9,-1.0,cruise,,,
24.5,33.8,-1.0,cruise,,,
24.6,33.7,-1.0,cruise,,,
24.7,33.6,-1.0,cruise,,,
24.8,33.5,-1.0,cruise,,,
24.9,33.4,-0.9,cruise,,,
25.0,33.3,-0.9,cruise,,,
25.1,33.2,-0.9,cruise,,,
25.2,33.1,-0.9,cruise,,,
25.3,33.0,-0.9,cruise,,,
25.4,32.9,-0.8,cruise,,,
25.5,32.9,-0.8,cruise,,,
25.6,32.8,-0.8,cruise,,,
25.7,32.7,-0.8,cruise,,,
25.8,32.6,-0.8,cruise,,,
25.9,32.5,-0.8,cruise,,,
26.0,32.5,-0.7,cruise,,,
26.1,32.4,-0.7,cruise,,,
26.2,32.3,-0.7,cruise,,,
26.3,32.3,-0.7,cruise,,,
26.4,32.2,-0.7,cruise,,,
26.5,32.1,-0.7,cruise,,,
26.6,32.1,-0.6,cruise,,,
26.7,32.0,-0.6,cruise,,,
26.8,31.9,-0.6,cruise,,,
26.9,31.9,-0.6,cruise,,,
27.0,31.8,-0.6,cruise,,,
27.1,31.8,-0.6,cruise,,,
27.2,31.7,-0.6,cruise,,,
27.3,31.7,-0.5,cruise,,,
27.4,31.6,-0.5,cruise,,,
27.5,31.6,-0.5,cruise,,,
27.6,31.5,-0.5,cruise,,,
27.7,31.5,-0.5,cruise,,,
27.8,31.4,-0.5,cruise,,,
27.9,31.4,-0.5,cruise,,,
28.0,31.3,-0.4,cruise,,,
28.1,31.3,-0.4,cruise,,,
28.2,31.2,-0.4,cruise,,,
28.3,31.2,-0.4,cruise,,,
28.4,31.1,-0.4,cruise,,,
28.5,31.1,-0.4,cruise,,,
28.6,31.1,-0.4,cruise,,,
28.7,31.0,-0.4,cruise,,,
28.8,31.0,-0.4,cruise,,,
28.9,31.0,-0.3,cruise,,,
29.0,30.9,-0.3,cruise,,,
29.1,30.9,-0.3,cruise,,,
29.2,30.9,-0.3,cruise,,,
29.3,30.8,-0.3,cruise,,,
29.4,30.8,-0.3,cruise,,,
29.5,30.8,-0.3,cruise,,,
29.6,30.7,-0.3,cruise,,,
29.7,30.7,-0.3,cruise,,,
29.8,30.7,-0.3,cruise,,,
29.9,30.7,-0.3,cruise,,,
30.0,29.9,-8.0,follow,-3.9,52.1,11.59
30.1,29.6,-2.8,follow,-3.9,50.9,10.86
30.2,29.3,-3.2,follow,-5.3,49.1,13.01
30.3,28.9,-3.2,follow,-6.3,47.6,16.98
30.4,28.6,-3.1,follow,-4.3,49.1,12.88
30.5,28.3,-3.0,follow,-4.8,48.2,13.72
30.6,28.4,0.3,follow,-4.1,48.4,22.26
30.7,28.0,-4.0,follow,-4.9,47.6,20.03
30.8,27.7,-3.0,follow,-4.2,47.7,15.88
30.9,27.3,-4.0,follow,-6.4,45.1,24.42
31.0,27.1,-1.5,follow,-3.6,47.2,19.23
31.1,26.7,-3.9,follow,-5.3,45.3,21.95
31.2,26.8,0.6,follow,-2.6,47.4,29.82
31.3,26.0,-8.0,follow,-6.8,43.4,18.06
31.4,26.0,0.6,follow,-2.8,46.2,19.91
31.5,25.7,-3.3,follow,-5.2,43.8,39.13
31.6,25.3,-3.9,follow,-6.2,42.4,39.66
31.7,25.3,-0.5,follow,-5.7,42.2,2269.96
31.8,24.9,-3.7,follow,-5.8,42.1,74.24
31.9,24.7,-1.5,follow,-4.6,42.8,53.41
32.0,24.9,1.6,follow,-4.6,42.6,
32.1,24.3,-5.9,follow,-6.5,40.9,
32.2,24.3,-0.0,follow,-5.2,41.3,
32.3,24.1,-1.8,follow,-2.8,43.7,216.71
32.4,24.1,-0.1,follow,-3.3,42.9,
32.5,23.9,-2.3,follow,-5.1,41.0,
32.6,23.6,-3.3,follow,-5.5,40.3,
32.7,23.6,0.5,follow,-5.2,40.1,
32.8,23.4,-2.3,follow,-4.9,40.5,
32.9,23.0,-3.7,follow,-6.7,38.4,
33.0,22.9,-0.7,follow,-5.5,39.0,
33.1,22.7,-2.1,follow,-7.2,37.2,
33.2,22.7,-0.7,follow,-4.7,39.4,
33.3,22.5,-1.7,follow,-4.5,39.5,
33.4,22.5,-0.3,follow,-5.7,38.0,
33.5,22.3,-1.3,follow,-3.4,40.3,
33.6,22.0,-3.5,follow,-6.6,36.9,
33.7,21.6,-3.7,follow,-6.5,36.5,
33.8,21.8,1.8,follow,-4.1,38.3,
33.9,22.0,1.8,follow,-3.6,39.1,
34.0,22.1,1.1,follow,-3.2,39.7,
34.1,21.7,-4.0,follow,-5.9,37.2,
34.2,21.8,1.6,follow,-3.7,38.8,
34.3,21.6,-2.3,follow,-5.3,37.5,
34.4,21.4,-1.8,follow,-5.1,37.3,
34.5,21.6,1.8,follow,-3.8,38.4,
34.6,21.6,-0.5,follow,-4.3,38.1,
34.7,21.3,-2.7,follow,-6.8,35.5,
34.8,21.5,2.3,follow,-3.0,38.9,
34.9,21.3,-2.4,follow,-3.5,38.8,
35.0,21.3,0.2,follow,-5.4,36.5,
35.1,21.3,0.1,follow,-4.3,37.7,
35.2,21.3,-0.1,follow,-4.2,37.8,
35.3,21.4,1.4,follow,-4.4,37.5,
35.4,21.3,-1.0,follow,-5.5,36.6,
35.5,21.3,-0.4,follow,-5.5,36.5,
35.6,21.2,-1.3,follow,-4.7,37.2,
35.7,21.4,2.4,follow,-3.2,38.6,
35.8,21.4,0.2,follow,-4.2,37.9,
35.9,21.4,-0.4,follow,-5.3,36.8,
36.0,21.4,-0.2,follow,-4.0,38.1,
36.1,20.6,-7.1,follow,-8.0,34.1,
36.2,20.9,3.0,follow,-2.4,38.5,
36.3,20.5,-4.7,follow,-6.1,35.3,
36.4,20.8,3.0,follow,-3.9,36.8,
36.5,20.7,-0.3,follow,-5.2,36.0,
36.6,20.6,-1.5,follow,-5.3,35.8,
36.7,20.9,3.0,follow,-2.4,38.5,
36.8,20.7,-1.7,follow,-4.6,36.7,
36.9,20.8,1.0,follow,-3.5,37.6,
37.0,21.0,1.6,follow,-4.1,37.2,
37.1,21.3,2.8,follow,-3.7,37.8,
37.2,21.1,-1.8,follow,-4.6,37.3,
37.3,21.1,0.3,follow,-5.8,35.8,
37.4,20.9,-2.4,follow,-3.3,38.4,
37.5,21.2,3.0,follow,-4.6,36.7,
37.6,20.9,-3.4,follow,-6.3,35.5,
37.7,21.0,1.6,follow,-4.5,36.8,
37.8,21.3,3.0,follow,-2.6,38.9,
37.9,21.1,-2.4,follow,-3.8,38.2,
38.0,21.2,1.5,follow,-4.8,36.9,
38.1,21.3,0.4,follow,-5.0,36.9,
