time,ego_speed,acceleration_cmd,mode,distance_error,distance,ttc
0.0,0.300,3.000,cruise,,,
0.1,0.600,3.000,cruise,,,
0.2,0.900,3.000,cruise,,,
0.3,1.200,3.000,cruise,,,
0.4,1.500,3.000,cruise,,,
0.5,1.800,3.000,cruise,,,
0.6,2.100,3.000,cruise,,,
0.7,2.400,3.000,cruise,,,
0.8,2.700,3.000,cruise,,,
0.9,3.000,3.000,cruise,,,
1.0,3.300,3.000,cruise,,,
1.1,3.600,3.000,cruise,,,
1.2,3.900,3.000,cruise,,,
1.3,4.200,3.000,cruise,,,
1.4,4.500,3.000,cruise,,,
1.5,4.800,3.000,cruise,,,
1.6,5.100,3.000,cruise,,,
1.7,5.400,3.000,cruise,,,
1.8,5.700,3.000,cruise,,,
1.9,6.000,3.000,cruise,,,
2.0,6.300,3.000,cruise,,,
2.1,6.600,3.000,cruise,,,
2.2,6.900,3.000,cruise,,,
2.3,7.200,3.000,cruise,,,
2.4,7.500,3.000,cruise,,,
2.5,7.800,3.000,cruise,,,
2.6,8.100,3.000,cruise,,,
2.7,8.400,3.000,cruise,,,
2.8,8.700,3.000,cruise,,,
2.9,9.000,3.000,cruise,,,
3.0,9.300,3.000,cruise,,,
3.1,9.600,3.000,cruise,,,
3.2,9.900,3.000,cruise,,,
3.3,10.200,3.000,cruise,,,
3.4,10.500,3.000,cruise,,,
3.5,10.800,3.000,cruise,,,
3.6,11.100,3.000,cruise,,,
3.7,11.400,3.000,cruise,,,
3.8,11.700,3.000,cruise,,,
3.9,12.000,3.000,cruise,,,
4.0,12.300,3.000,cruise,,,
4.1,12.600,3.000,cruise,,,
4.2,12.900,3.000,cruise,,,
4.3,13.200,3.000,cruise,,,
4.4,13.500,3.000,cruise,,,
4.5,13.800,3.000,cruise,,,
4.6,14.100,3.000,cruise,,,
4.7,14.400,3.000,cruise,,,
4.8,14.700,3.000,cruise,,,
4.9,15.000,3.000,cruise,,,
5.0,15.300,3.000,cruise,,,
5.1,15.600,3.000,cruise,,,
5.2,15.900,3.000,cruise,,,
5.3,16.200,3.000,cruise,,,
5.4,16.500,3.000,cruise,,,
5.5,16.800,3.000,cruise,,,
5.6,17.100,3.000,cruise,,,
5.7,17.400,3.000,cruise,,,
5.8,17.700,3.000,cruise,,,
5.9,18.000,3.000,cruise,,,
6.0,18.300,3.000,cruise,,,
6.1,18.600,3.000,cruise,,,
6.2,18.900,3.000,cruise,,,
6.3,19.200,3.000,cruise,,,
6.4,19.500,3.000,cruise,,,
6.5,19.800,3.000,cruise,,,
6.6,20.100,3.000,cruise,,,
6.7,20.400,3.000,cruise,,,
6.8,20.700,3.000,cruise,,,
6.9,21.000,3.000,cruise,,,
7.0,21.300,3.000,cruise,,,
7.1,21.600,3.000,cruise,,,
7.2,21.900,3.000,cruise,,,
7.3,22.200,3.000,cruise,,,
7.4,22.500,3.000,cruise,,,
7.5,22.800,3.000,cruise,,,
7.6,23.100,3.000,cruise,,,
7.7,23.400,3.000,cruise,,,
7.8,23.700,3.000,cruise,,,
7.9,23.985,2.850,cruise,,,
8.0,24.257,2.722,cruise,,,
8.1,24.517,2.599,cruise,,,
8.2,24.765,2.482,cruise,,,
8.3,25.002,2.369,cruise,,,
8.4,25.228,2.262,cruise,,,
8.5,25.444,2.160,cruise,,,
8.6,25.651,2.062,cruise,,,
8.7,25.847,1.969,cruise,,,
8.8,26.035,1.879,cruise,,,
8.9,26.215,1.794,cruise,,,
9.0,26.386,1.713,cruise,,,
9.1,26.550,1.636,cruise,,,
9.2,26.706,1.562,cruise,,,
9.3,26.855,1.491,cruise,,,
9.4,26.997,1.423,cruise,,,
9.5,27.133,1.359,cruise,,,
9.6,27.263,1.298,cruise,,,
9.7,27.387,1.239,cruise,,,
9.8,27.505,1.183,cruise,,,
9.9,27.618,1.129,cruise,,,
10.0,27.726,1.078,cruise,,,
10.1,27.829,1.029,cruise,,,
10.2,27.927,0.983,cruise,,,
10.3,28.021,0.938,cruise,,,
10.4,28.110,0.896,cruise,,,
10.5,28.196,0.855,cruise,,,
10.6,28.278,0.817,cruise,,,
10.7,28.356,0.780,cruise,,,
10.8,28.430,0.744,cruise,,,
10.9,28.501,0.711,cruise,,,
11.0,28.569,0.678,cruise,,,
11.1,28.634,0.648,cruise,,,
11.2,28.695,0.618,cruise,,,
11.3,28.755,0.590,cruise,,,
11.4,28.811,0.564,cruise,,,
11.5,28.865,0.538,cruise,,,
11.6,28.916,0.514,cruise,,,
11.7,28.965,0.491,cruise,,,
11.8,29.012,0.468,cruise,,,
11.9,29.057,0.447,cruise,,,
12.0,29.099,0.427,cruise,,,
12.1,29.140,0.408,cruise,,,
12.2,29.179,0.389,cruise,,,
12.3,29.216,0.372,cruise,,,
12.4,29.252,0.355,cruise,,,
12.5,29.286,0.339,cruise,,,
12.6,29.318,0.323,cruise,,,
12.7,29.349,0.309,cruise,,,
12.8,29.378,0.295,cruise,,,
12.9,29.406,0.281,cruise,,,
13.0,29.433,0.269,cruise,,,
13.1,29.459,0.257,cruise,,,
13.2,29.483,0.245,cruise,,,
13.3,29.507,0.234,cruise,,,
13.4,29.529,0.223,cruise,,,
13.5,29.550,0.213,cruise,,,
13.6,29.571,0.203,cruise,,,
13.7,29.590,0.194,cruise,,,
13.8,29.609,0.185,cruise,,,
13.9,29.626,0.177,cruise,,,
14.0,29.643,0.169,cruise,,,
14.1,29.659,0.161,cruise,,,
14.2,29.675,0.154,cruise,,,
14.3,29.690,0.147,cruise,,,
14.4,29.704,0.140,cruise,,,
14.5,29.717,0.134,cruise,,,
14.6,29.730,0.128,cruise,,,
14.7,29.742,0.122,cruise,,,
14.8,29.754,0.117,cruise,,,
14.9,29.765,0.111,cruise,,,
15.0,29.776,0.106,cruise,,,
15.1,29.786,0.102,cruise,,,
15.2,29.795,0.097,cruise,,,
15.3,29.805,0.093,cruise,,,
15.4,29.814,0.088,cruise,,,
15.5,29.822,0.084,cruise,,,
15.6,29.830,0.081,cruise,,,
15.7,29.838,0.077,cruise,,,
15.8,29.845,0.073,cruise,,,
15.9,29.852,0.070,cruise,,,
16.0,29.859,0.067,cruise,,,
16.1,29.865,0.064,cruise,,,
16.2,29.871,0.061,cruise,,,
16.3,29.877,0.058,cruise,,,
16.4,29.883,0.056,cruise,,,
16.5,29.888,0.053,cruise,,,
16.6,29.893,0.051,cruise,,,
16.7,29.898,0.048,cruise,,,
16.8,29.902,0.046,cruise,,,
16.9,29.907,0.044,cruise,,,
17.0,29.911,0.042,cruise,,,
17.1,29.915,0.040,cruise,,,
17.2,29.919,0.038,cruise,,,
17.3,29.923,0.037,cruise,,,
17.4,29.926,0.035,cruise,,,
17.5,29.929,0.033,cruise,,,
17.6,29.933,0.032,cruise,,,
17.7,29.936,0.030,cruise,,,
17.8,29.939,0.029,cruise,,,
17.9,29.941,0.028,cruise,,,
18.0,29.944,0.027,cruise,,,
18.1,29.947,0.025,cruise,,,
18.2,29.949,0.024,cruise,,,
18.3,29.951,0.023,cruise,,,
18.4,29.954,0.022,cruise,,,
18.5,29.956,0.021,cruise,,,
18.6,29.958,0.020,cruise,,,
18.7,29.960,0.019,cruise,,,
18.8,29.961,0.018,cruise,,,
18.9,29.963,0.017,cruise,,,
19.0,29.965,0.017,cruise,,,
19.1,29.966,0.016,cruise,,,
19.2,29.968,0.015,cruise,,,
19.3,29.969,0.015,cruise,,,
19.4,29.971,0.014,cruise,,,
19.5,29.972,0.013,cruise,,,
19.6,29.973,0.013,cruise,,,
19.7,29.975,0.012,cruise,,,
19.8,29.976,0.012,cruise,,,
19.9,29.977,0.011,cruise,,,
20.0,29.978,0.010,cruise,,,
20.1,29.979,0.010,cruise,,,
20.2,29.980,0.010,cruise,,,
20.3,29.981,0.009,cruise,,,
20.4,29.982,0.009,cruise,,,
20.5,29.982,0.008,cruise,,,
20.6,29.983,0.008,cruise,,,
20.7,29.984,0.008,cruise,,,
20.8,29.985,0.007,cruise,,,
20.9,29.985,0.007,cruise,,,
21.0,29.986,0.007,cruise,,,
21.1,29.987,0.006,cruise,,,
21.2,29.987,0.006,cruise,,,
21.3,29.988,0.006,cruise,,,
21.4,29.988,0.005,cruise,,,
21.5,29.989,0.005,cruise,,,
21.6,29.989,0.005,cruise,,,
21.7,29.990,0.005,cruise,,,
21.8,29.990,0.005,cruise,,,
21.9,29.991,0.004,cruise,,,
22.0,29.991,0.004,cruise,,,
22.1,29.992,0.004,cruise,,,
22.2,29.992,0.004,cruise,,,
22.3,29.992,0.004,cruise,,,
22.4,29.993,0.003,cruise,,,
22.5,29.993,0.003,cruise,,,
22.6,29.993,0.003,cruise,,,
22.7,29.994,0.003,cruise,,,
22.8,29.994,0.003,cruise,,,
22.9,29.994,0.003,cruise,,,
23.0,29.994,0.003,cruise,,,
23.1,29.995,0.002,cruise,,,
23.2,29.995,0.002,cruise,,,
