time,ego_speed,acceleration_cmd,mode,distance_error,distance,ttc
0.0,0.000,3.000,cruise,,,
0.1,0.300,3.000,cruise,,,
0.2,0.600,3.000,cruise,,,
0.3,0.900,3.000,cruise,,,
0.4,1.200,3.000,cruise,,,
0.5,1.500,3.000,cruise,,,
0.6,1.800,3.000,cruise,,,
0.7,2.100,3.000,cruise,,,
0.8,2.400,3.000,cruise,,,
0.9,2.700,3.000,cruise,,,
1.0,2.999,3.000,cruise,,,
1.1,3.299,3.000,cruise,,,
1.2,3.599,3.000,cruise,,,
1.3,3.899,3.000,cruise,,,
1.4,4.199,3.000,cruise,,,
1.5,4.498,3.000,cruise,,,
1.6,4.798,3.000,cruise,,,
1.7,5.097,3.000,cruise,,,
1.8,5.397,3.000,cruise,,,
1.9,5.696,3.000,cruise,,,
2.0,5.996,3.000,cruise,,,
2.1,6.295,3.000,cruise,,,
2.2,6.594,3.000,cruise,,,
2.3,6.893,3.000,cruise,,,
2.4,7.192,3.000,cruise,,,
2.5,7.491,3.000,cruise,,,
2.6,7.790,3.000,cruise,,,
2.7,8.089,3.000,cruise,,,
2.8,8.388,3.000,cruise,,,
2.9,8.686,3.000,cruise,,,
3.0,8.985,3.000,cruise,,,
3.1,9.283,3.000,cruise,,,
3.2,9.581,3.000,cruise,,,
3.3,9.879,3.000,cruise,,,
3.4,10.178,3.000,cruise,,,
3.5,10.475,3.000,cruise,,,
3.6,10.773,3.000,cruise,,,
3.7,11.071,3.000,cruise,,,
3.8,11.368,3.000,cruise,,,
3.9,11.666,3.000,cruise,,,
4.0,11.963,3.000,cruise,,,
4.1,12.260,3.000,cruise,,,
4.2,12.557,3.000,cruise,,,
4.3,12.854,3.000,cruise,,,
4.4,13.151,3.000,cruise,,,
4.5,13.447,3.000,cruise,,,
4.6,13.744,3.000,cruise,,,
4.7,14.040,3.000,cruise,,,
4.8,14.336,3.000,cruise,,,
4.9,14.632,3.000,cruise,,,
5.0,14.928,3.000,cruise,,,
5.1,15.223,3.000,cruise,,,
5.2,15.519,3.000,cruise,,,
5.3,15.814,3.000,cruise,,,
5.4,16.109,3.000,cruise,,,
5.5,16.404,3.000,cruise,,,
5.6,16.698,3.000,cruise,,,
5.7,16.993,3.000,cruise,,,
5.8,17.287,3.000,cruise,,,
5.9,17.581,3.000,cruise,,,
6.0,17.875,3.000,cruise,,,
6.1,18.168,3.000,cruise,,,
6.2,18.462,3.000,cruise,,,
6.3,18.755,3.000,cruise,,,
6.4,19.048,3.000,cruise,,,
6.5,19.341,3.000,cruise,,,
6.6,19.633,3.000,cruise,,,
6.7,19.925,3.000,cruise,,,
6.8,20.217,3.000,cruise,,,
6.9,20.509,3.000,cruise,,,
7.0,20.801,3.000,cruise,,,
7.1,21.092,3.000,cruise,,,
