time,ego_speed,acceleration_cmd,mode,distance_error,distance,ttc
0.0,0.0,3.0,cruise,,,
0.1,0.3,3.0,cruise,,,
0.2,0.599998,3.0,cruise,,,
0.3,0.899991,3.0,cruise,,,
0.4,1.199975,3.0,cruise,,,
0.5,1.499946,3.0,cruise,,,
0.6,1.799901,3.0,cruise,,,
0.7,2.099836,3.0,cruise,,,
0.8,2.399748,3.0,cruise,,,
0.9,2.699633,3.0,cruise,,,
1.0,2.999487,3.0,cruise,,,
1.1,3.299307,3.0,cruise,,,
1.2,3.599089,3.0,cruise,,,
1.3,3.89883,3.0,cruise,,,
1.4,4.198526,3.0,cruise,,,
1.5,4.498174,3.0,cruise,,,
1.6,4.797769,3.0,cruise,,,
1.7,5.097309,3.0,cruise,,,
1.8,5.396789,3.0,cruise,,,
1.9,5.696207,3.0,cruise,,,
2.0,5.995558,3.0,cruise,,,
2.1,6.294839,3.0,cruise,,,
2.2,6.594046,3.0,cruise,,,
2.3,6.893177,3.0,cruise,,,
2.4,7.192226,3.0,cruise,,,
2.5,7.491192,3.0,cruise,,,
2.6,7.790069,3.0,cruise,,,
2.7,8.088856,3.0,cruise,,,
2.8,8.387547,3.0,cruise,,,
2.9,8.68614,3.0,cruise,,,
3.0,8.984631,3.0,cruise,,,
3.1,9.283017,3.0,cruise,,,
3.2,9.581293,3.0,cruise,,,
3.3,9.879457,3.0,cruise,,,
3.4,10.177505,3.0,cruise,,,
3.5,10.475433,3.0,cruise,,,
3.6,10.773239,3.0,cruise,,,
3.7,11.070917,3.0,cruise,,,
3.8,11.368466,3.0,cruise,,,
3.9,11.665881,3.0,cruise,,,
4.0,11.963159,3.0,cruise,,,
4.1,12.260297,3.0,cruise,,,
4.2,12.557291,3.0,cruise,,,
4.3,12.854137,3.0,cruise,,,
4.4,13.150833,3.0,cruise,,,
4.5,13.447374,3.0,cruise,,,
4.6,13.743757,3.0,cruise,,,
4.7,14.039979,3.0,cruise,,,
4.8,14.336037,3.0,cruise,,,
4.9,14.631926,3.0,cruise,,,
5.0,14.927644,3.0,cruise,,,
5.1,15.223188,3.0,cruise,,,
5.2,15.518553,3.0,cruise,,,
5.3,15.813736,3.0,cruise,,,
5.4,16.108735,3.0,cruise,,,
5.5,16.403545,3.0,cruise,,,
5.6,16.698163,3.0,cruise,,,
5.7,16.992587,3.0,cruise,,,
5.8,17.286812,3.0,cruise,,,
5.9,17.580835,3.0,cruise,,,
6.0,17.874654,3.0,cruise,,,
6.1,18.168263,3.0,cruise,,,
6.2,18.461662,3.0,cruise,,,
6.3,18.754845,3.0,cruise,,,
6.4,19.04781,3.0,cruise,,,
6.5,19.340554,3.0,cruise,,,
6.6,19.633073,3.0,cruise,,,
6.7,19.925364,3.0,cruise,,,
6.8,20.217423,3.0,cruise,,,
6.9,20.509248,3.0,cruise,,,
7.0,20.800836,3.0,cruise,,,
7.1,21.092182,3.0,cruise,,,
7.2,21.383285,3.0,cruise,,,
7.3,21.67414,3.0,cruise,,,
7.4,21.964744,3.0,cruise,,,
7.5,22.255095,3.0,cruise,,,
7.6,22.54519,3.0,cruise,,,
7.7,22.835024,3.0,cruise,,,
7.8,23.124595,3.0,cruise,,,
7.9,23.4139,3.0,cruise,,,
8.0,23.702936,3.0,cruise,,,
8.1,23.991699,3.0,cruise,,,
8.2,24.280187,3.0,cruise,,,
8.3,24.568397,3.0,cruise,,,
8.4,24.856325,3.0,cruise,,,
8.5,25.143968,3.0,cruise,,,
8.6,25.431324,3.0,cruise,,,
8.7,25.718388,3.0,cruise,,,
8.8,26.00516,3.0,cruise,,,
8.9,26.291634,3.0,cruise,,,
9.0,26.577809,3.0,cruise,,,
9.1,26.863682,3.0,cruise,,,
9.2,27.149249,3.0,cruise,,,
