time,ego_speed,acceleration_cmd,mode,distance_error,distance,ttc
0.0,0.00,3.00,cruise,,,
0.1,0.30,3.00,cruise,,,
0.2,0.60,3.00,cruise,,,
0.3,0.90,3.00,cruise,,,
0.4,1.20,3.00,cruise,,,
0.5,1.50,3.00,cruise,,,
0.6,1.80,3.00,cruise,,,
0.7,2.10,3.00,cruise,,,
0.8,2.40,3.00,cruise,,,
0.9,2.70,3.00,cruise,,,
1.0,3.00,3.00,cruise,,,
1.1,3.30,3.00,cruise,,,
1.2,3.60,3.00,cruise,,,
1.3,3.90,3.00,cruise,,,
1.4,4.20,3.00,cruise,,,
1.5,4.50,3.00,cruise,,,
1.6,4.80,3.00,cruise,,,
1.7,5.10,3.00,cruise,,,
1.8,5.40,3.00,cruise,,,
1.9,5.69,3.00,cruise,,,
2.0,5.99,3.00,cruise,,,
2.1,6.29,3.00,cruise,,,
2.2,6.59,3.00,cruise,,,
2.3,6.89,3.00,cruise,,,
2.4,7.19,3.00,cruise,,,
2.5,7.49,3.00,cruise,,,
2.6,7.79,3.00,cruise,,,
2.7,8.08,3.00,cruise,,,
2.8,8.38,3.00,cruise,,,
2.9,8.68,3.00,cruise,,,
3.0,8.98,3.00,cruise,,,
3.1,9.28,3.00,cruise,,,
3.2,9.57,3.00,cruise,,,
3.3,9.87,3.00,cruise,,,
3.4,10.17,3.00,cruise,,,
3.5,10.47,3.00,cruise,,,
3.6,10.76,3.00,cruise,,,
3.7,11.06,3.00,cruise,,,
3.8,11.36,3.00,cruise,,,
3.9,11.65,3.00,cruise,,,
4.0,11.95,3.00,cruise,,,
4.1,12.25,3.00,cruise,,,
4.2,12.54,3.00,cruise,,,
4.3,12.84,3.00,cruise,,,
4.4,13.13,3.00,cruise,,,
4.5,13.43,3.00,cruise,,,
4.6,13.72,3.00,cruise,,,
4.7,14.02,3.00,cruise,,,
4.8,14.31,3.00,cruise,,,
4.9,14.61,3.00,cruise,,,
5.0,14.90,3.00,cruise,,,
5.1,15.20,3.00,cruise,,,
5.2,15.49,3.00,cruise,,,
5.3,15.78,3.00,cruise,,,
5.4,16.08,3.00,cruise,,,
5.5,16.37,3.00,cruise,,,
5.6,16.66,3.00,cruise,,,
5.7,16.96,3.00,cruise,,,
5.8,17.25,3.00,cruise,,,
5.9,17.54,3.00,cruise,,,
6.0,17.83,3.00,cruise,,,
6.1,18.12,3.00,cruise,,,
6.2,18.41,3.00,cruise,,,
6.3,18.71,3.00,cruise,,,
6.4,19.00,3.00,cruise,,,
6.5,19.29,3.00,cruise,,,
6.6,19.58,3.00,cruise,,,
6.7,19.87,3.00,cruise,,,
6.8,20.15,3.00,cruise,,,
6.9,20.44,3.00,cruise,,,
7.0,20.73,3.00,cruise,,,
7.1,21.02,3.00,cruise,,,
7.2,21.31,3.00,cruise,,,
7.3,21.60,3.00,cruise,,,
7.4,21.88,3.00,cruise,,,
7.5,22.17,3.00,cruise,,,
7.6,22.46,3.00,cruise,,,
7.7,22.74,3.00,cruise,,,
7.8,23.03,3.00,cruise,,,
7.9,23.32,3.00,cruise,,,
8.0,23.60,3.00,cruise,,,
8.1,23.89,3.00,cruise,,,
8.2,24.17,3.00,cruise,,,
8.3,24.46,3.00,cruise,,,
8.4,24.74,2.79,cruise,,,
8.5,25.00,2.69,cruise,,,
8.6,25.25,2.54,cruise,,,
8.7,25.49,2.43,cruise,,,
8.8,25.72,2.31,cruise,,,
8.9,25.93,2.20,cruise,,,
9.0,26.13,2.10,cruise,,,
9.1,26.32,2.00,cruise,,,
9.2,26.51,1.91,cruise,,,
9.3,26.68,1.82,cruise,,,
9.4,26.84,1.74,cruise,,,
9.5,26.99,1.66,cruise,,,
9.6,27.14,1.58,cruise,,,
9.7,27.28,1.51,cruise,,,
9.8,27.41,1.44,cruise,,,
9.9,27.53,1.38,cruise,,,
10.0,27.65,1.32,cruise,,,
10.1,27.76,1.26,cruise,,,
10.2,27.87,1.21,cruise,,,
10.3,27.97,1.16,cruise,,,
10.4,28.06,1.11,cruise,,,
10.5,28.15,1.06,cruise,,,
10.6,28.24,1.02,cruise,,,
10.7,28.32,0.98,cruise,,,
10.8,28.40,0.94,cruise,,,
10.9,28.47,0.90,cruise,,,
11.0,28.54,0.87,cruise,,,
11.1,28.60,0.84,cruise,,,
11.2,28.66,0.80,cruise,,,
11.3,28.72,0.77,cruise,,,
11.4,28.78,0.75,cruise,,,
11.5,28.83,0.72,cruise,,,
11.6,28.88,0.69,cruise,,,
11.7,28.92,0.67,cruise,,,
11.8,28.97,0.65,cruise,,,
11.9,29.01,0.63,cruise,,,
12.0,29.05,0.61,cruise,,,
12.1,29.09,0.59,cruise,,,
12.2,29.12,0.57,cruise,,,
12.3,29.16,0.55,cruise,,,
12.4,29.19,0.53,cruise,,,
12.5,29.22,0.52,cruise,,,
12.6,29.25,0.50,cruise,,,
12.7,29.28,0.49,cruise,,,
12.8,29.30,0.48,cruise,,,
12.9,29.33,0.46,cruise,,,
13.0,29.35,0.45,cruise,,,
13.1,29.37,0.44,cruise,,,
13.2,29.39,0.43,cruise,,,
13.3,29.41,0.42,cruise,,,
13.4,29.43,0.41,cruise,,,
13.5,29.45,0.40,cruise,,,
13.6,29.47,0.39,cruise,,,
13.7,29.48,0.39,cruise,,,
13.8,29.50,0.38,cruise,,,
13.9,29.51,0.37,cruise,,,
14.0,29.53,0.36,cruise,,,
14.1,29.54,0.36,cruise,,,
14.2,29.55,0.35,cruise,,,
14.3,29.56,0.35,cruise,,,
14.4,29.57,0.34,cruise,,,
14.5,29.58,0.33,cruise,,,
14.6,29.59,0.33,cruise,,,
14.7,29.60,0.32,cruise,,,
14.8,29.61,0.32,cruise,,,
14.9,29.62,0.32,cruise,,,
15.0,29.63,0.31,cruise,,,
15.1,29.64,0.31,cruise,,,
15.2,29.64,0.30,cruise,,,
15.3,29.65,0.30,cruise,,,
15.4,29.66,0.30,cruise,,,
15.5,29.66,0.29,cruise,,,
15.6,29.67,0.29,cruise,,,
15.7,29.67,0.29,cruise,,,
15.8,29.68,0.29,cruise,,,
15.9,29.68,0.28,cruise,,,
16.0,29.69,0.28,cruise,,,
16.1,29.69,0.28,cruise,,,
16.2,29.70,0.28,cruise,,,
16.3,29.70,0.28,cruise,,,
16.4,29.70,0.27,cruise,,,
16.5,29.71,0.27,cruise,,,
16.6,29.71,0.27,cruise,,,
16.7,29.71,0.27,cruise,,,
16.8,29.72,0.27,cruise,,,
16.9,29.72,0.27,cruise,,,
17.0,29.72,0.26,cruise,,,
17.1,29.73,0.26,cruise,,,
17.2,29.73,0.26,cruise,,,
17.3,29.73,0.26,cruise,,,
17.4,29.73,0.26,cruise,,,
17.5,29.74,0.26,cruise,,,
17.6,29.74,0.26,cruise,,,
17.7,29.74,0.26,cruise,,,
17.8,29.74,0.26,cruise,,,
17.9,29.74,0.26,cruise,,,
18.0,29.74,0.25,cruise,,,
18.1,29.75,0.25,cruise,,,
18.2,29.75,0.25,cruise,,,
18.3,29.75,0.25,cruise,,,
18.4,29.75,0.25,cruise,,,
18.5,29.75,0.25,cruise,,,
18.6,29.75,0.25,cruise,,,
18.7,29.75,0.25,cruise,,,
18.8,29.76,0.25,cruise,,,
18.9,29.76,0.25,cruise,,,
19.0,29.76,0.25,cruise,,,
19.1,29.76,0.25,cruise,,,
19.2,29.76,0.25,cruise,,,
19.3,29.76,0.25,cruise,,,
19.4,29.76,0.25,cruise,,,
19.5,29.76,0.25,cruise,,,
19.6,29.76,0.25,cruise,,,
19.7,29.76,0.25,cruise,,,
19.8,29.76,0.25,cruise,,,
19.9,29.77,0.25,cruise,,,
20.0,29.77,0.25,cruise,,,
20.1,29.77,0.24,cruise,,,
20.2,29.77,0.24,cruise,,,
20.3,29.77,0.24,cruise,,,
20.4,29.77,0.24,cruise,,,
20.5,29.77,0.24,cruise,,,
20.6,29.77,0.24,cruise,,,
20.7,29.77,0.24,cruise,,,
20.8,29.77,0.24,cruise,,,
20.9,29.77,0.24,cruise,,,
21.0,29.77,0.24,cruise,,,
21.1,29.77,0.24,cruise,,,
21.2,29.77,0.24,cruise,,,
