time,ego_speed,acceleration_cmd,mode,distance_error,distance,ttc
0.00,0.00,3.00,cruise,,,
0.10,0.30,3.00,cruise,,,
0.20,0.60,3.00,cruise,,,
0.30,0.90,3.00,cruise,,,
0.40,1.20,3.00,cruise,,,
0.50,1.50,3.00,cruise,,,
0.60,1.80,3.00,cruise,,,
0.70,2.10,3.00,cruise,,,
0.80,2.40,3.00,cruise,,,
0.90,2.70,3.00,cruise,,,
1.00,3.00,3.00,cruise,,,
1.10,3.30,3.00,cruise,,,
1.20,3.60,3.00,cruise,,,
1.30,3.90,3.00,cruise,,,
1.40,4.20,3.00,cruise,,,
1.50,4.50,3.00,cruise,,,
1.60,4.80,3.00,cruise,,,
1.70,5.10,3.00,cruise,,,
1.80,5.40,3.00,cruise,,,
1.90,5.70,3.00,cruise,,,
2.00,6.00,3.00,cruise,,,
2.10,6.30,3.00,cruise,,,
2.20,6.60,3.00,cruise,,,
2.30,6.90,3.00,cruise,,,
2.40,7.20,3.00,cruise,,,
2.50,7.50,3.00,cruise,,,
2.60,7.80,3.00,cruise,,,
2.70,8.10,3.00,cruise,,,
2.80,8.40,3.00,cruise,,,
2.90,8.70,3.00,cruise,,,
3.00,9.00,3.00,cruise,,,
3.10,9.30,3.00,cruise,,,
3.20,9.60,3.00,cruise,,,
3.30,9.90,3.00,cruise,,,
3.40,10.20,3.00,cruise,,,
3.50,10.50,3.00,cruise,,,
3.60,10.80,3.00,cruise,,,
3.70,11.10,3.00,cruise,,,
3.80,11.40,3.00,cruise,,,
3.90,11.70,3.00,cruise,,,
4.00,12.00,3.00,cruise,,,
4.10,12.30,3.00,cruise,,,
4.20,12.60,3.00,cruise,,,
4.30,12.90,3.00,cruise,,,
4.40,13.20,3.00,cruise,,,
4.50,13.50,3.00,cruise,,,
4.60,13.80,3.00,cruise,,,
4.70,14.10,3.00,cruise,,,
4.80,14.40,3.00,cruise,,,
4.90,14.70,3.00,cruise,,,
5.00,15.00,3.00,cruise,,,
5.10,15.30,3.00,cruise,,,
5.20,15.60,3.00,cruise,,,
5.30,15.90,3.00,cruise,,,
5.40,16.20,3.00,cruise,,,
5.50,16.50,3.00,cruise,,,
5.60,16.80,3.00,cruise,,,
5.70,17.10,3.00,cruise,,,
5.80,17.40,3.00,cruise,,,
5.90,17.70,3.00,cruise,,,
6.00,18.00,3.00,cruise,,,
6.10,18.30,3.00,cruise,,,
6.20,18.60,3.00,cruise,,,
6.30,18.90,3.00,cruise,,,
6.40,19.20,3.00,cruise,,,
6.50,19.50,3.00,cruise,,,
6.60,19.80,3.00,cruise,,,
6.70,20.10,3.00,cruise,,,
6.80,20.40,3.00,cruise,,,
6.90,20.70,3.00,cruise,,,
7.00,21.00,3.00,cruise,,,
7.10,21.30,3.00,cruise,,,
7.20,21.60,3.00,cruise,,,
7.30,21.90,3.00,cruise,,,
7.40,22.20,3.00,cruise,,,
7.50,22.50,3.00,cruise,,,
7.60,22.80,2.88,cruise,,,
7.70,23.09,2.76,cruise,,,
7.80,23.36,2.65,cruise,,,
7.90,23.63,2.55,cruise,,,
8.00,23.88,2.45,cruise,,,
8.10,24.13,2.35,cruise,,,
8.20,24.36,2.25,cruise,,,
8.30,24.59,2.16,cruise,,,
8.40,24.81,2.08,cruise,,,
8.50,25.01,1.99,cruise,,,
8.60,25.21,1.91,cruise,,,
8.70,25.40,1.84,cruise,,,
8.80,25.59,1.76,cruise,,,
8.90,25.77,1.69,cruise,,,
9.00,25.93,1.63,cruise,,,
9.10,26.10,1.56,cruise,,,
9.20,26.25,1.50,cruise,,,
9.30,26.40,1.44,cruise,,,
9.40,26.55,1.38,cruise,,,
9.50,26.68,1.33,cruise,,,
9.60,26.82,1.27,cruise,,,
9.70,26.94,1.22,cruise,,,
9.80,27.07,1.17,cruise,,,
9.90,27.18,1.13,cruise,,,
10.00,27.30,1.08,cruise,,,
10.10,27.41,1.04,cruise,,,
10.20,27.51,1.00,cruise,,,
10.30,27.61,0.96,cruise,,,
10.40,27.70,0.92,cruise,,,
10.50,27.80,0.88,cruise,,,
10.60,27.88,0.85,cruise,,,
10.70,27.97,0.81,cruise,,,
10.80,28.05,0.78,cruise,,,
10.90,28.13,0.75,cruise,,,
11.00,28.20,0.72,cruise,,,
11.10,28.27,0.69,cruise,,,
11.20,28.34,0.66,cruise,,,
11.30,28.41,0.64,cruise,,,
11.40,28.47,0.61,cruise,,,
11.50,28.53,0.59,cruise,,,
11.60,28.59,0.56,cruise,,,
11.70,28.65,0.54,cruise,,,
11.80,28.70,0.52,cruise,,,
11.90,28.76,0.50,cruise,,,
12.00,28.81,0.48,cruise,,,
12.10,28.85,0.46,cruise,,,
12.20,28.90,0.44,cruise,,,
12.30,28.94,0.42,cruise,,,
12.40,28.99,0.41,cruise,,,
12.50,29.03,0.39,cruise,,,
12.60,29.06,0.37,cruise,,,
12.70,29.10,0.36,cruise,,,
12.80,29.14,0.34,cruise,,,
12.90,29.17,0.33,cruise,,,
13.00,29.21,0.32,cruise,,,
13.10,29.24,0.30,cruise,,,
13.20,29.27,0.29,cruise,,,
13.30,29.30,0.28,cruise,,,
13.40,29.33,0.27,cruise,,,
13.50,29.35,0.26,cruise,,,
13.60,29.38,0.25,cruise,,,
13.70,29.40,0.24,cruise,,,
13.80,29.43,0.23,cruise,,,
13.90,29.45,0.22,cruise,,,
14.00,29.47,0.21,cruise,,,
14.10,29.49,0.20,cruise,,,
14.20,29.51,0.19,cruise,,,
14.30,29.53,0.19,cruise,,,
14.40,29.55,0.18,cruise,,,
14.50,29.57,0.17,cruise,,,
14.60,29.59,0.17,cruise,,,
14.70,29.60,0.16,cruise,,,
14.80,29.62,0.15,cruise,,,
14.90,29.63,0.15,cruise,,,
15.00,29.65,0.14,cruise,,,
15.10,29.66,0.13,cruise,,,
15.20,29.68,0.13,cruise,,,
15.30,29.69,0.12,cruise,,,
15.40,29.70,0.12,cruise,,,
15.50,29.71,0.11,cruise,,,
15.60,29.73,0.11,cruise,,,
15.70,29.74,0.11,cruise,,,
15.80,29.75,0.10,cruise,,,
15.90,29.76,0.10,cruise,,,
16.00,29.77,0.09,cruise,,,
16.10,29.78,0.09,cruise,,,
16.20,29.78,0.09,cruise,,,
16.30,29.79,0.08,cruise,,,
16.40,29.80,0.08,cruise,,,
16.50,29.81,0.08,cruise,,,
16.60,29.82,0.07,cruise,,,
16.70,29.82,0.07,cruise,,,
16.80,29.83,0.07,cruise,,,
16.90,29.84,0.06,cruise,,,
17.00,29.84,0.06,cruise,,,
17.10,29.85,0.06,cruise,,,
17.20,29.86,0.06,cruise,,,
17.30,29.86,0.05,cruise,,,
17.40,29.87,0.05,cruise,,,
17.50,29.87,0.05,cruise,,,
17.60,29.88,0.05,cruise,,,
17.70,29.88,0.05,cruise,,,
17.80,29.89,0.04,cruise,,,
17.90,29.89,0.04,cruise,,,
18.00,29.90,0.04,cruise,,,
18.10,29.90,0.04,cruise,,,
18.20,29.90,0.04,cruise,,,
18.30,29.91,0.04,cruise,,,
18.40,29.91,0.04,cruise,,,
18.50,29.92,0.03,cruise,,,
18.60,29.92,0.03,cruise,,,
18.70,29.92,0.03,cruise,,,
18.80,29.93,0.03,cruise,,,
18.90,29.93,0.03,cruise,,,
19.00,29.93,0.03,cruise,,,
19.10,29.93,0.03,cruise,,,
19.20,29.94,0.03,cruise,,,
19.30,29.94,0.02,cruise,,,
19.40,29.94,0.02,cruise,,,
19.50,29.94,0.02,cruise,,,
19.60,29.95,0.02,cruise,,,
19.70,29.95,0.02,cruise,,,
19.80,29.95,0.02,cruise,,,
19.90,29.95,0.02,cruise,,,
20.00,29.95,0.02,cruise,,,
20.10,29.96,0.02,cruise,,,
20.20,29.96,0.02,cruise,,,
20.30,29.96,0.02,cruise,,,
20.40,29.96,0.02,cruise,,,
20.50,29.96,0.01,cruise,,,
20.60,29.96,0.01,cruise,,,
20.70,29.97,0.01,cruise,,,
20.80,29.97,0.01,cruise,,,
20.90,29.97,0.01,cruise,,,
21.00,29.97,0.01,cruise,,,
21.10,29.97,0.01,cruise,,,
21.20,29.97,0.01,cruise,,,
21.30,29.97,0.01,cruise,,,
21.40,29.97,0.01,cruise,,,
21.50,29.98,0.01,cruise,,,
21.60,29.98,0.01,cruise,,,
21.70,29.98,0.01,cruise,,,
21.80,29.98,0.01,cruise,,,
21.90,29.98,0.01,cruise,,,
22.00,29.98,0.01,cruise,,,
22.10,29.98,0.01,cruise,,,
22.20,29.98,0.01,cruise,,,
22.30,29.98,0.01,cruise,,,
22.40,29.98,0.01,cruise,,,
22.50,29.98,0.01,cruise,,,
22.60,29.98,0.01,cruise,,,
22.70,29.98,0.01,cruise,,,
22.80,29.99,0.01,cruise,,,
22.90,29.99,0.01,cruise,,,
23.00,29.99,0.01,cruise,,,
23.10,29.99,0.01,cruise,,,
23.20,29.99,0.00,cruise,,,
23.30,29.99,0.00,cruise,,,
23.40,29.99,0.00,cruise,,,
23.50,29.99,0.00,cruise,,,
23.60,29.99,0.00,cruise,,,
23.70,29.99,0.00,cruise,,,
23.80,29.99,0.00,cruise,,,
23.90,29.99,0.00,cruise,,,
