time,ego_speed,acceleration_cmd,mode,distance_error,distance,ttc
0.0,0.3,3.0,cruise,,,
0.1,0.6,3.0,cruise,,,
0.2,0.9,3.0,cruise,,,
0.3,1.2,3.0,cruise,,,
0.4,1.5,3.0,cruise,,,
0.5,1.8,3.0,cruise,,,
0.6,2.1,3.0,cruise,,,
0.7,2.4,3.0,cruise,,,
0.8,2.7,3.0,cruise,,,
0.9,3.0,3.0,cruise,,,
1.0,3.3,3.0,cruise,,,
1.1,3.6,3.0,cruise,,,
1.2,3.9,3.0,cruise,,,
1.3,4.2,3.0,cruise,,,
1.4,4.5,3.0,cruise,,,
1.5,4.8,3.0,cruise,,,
1.6,5.1,3.0,cruise,,,
1.7,5.4,3.0,cruise,,,
1.8,5.69,3.0,cruise,,,
1.9,5.99,3.0,cruise,,,
2.0,6.29,3.0,cruise,,,
2.1,6.59,3.0,cruise,,,
2.2,6.89,3.0,cruise,,,
2.3,7.19,3.0,cruise,,,
2.4,7.49,3.0,cruise,,,
2.5,7.78,3.0,cruise,,,
2.6,8.08,3.0,cruise,,,
2.7,8.38,3.0,cruise,,,
2.8,8.68,3.0,cruise,,,
2.9,8.98,3.0,cruise,,,
3.0,9.27,3.0,cruise,,,
3.1,9.57,3.0,cruise,,,
3.2,9.87,3.0,cruise,,,
3.3,10.17,3.0,cruise,,,
3.4,10.46,3.0,cruise,,,
3.5,10.76,3.0,cruise,,,
3.6,11.06,3.0,cruise,,,
3.7,11.35,3.0,cruise,,,
3.8,11.65,3.0,cruise,,,
3.9,11.94,3.0,cruise,,,
4.0,12.24,3.0,cruise,,,
4.1,12.53,3.0,cruise,,,
4.2,12.83,3.0,cruise,,,
4.3,13.12,3.0,cruise,,,
4.4,13.42,3.0,cruise,,,
4.5,13.71,3.0,cruise,,,
4.6,14.01,3.0,cruise,,,
4.7,14.3,3.0,cruise,,,
4.8,14.6,3.0,cruise,,,
4.9,14.89,3.0,cruise,,,
5.0,15.18,3.0,cruise,,,
5.1,15.48,3.0,cruise,,,
5.2,15.77,3.0,cruise,,,
5.3,16.06,3.0,cruise,,,
5.4,16.35,3.0,cruise,,,
5.5,16.64,3.0,cruise,,,
5.6,16.94,3.0,cruise,,,
5.7,17.23,3.0,cruise,,,
5.8,17.52,3.0,cruise,,,
5.9,17.81,3.0,cruise,,,
6.0,18.1,3.0,cruise,,,
6.1,18.39,3.0,cruise,,,
6.2,18.68,3.0,cruise,,,
6.3,18.97,3.0,cruise,,,
6.4,19.26,3.0,cruise,,,
6.5,19.55,3.0,cruise,,,
6.6,19.83,3.0,cruise,,,
6.7,20.12,3.0,cruise,,,
6.8,20.41,3.0,cruise,,,
6.9,20.7,3.0,cruise,,,
7.0,20.98,3.0,cruise,,,
7.1,21.27,3.0,cruise,,,
7.2,21.56,3.0,cruise,,,
7.3,21.84,3.0,cruise,,,
7.4,22.13,3.0,cruise,,,
7.5,22.41,3.0,cruise,,,
7.6,22.7,3.0,cruise,,,
7.7,22.98,3.0,cruise,,,
7.8,23.27,3.0,cruise,,,
7.9,23.55,3.0,cruise,,,
8.0,23.83,3.0,cruise,,,
8.1,24.11,3.0,cruise,,,
8.2,24.4,3.0,cruise,,,
8.3,24.68,3.0,cruise,,,
8.4,24.96,3.0,cruise,,,
8.5,25.24,3.0,cruise,,,
8.6,25.52,3.0,cruise,,,
8.7,25.8,3.0,cruise,,,
8.8,26.08,3.0,cruise,,,
8.9,26.36,3.0,cruise,,,
9.0,26.64,3.0,cruise,,,
9.1,26.92,3.0,cruise,,,
9.2,27.19,3.0,cruise,,,
9.3,27.47,3.0,cruise,,,
9.4,27.75,3.0,cruise,,,
9.5,28.03,3.0,cruise,,,
9.6,28.3,3.0,cruise,,,
9.7,28.58,3.0,cruise,,,
9.8,28.84,2.85,cruise,,,
9.9,29.04,2.33,cruise,,,
10.0,29.21,1.91,cruise,,,
10.1,29.34,1.58,cruise,,,
10.2,29.45,1.32,cruise,,,
10.3,29.53,1.11,cruise,,,
10.4,29.6,0.94,cruise,,,
10.5,29.65,0.8,cruise,,,
10.6,29.69,0.7,cruise,,,
10.7,29.73,0.61,cruise,,,
10.8,29.76,0.54,cruise,,,
10.9,29.78,0.49,cruise,,,
11.0,29.79,0.45,cruise,,,
11.1,29.81,0.41,cruise,,,
11.2,29.82,0.38,cruise,,,
11.3,29.83,0.36,cruise,,,
11.4,29.84,0.34,cruise,,,
11.5,29.84,0.33,cruise,,,
11.6,29.85,0.32,cruise,,,
11.7,29.85,0.31,cruise,,,
11.8,29.85,0.3,cruise,,,
11.9,29.85,0.3,cruise,,,
12.0,29.86,0.29,cruise,,,
12.1,29.86,0.29,cruise,,,
12.2,29.86,0.28,cruise,,,
12.3,29.86,0.28,cruise,,,
12.4,29.86,0.28,cruise,,,
12.5,29.86,0.28,cruise,,,
12.6,29.86,0.28,cruise,,,
12.7,29.86,0.28,cruise,,,
12.8,29.86,0.28,cruise,,,
12.9,29.86,0.28,cruise,,,
13.0,29.86,0.28,cruise,,,
13.1,29.86,0.27,cruise,,,
13.2,29.86,0.27,cruise,,,
13.3,29.86,0.27,cruise,,,
13.4,29.86,0.27,cruise,,,
13.5,29.86,0.27,cruise,,,
13.6,29.86,0.27,cruise,,,
13.7,29.86,0.27,cruise,,,
13.8,29.86,0.27,cruise,,,
13.9,29.86,0.27,cruise,,,
14.0,29.86,0.27,cruise,,,
14.1,29.86,0.27,cruise,,,
14.2,29.86,0.27,cruise,,,
14.3,29.86,0.27,cruise,,,
14.4,29.86,0.27,cruise,,,
14.5,29.86,0.27,cruise,,,
14.6,29.86,0.27,cruise,,,
14.7,29.86,0.27,cruise,,,
14.8,29.86,0.27,cruise,,,
14.9,29.86,0.27,cruise,,,
15.0,29.86,0.27,cruise,,,
15.1,29.86,0.27,cruise,,,
15.2,29.86,0.27,cruise,,,
15.3,29.86,0.27,cruise,,,
15.4,29.86,0.27,cruise,,,
15.5,29.86,0.27,cruise,,,
15.6,29.86,0.27,cruise,,,
15.7,29.86,0.27,cruise,,,
15.8,29.86,0.27,cruise,,,
15.9,29.86,0.27,cruise,,,
16.0,29.86,0.27,cruise,,,
16.1,29.86,0.27,cruise,,,
16.2,29.86,0.27,cruise,,,
16.3,29.86,0.27,cruise,,,
16.4,29.86,0.27,cruise,,,
16.5,29.86,0.27,cruise,,,
16.6,29.86,0.27,cruise,,,
16.7,29.86,0.27,cruise,,,
16.8,29.86,0.27,cruise,,,
16.9,29.86,0.27,cruise,,,
17.0,29.86,0.27,cruise,,,
17.1,29.86,0.27,cruise,,,
17.2,29.86,0.27,cruise,,,
17.3,29.86,0.27,cruise,,,
17.4,29.86,0.27,cruise,,,
17.5,29.86,0.27,cruise,,,
17.6,29.86,0.27,cruise,,,
17.7,29.86,0.27,cruise,,,
17.8,29.86,0.27,cruise,,,
17.9,29.86,0.27,cruise,,,
18.0,29.86,0.27,cruise,,,
18.1,29.86,0.27,cruise,,,
18.2,29.86,0.27,cruise,,,
18.3,29.86,0.27,cruise,,,
18.4,29.86,0.27,cruise,,,
18.5,29.86,0.27,cruise,,,
18.6,29.86,0.27,cruise,,,
18.7,29.86,0.27,cruise,,,
18.8,29.86,0.27,cruise,,,
18.9,29.86,0.27,cruise,,,
19.0,29.86,0.27,cruise,,,
19.1,29.86,0.27,cruise,,,
19.2,29.86,0.27,cruise,,,
19.3,29.86,0.27,cruise,,,
19.4,29.86,0.27,cruise,,,
19.5,29.86,0.27,cruise,,,
19.6,29.86,0.27,cruise,,,
19.7,29.86,0.27,cruise,,,
19.8,29.86,0.27,cruise,,,
19.9,29.86,0.27,cruise,,,
20.0,29.86,0.27,cruise,,,
20.1,29.86,0.27,cruise,,,
20.2,29.86,0.27,cruise,,,
20.3,29.86,0.27,cruise,,,
20.4,29.86,0.27,cruise,,,
20.5,29.86,0.27,cruise,,,
20.6,29.86,0.27,cruise,,,
20.7,29.86,0.27,cruise,,,
20.8,29.86,0.27,cruise,,,
20.9,29.86,0.27,cruise,,,
21.0,29.86,0.27,cruise,,,
21.1,29.86,0.27,cruise,,,
21.2,29.86,0.27,cruise,,,
21.3,29.86,0.27,cruise,,,
21.4,29.86,0.27,cruise,,,
21.5,29.86,0.27,cruise,,,
21.6,29.86,0.27,cruise,,,
21.7,29.86,0.27,cruise,,,
21.8,29.86,0.27,cruise,,,
21.9,29.86,0.27,cruise,,,
22.0,29.86,0.27,cruise,,,
22.1,29.86,0.27,cruise,,,
22.2,29.86,0.27,cruise,,,
22.3,29.86,0.27,cruise,,,
22.4,29.86,0.27,cruise,,,
22.5,29.86,0.27,cruise,,,
22.6,29.86,0.27,cruise,,,
22.7,29.86,0.27,cruise,,,
22.8,29.86,0.27,cruise,,,
22.9,29.86,0.27,cruise,,,
23.0,29.86,0.27,cruise,,,
23.1,29.86,0.27,cruise,,,
23.2,29.86,0.27,cruise,,,
23.3,29.86,0.27,cruise,,,
23.4,29.86,0.27,cruise,,,
23.5,29.86,0.27,cruise,,,
23.6,29.86,0.27,cruise,,,
23.7,29.86,0.27,cruise,,,
23.8,29.86,0.27,cruise,,,
23.9,29.86,0.27,cruise,,,
24.0,29.86,0.27,cruise,,,
24.1,29.86,0.27,cruise,,,
24.2,29.86,0.27,cruise,,,
24.3,29.86,0.27,cruise,,,
24.4,29.86,0.27,cruise,,,
24.5,29.86,0.27,cruise,,,
24.6,29.86,0.27,cruise,,,
24.7,29.86,0.27,cruise,,,
24.8,29.86,0.27,cruise,,,
24.9,29.86,0.27,cruise,,,
25.0,29.86,0.27,cruise,,,
25.1,29.86,0.27,cruise,,,
25.2,29.86,0.27,cruise,,,
25.3,29.86,0.27,cruise,,,
25.4,29.86,0.27,cruise,,,
25.5,29.86,0.27,cruise,,,
25.6,29.86,0.27,cruise,,,
25.7,29.86,0.27,cruise,,,
25.8,29.86,0.27,cruise,,,
25.9,29.86,0.27,cruise,,,
26.0,29.86,0.27,cruise,,,
26.1,29.86,0.27,cruise,,,
26.2,29.86,0.27,cruise,,,
26.3,29.86,0.27,cruise,,,
26.4,29.86,0.27,cruise,,,
26.5,29.86,0.27,cruise,,,
26.6,29.86,0.27,cruise,,,
26.7,29.86,0.27,cruise,,,
26.8,29.86,0.27,cruise,,,
26.9,29.86,0.27,cruise,,,
27.0,29.86,0.27,cruise,,,
27.1,29.86,0.27,cruise,,,
27.2,29.86,0.27,cruise,,,
27.3,29.86,0.27,cruise,,,
27.4,29.86,0.27,cruise,,,
27.5,29.86,0.27,cruise,,,
27.6,29.86,0.27,cruise,,,
27.7,29.86,0.27,cruise,,,
27.8,29.86,0.27,cruise,,,
27.9,29.86,0.27,cruise,,,
28.0,29.86,0.27,cruise,,,
28.1,29.86,0.27,cruise,,,
28.2,29.86,0.27,cruise,,,
28.3,29.86,0.27,cruise,,,
28.4,29.86,0.27,cruise,,,
28.5,29.86,0.27,cruise,,,
28.6,29.86,0.27,cruise,,,
28.7,29.86,0.27,cruise,,,
28.8,29.86,0.27,cruise,,,
28.9,29.86,0.27,cruise,,,
29.0,29.86,0.27,cruise,,,
29.1,29.86,0.27,cruise,,,
29.2,29.86,0.27,cruise,,,
29.3,29.86,0.27,cruise,,,
29.4,29.86,0.27,cruise,,,
29.5,29.86,0.27,cruise,,,
29.6,29.86,0.27,cruise,,,
29.7,29.86,0.27,cruise,,,
29.8,29.86,0.27,cruise,,,
29.9,29.86,0.27,cruise,,,
30.0,29.21,-6.21,follow,-2.7,52.1,13.55
30.1,29.23,0.41,follow,-2.15,51.67,11.93
30.2,29.04,-1.6,follow,-2.55,51.29,14.43
30.3,28.93,-0.84,follow,-2.56,51.0,18.25
30.4,28.77,-1.4,follow,-2.81,50.59,12.81
30.5,28.62,-1.26,follow,-2.96,50.2,13.22
30.6,28.49,-1.02,follow,-2.97,49.95,21.62
30.7,28.34,-1.23,follow,-3.07,49.66,17.98
30.8,28.18,-1.39,follow,-3.22,49.29,13.97
30.9,28.04,-1.18,follow,-3.25,49.02,18.66
31.0,27.87,-1.42,follow,-3.38,48.68,15.11
31.1,27.71,-1.36,follow,-3.45,48.36,15.8
31.2,27.56,-1.26,follow,-3.46,48.1,20.2
31.3,27.37,-1.65,follow,-3.64,47.7,12.54
31.4,27.2,-1.51,follow,-3.72,47.34,13.57
31.5,27.04,-1.37,follow,-3.72,47.08,19.14
31.6,26.87,-1.48,follow,-3.76,46.8,17.8
31.7,26.73,-1.2,follow,-3.67,46.63,31.36
31.8,26.56,-1.47,follow,-3.7,46.39,20.72
31.9,26.39,-1.45,follow,-3.71,46.13,18.82
32.0,26.28,-0.94,follow,-3.49,46.1,261.91
32.1,26.12,-1.34,follow,-3.46,45.96,35.59
32.2,25.99,-1.12,follow,-3.33,45.85,48.88
32.3,25.83,-1.4,follow,-3.34,45.64,24.06
32.4,25.69,-1.14,follow,-3.22,45.52,41.28
32.5,25.57,-1.07,follow,-3.08,45.46,93.55
32.6,25.42,-1.25,follow,-3.03,45.32,35.38
32.7,25.31,-0.89,follow,-2.83,45.3,1428.42
32.8,25.18,-1.11,follow,-2.74,45.23,71.69
32.9,25.07,-0.94,follow,-2.59,45.19,157.28
33.0,24.95,-0.99,follow,-2.47,45.13,113.19
33.1,24.88,-0.5,follow,-2.15,45.28,
33.2,24.77,-0.89,follow,-2.03,45.29,
33.3,24.66,-0.89,follow,-1.92,45.23,99.6
33.4,24.59,-0.52,follow,-1.67,45.33,
33.5,24.48,-0.91,follow,-1.61,45.28,112.05
33.6,24.42,-0.49,follow,-1.38,45.34,
33.7,24.3,-0.94,follow,-1.37,45.26,58.43
33.8,24.22,-0.65,follow,-1.23,45.23,204.41
33.9,24.16,-0.43,follow,-1.01,45.32,
34.0,24.11,-0.34,follow,-0.78,45.46,
34.1,24.05,-0.39,follow,-0.6,45.56,
34.2,24.0,-0.36,follow,-0.43,45.65,
34.3,23.95,-0.34,follow,-0.27,45.72,
34.4,23.88,-0.49,follow,-0.2,45.72,
34.5,23.84,-0.27,follow,-0.04,45.77,
34.6,23.79,-0.25,follow,0.1,45.86,
34.7,23.78,0.06,follow,0.37,46.06,
34.8,23.76,-0.08,follow,0.53,46.2,
34.9,23.71,-0.34,follow,0.56,46.2,1788.37
35.0,23.7,0.13,follow,0.79,46.35,
35.1,23.68,-0.08,follow,0.9,46.45,
35.2,23.66,-0.01,follow,1.02,46.53,
35.3,23.67,0.24,follow,1.22,46.71,
35.4,23.68,0.29,follow,1.42,46.92,
35.5,23.69,0.32,follow,1.61,47.12,
35.6,23.68,0.06,follow,1.65,47.19,
35.7,23.69,0.27,follow,1.78,47.3,
35.8,23.71,0.35,follow,1.92,47.46,
35.9,23.74,0.48,follow,2.09,47.66,
36.0,23.75,0.24,follow,2.14,47.75,
36.1,23.77,0.4,follow,2.24,47.86,
36.2,23.78,0.22,follow,2.24,47.9,
36.3,23.79,0.28,follow,2.27,47.93,
36.4,23.83,0.63,follow,2.44,48.11,
36.5,23.88,0.65,follow,2.59,48.33,
36.6,23.91,0.45,follow,2.62,48.44,
36.7,23.96,0.72,follow,2.77,48.63,
36.8,24.0,0.56,follow,2.81,48.76,
36.9,24.03,0.46,follow,2.81,48.81,
37.0,24.08,0.67,follow,2.89,48.93,
37.1,24.14,0.83,follow,3.02,49.14,
37.2,24.18,0.55,follow,3.01,49.22,
37.3,24.25,0.92,follow,3.15,49.42,
37.4,24.25,0.11,follow,2.92,49.3,40.81
37.5,24.32,0.93,follow,3.06,49.44,
37.6,24.36,0.57,follow,3.03,49.51,
37.7,24.41,0.62,follow,3.01,49.55,
37.8,24.45,0.67,follow,3.01,49.62,
37.9,24.47,0.3,follow,2.84,49.53,51.79
38.0,24.52,0.69,follow,2.86,49.56,
38.1,24.57,0.66,follow,2.86,49.64,
38.2,24.63,0.87,follow,2.94,49.79,
38.3,24.66,0.48,follow,2.84,49.79,931.94
38.4,24.7,0.54,follow,2.77,49.76,161.18
38.5,24.74,0.56,follow,2.71,49.75,430.35
38.6,24.8,0.78,follow,2.75,49.85,
