time,ego_speed,acceleration_cmd,mode,distance_error,distance,ttc
0.0,0.300,3.000,cruise,,,
0.1,0.600,3.000,cruise,,,
0.2,0.900,3.000,cruise,,,
0.3,1.200,3.000,cruise,,,
0.4,1.500,3.000,cruise,,,
0.5,1.800,3.000,cruise,,,
0.6,2.100,3.000,cruise,,,
0.7,2.400,3.000,cruise,,,
0.8,2.700,3.000,cruise,,,
0.9,3.000,3.000,cruise,,,
1.0,3.300,3.000,cruise,,,
1.1,3.600,3.000,cruise,,,
1.2,3.900,3.000,cruise,,,
1.3,4.200,3.000,cruise,,,
1.4,4.500,3.000,cruise,,,
1.5,4.800,3.000,cruise,,,
1.6,5.100,3.000,cruise,,,
1.7,5.400,3.000,cruise,,,
1.8,5.700,3.000,cruise,,,
1.9,6.000,3.000,cruise,,,
2.0,6.300,3.000,cruise,,,
2.1,6.600,3.000,cruise,,,
2.2,6.900,3.000,cruise,,,
2.3,7.200,3.000,cruise,,,
2.4,7.500,3.000,cruise,,,
2.5,7.800,3.000,cruise,,,
2.6,8.100,3.000,cruise,,,
2.7,8.400,3.000,cruise,,,
2.8,8.700,3.000,cruise,,,
2.9,9.000,3.000,cruise,,,
3.0,9.300,3.000,cruise,,,
3.1,9.600,3.000,cruise,,,
3.2,9.900,3.000,cruise,,,
3.3,10.200,3.000,cruise,,,
3.4,10.500,3.000,cruise,,,
3.5,10.800,3.000,cruise,,,
3.6,11.100,3.000,cruise,,,
3.7,11.400,3.000,cruise,,,
3.8,11.700,3.000,cruise,,,
3.9,12.000,3.000,cruise,,,
4.0,12.300,3.000,cruise,,,
4.1,12.600,3.000,cruise,,,
4.2,12.900,3.000,cruise,,,
4.3,13.200,3.000,cruise,,,
4.4,13.500,3.000,cruise,,,
4.5,13.800,3.000,cruise,,,
4.6,14.100,3.000,cruise,,,
4.7,14.400,3.000,cruise,,,
4.8,14.700,3.000,cruise,,,
4.9,15.000,3.000,cruise,,,
5.0,15.300,3.000,cruise,,,
5.1,15.600,3.000,cruise,,,
5.2,15.900,3.000,cruise,,,
5.3,16.200,3.000,cruise,,,
5.4,16.500,3.000,cruise,,,
5.5,16.800,3.000,cruise,,,
5.6,17.100,3.000,cruise,,,
5.7,17.400,3.000,cruise,,,
5.8,17.700,3.000,cruise,,,
5.9,18.000,3.000,cruise,,,
6.0,18.300,3.000,cruise,,,
6.1,18.600,3.000,cruise,,,
6.2,18.900,3.000,cruise,,,
6.3,19.200,3.000,cruise,,,
6.4,19.500,3.000,cruise,,,
6.5,19.800,3.000,cruise,,,
6.6,20.100,3.000,cruise,,,
6.7,20.400,3.000,cruise,,,
6.8,20.700,3.000,cruise,,,
6.9,21.000,3.000,cruise,,,
7.0,21.300,3.000,cruise,,,
7.1,21.600,3.000,cruise,,,
7.2,21.900,3.000,cruise,,,
7.3,22.200,3.000,cruise,,,
7.4,22.500,3.000,cruise,,,
7.5,22.800,3.000,cruise,,,
7.6,23.100,3.000,cruise,,,
7.7,23.400,3.000,cruise,,,
7.8,23.700,3.000,cruise,,,
7.9,24.000,3.000,cruise,,,
8.0,24.300,3.000,cruise,,,
8.1,24.600,3.000,cruise,,,
8.2,24.900,3.000,cruise,,,
8.3,25.200,3.000,cruise,,,
8.4,25.500,3.000,cruise,,,
8.5,25.800,3.000,cruise,,,
8.6,26.100,3.000,cruise,,,
8.7,26.400,3.000,cruise,,,
8.8,26.700,3.000,cruise,,,
8.9,27.000,3.000,cruise,,,
9.0,27.300,3.000,cruise,,,
9.1,27.600,3.000,cruise,,,
9.2,27.894,2.940,cruise,,,
9.3,28.164,2.699,cruise,,,
9.4,28.414,2.506,cruise,,,
9.5,28.647,2.322,cruise,,,
9.6,28.862,2.152,cruise,,,
9.7,29.061,1.995,cruise,,,
9.8,29.246,1.849,cruise,,,
9.9,29.418,1.713,cruise,,,
10.0,29.576,1.588,cruise,,,
10.1,29.724,1.472,cruise,,,
10.2,29.860,1.364,cruise,,,
10.3,29.986,1.264,cruise,,,
10.4,30.104,1.172,cruise,,,
10.5,30.212,1.085,cruise,,,
10.6,30.313,1.004,cruise,,,
10.7,30.405,0.928,cruise,,,
10.8,30.491,0.857,cruise,,,
10.9,30.570,0.790,cruise,,,
11.0,30.643,0.728,cruise,,,
11.1,30.710,0.670,cruise,,,
11.2,30.771,0.615,cruise,,,
11.3,30.828,0.564,cruise,,,
11.4,30.879,0.516,cruise,,,
11.5,30.927,0.472,cruise,,,
11.6,30.970,0.430,cruise,,,
11.7,31.009,0.391,cruise,,,
11.8,31.044,0.355,cruise,,,
11.9,31.076,0.320,cruise,,,
12.0,31.105,0.289,cruise,,,
12.1,31.131,0.259,cruise,,,
12.2,31.154,0.231,cruise,,,
12.3,31.175,0.205,cruise,,,
12.4,31.193,0.181,cruise,,,
12.5,31.209,0.159,cruise,,,
12.6,31.222,0.138,cruise,,,
12.7,31.234,0.118,cruise,,,
12.8,31.244,0.100,cruise,,,
12.9,31.252,0.083,cruise,,,
13.0,31.259,0.067,cruise,,,
13.1,31.264,0.052,cruise,,,
13.2,31.268,0.039,cruise,,,
13.3,31.271,0.026,cruise,,,
13.4,31.272,0.014,cruise,,,
13.5,31.273,0.004,cruise,,,
13.6,31.272,-0.007,cruise,,,
13.7,31.270,-0.016,cruise,,,
13.8,31.268,-0.025,cruise,,,
13.9,31.265,-0.033,cruise,,,
14.0,31.261,-0.040,cruise,,,
14.1,31.256,-0.047,cruise,,,
14.2,31.251,-0.053,cruise,,,
14.3,31.245,-0.059,cruise,,,
14.4,31.238,-0.064,cruise,,,
14.5,31.231,-0.069,cruise,,,
14.6,31.224,-0.074,cruise,,,
14.7,31.216,-0.078,cruise,,,
14.8,31.208,-0.081,cruise,,,
14.9,31.200,-0.085,cruise,,,
15.0,31.191,-0.088,cruise,,,
15.1,31.182,-0.091,cruise,,,
15.2,31.172,-0.093,cruise,,,
15.3,31.163,-0.095,cruise,,,
15.4,31.153,-0.097,cruise,,,
15.5,31.143,-0.099,cruise,,,
15.6,31.133,-0.101,cruise,,,
15.7,31.123,-0.102,cruise,,,
15.8,31.113,-0.103,cruise,,,
15.9,31.102,-0.104,cruise,,,
16.0,31.092,-0.105,cruise,,,
16.1,31.081,-0.106,cruise,,,
16.2,31.070,-0.107,cruise,,,
16.3,31.060,-0.107,cruise,,,
16.4,31.049,-0.108,cruise,,,
16.5,31.038,-0.108,cruise,,,
16.6,31.027,-0.108,cruise,,,
16.7,31.016,-0.108,cruise,,,
16.8,31.006,-0.108,cruise,,,
16.9,30.995,-0.108,cruise,,,
17.0,30.984,-0.108,cruise,,,
17.1,30.973,-0.107,cruise,,,
17.2,30.963,-0.107,cruise,,,
17.3,30.952,-0.107,cruise,,,
17.4,30.941,-0.106,cruise,,,
17.5,30.931,-0.106,cruise,,,
17.6,30.920,-0.105,cruise,,,
17.7,30.910,-0.105,cruise,,,
17.8,30.899,-0.104,cruise,,,
17.9,30.889,-0.103,cruise,,,
18.0,30.879,-0.103,cruise,,,
18.1,30.869,-0.102,cruise,,,
18.2,30.859,-0.101,cruise,,,
18.3,30.849,-0.100,cruise,,,
18.4,30.839,-0.100,cruise,,,
18.5,30.829,-0.099,cruise,,,
18.6,30.819,-0.098,cruise,,,
18.7,30.809,-0.097,cruise,,,
18.8,30.800,-0.096,cruise,,,
18.9,30.790,-0.095,cruise,,,
19.0,30.780,-0.095,cruise,,,
19.1,30.771,-0.094,cruise,,,
19.2,30.762,-0.093,cruise,,,
19.3,30.753,-0.092,cruise,,,
19.4,30.744,-0.091,cruise,,,
19.5,30.735,-0.090,cruise,,,
19.6,30.726,-0.089,cruise,,,
19.7,30.717,-0.088,cruise,,,
19.8,30.708,-0.087,cruise,,,
19.9,30.699,-0.086,cruise,,,
20.0,30.691,-0.086,cruise,,,
20.1,30.682,-0.085,cruise,,,
20.2,30.674,-0.084,cruise,,,
20.3,30.666,-0.083,cruise,,,
20.4,30.658,-0.082,cruise,,,
20.5,30.649,-0.081,cruise,,,
20.6,30.641,-0.080,cruise,,,
20.7,30.634,-0.079,cruise,,,
20.8,30.626,-0.078,cruise,,,
20.9,30.618,-0.077,cruise,,,
21.0,30.610,-0.077,cruise,,,
21.1,30.603,-0.076,cruise,,,
21.2,30.595,-0.075,cruise,,,
21.3,30.588,-0.074,cruise,,,
21.4,30.581,-0.073,cruise,,,
21.5,30.573,-0.072,cruise,,,
21.6,30.566,-0.071,cruise,,,
21.7,30.559,-0.070,cruise,,,
21.8,30.552,-0.070,cruise,,,
21.9,30.545,-0.069,cruise,,,
22.0,30.539,-0.068,cruise,,,
22.1,30.532,-0.067,cruise,,,
22.2,30.525,-0.066,cruise,,,
22.3,30.519,-0.066,cruise,,,
22.4,30.512,-0.065,cruise,,,
22.5,30.506,-0.064,cruise,,,
22.6,30.499,-0.063,cruise,,,
22.7,30.493,-0.062,cruise,,,
