time,ego_speed,acceleration_cmd,mode,distance_error,distance,ttc
0.0,0.3,3.0,cruise,,,
0.1,0.6,3.0,cruise,,,
0.2,0.9,3.0,cruise,,,
0.3,1.2,3.0,cruise,,,
0.4,1.5,3.0,cruise,,,
0.5,1.8,3.0,cruise,,,
0.6,2.1,3.0,cruise,,,
0.7,2.4,3.0,cruise,,,
0.8,2.7,3.0,cruise,,,
0.9,3.0,3.0,cruise,,,
1.0,3.3,3.0,cruise,,,
1.1,3.6,3.0,cruise,,,
1.2,3.9,3.0,cruise,,,
1.3,4.2,3.0,cruise,,,
1.4,4.5,3.0,cruise,,,
1.5,4.8,3.0,cruise,,,
1.6,5.1,3.0,cruise,,,
1.7,5.4,3.0,cruise,,,
1.8,5.7,3.0,cruise,,,
1.9,6.0,3.0,cruise,,,
2.0,6.3,3.0,cruise,,,
2.1,6.6,3.0,cruise,,,
2.2,6.9,3.0,cruise,,,
2.3,7.2,3.0,cruise,,,
2.4,7.5,3.0,cruise,,,
2.5,7.8,3.0,cruise,,,
2.6,8.1,3.0,cruise,,,
2.7,8.4,3.0,cruise,,,
2.8,8.7,3.0,cruise,,,
2.9,9.0,3.0,cruise,,,
3.0,9.3,3.0,cruise,,,
3.1,9.6,3.0,cruise,,,
3.2,9.9,3.0,cruise,,,
3.3,10.2,3.0,cruise,,,
3.4,10.5,3.0,cruise,,,
3.5,10.8,3.0,cruise,,,
3.6,11.1,3.0,cruise,,,
3.7,11.4,3.0,cruise,,,
3.8,11.7,3.0,cruise,,,
3.9,12.0,3.0,cruise,,,
4.0,12.3,3.0,cruise,,,
4.1,12.6,3.0,cruise,,,
4.2,12.9,3.0,cruise,,,
4.3,13.2,3.0,cruise,,,
4.4,13.5,3.0,cruise,,,
4.5,13.8,3.0,cruise,,,
4.6,14.1,3.0,cruise,,,
4.7,14.4,3.0,cruise,,,
4.8,14.7,3.0,cruise,,,
4.9,15.0,3.0,cruise,,,
5.0,15.3,3.0,cruise,,,
5.1,15.6,3.0,cruise,,,
5.2,15.9,3.0,cruise,,,
5.3,16.2,3.0,cruise,,,
5.4,16.5,3.0,cruise,,,
5.5,16.8,3.0,cruise,,,
5.6,17.1,3.0,cruise,,,
5.7,17.4,3.0,cruise,,,
5.8,17.7,3.0,cruise,,,
5.9,18.0,3.0,cruise,,,
6.0,18.3,3.0,cruise,,,
6.1,18.6,3.0,cruise,,,
6.2,18.9,3.0,cruise,,,
6.3,19.2,3.0,cruise,,,
6.4,19.5,3.0,cruise,,,
6.5,19.8,3.0,cruise,,,
6.6,20.1,3.0,cruise,,,
6.7,20.4,3.0,cruise,,,
6.8,20.7,3.0,cruise,,,
6.9,21.0,3.0,cruise,,,
7.0,21.3,3.0,cruise,,,
7.1,21.6,3.0,cruise,,,
7.2,21.9,3.0,cruise,,,
7.3,22.2,3.0,cruise,,,
7.4,22.5,3.0,cruise,,,
7.5,22.8,3.0,cruise,,,
7.6,23.1,3.0,cruise,,,
7.7,23.4,3.0,cruise,,,
7.8,23.7,3.0,cruise,,,
7.9,24.0,3.0,cruise,,,
8.0,24.3,3.0,cruise,,,
8.1,24.6,3.0,cruise,,,
8.2,24.9,3.0,cruise,,,
8.3,25.2,3.0,cruise,,,
8.4,25.5,3.0,cruise,,,
8.5,25.8,3.0,cruise,,,
8.6,26.1,3.0,cruise,,,
8.7,26.4,3.0,cruise,,,
8.8,26.69,2.9,cruise,,,
8.9,26.96,2.68,cruise,,,
9.0,27.21,2.48,cruise,,,
9.1,27.44,2.3,cruise,,,
9.2,27.65,2.13,cruise,,,
9.3,27.85,1.97,cruise,,,
9.4,28.03,1.82,cruise,,,
9.5,28.2,1.69,cruise,,,
9.6,28.35,1.56,cruise,,,
9.7,28.5,1.44,cruise,,,
9.8,28.63,1.34,cruise,,,
9.9,28.75,1.24,cruise,,,
10.0,28.87,1.14,cruise,,,
10.1,28.97,1.06,cruise,,,
10.2,29.07,0.98,cruise,,,
10.3,29.16,0.9,cruise,,,
10.4,29.25,0.84,cruise,,,
10.5,29.32,0.77,cruise,,,
10.6,29.4,0.71,cruise,,,
10.7,29.46,0.66,cruise,,,
10.8,29.52,0.61,cruise,,,
10.9,29.58,0.56,cruise,,,
11.0,29.63,0.52,cruise,,,
11.1,29.68,0.48,cruise,,,
11.2,29.72,0.44,cruise,,,
11.3,29.76,0.41,cruise,,,
11.4,29.8,0.38,cruise,,,
11.5,29.84,0.35,cruise,,,
11.6,29.87,0.32,cruise,,,
11.7,29.9,0.3,cruise,,,
11.8,29.93,0.27,cruise,,,
11.9,29.95,0.25,cruise,,,
12.0,29.97,0.23,cruise,,,
12.1,30.0,0.21,cruise,,,
12.2,30.02,0.2,cruise,,,
12.3,30.03,0.18,cruise,,,
12.4,30.05,0.17,cruise,,,
12.5,30.07,0.15,cruise,,,
12.6,30.08,0.14,cruise,,,
12.7,30.09,0.13,cruise,,,
12.8,30.1,0.12,cruise,,,
12.9,30.12,0.11,cruise,,,
13.0,30.12,0.1,cruise,,,
13.1,30.13,0.09,cruise,,,
13.2,30.14,0.08,cruise,,,
13.3,30.15,0.07,cruise,,,
13.4,30.16,0.07,cruise,,,
13.5,30.16,0.06,cruise,,,
13.6,30.17,0.06,cruise,,,
13.7,30.17,0.05,cruise,,,
13.8,30.18,0.05,cruise,,,
13.9,30.18,0.04,cruise,,,
14.0,30.19,0.04,cruise,,,
14.1,30.19,0.03,cruise,,,
14.2,30.19,0.03,cruise,,,
14.3,30.19,0.03,cruise,,,
14.4,30.2,0.02,cruise,,,
14.5,30.2,0.02,cruise,,,
14.6,30.2,0.02,cruise,,,
14.7,30.2,0.02,cruise,,,
14.8,30.2,0.01,cruise,,,
14.9,30.2,0.01,cruise,,,
15.0,30.21,0.01,cruise,,,
15.1,30.21,0.01,cruise,,,
15.2,30.21,0.01,cruise,,,
15.3,30.21,0.0,cruise,,,
15.4,30.21,0.0,cruise,,,
15.5,30.21,0.0,cruise,,,
15.6,30.21,0.0,cruise,,,
15.7,30.21,-0.0,cruise,,,
15.8,30.21,-0.0,cruise,,,
15.9,30.21,-0.0,cruise,,,
16.0,30.21,-0.0,cruise,,,
16.1,30.21,-0.0,cruise,,,
16.2,30.21,-0.0,cruise,,,
16.3,30.21,-0.01,cruise,,,
16.4,30.21,-0.01,cruise,,,
16.5,30.2,-0.01,cruise,,,
16.6,30.2,-0.01,cruise,,,
16.7,30.2,-0.01,cruise,,,
16.8,30.2,-0.01,cruise,,,
16.9,30.2,-0.01,cruise,,,
17.0,30.2,-0.01,cruise,,,
17.1,30.2,-0.01,cruise,,,
17.2,30.2,-0.01,cruise,,,
17.3,30.2,-0.01,cruise,,,
17.4,30.2,-0.01,cruise,,,
17.5,30.2,-0.01,cruise,,,
17.6,30.19,-0.01,cruise,,,
17.7,30.19,-0.01,cruise,,,
17.8,30.19,-0.01,cruise,,,
17.9,30.19,-0.01,cruise,,,
18.0,30.19,-0.01,cruise,,,
18.1,30.19,-0.01,cruise,,,
18.2,30.19,-0.01,cruise,,,
18.3,30.19,-0.01,cruise,,,
18.4,30.19,-0.01,cruise,,,
18.5,30.19,-0.01,cruise,,,
18.6,30.18,-0.01,cruise,,,
18.7,30.18,-0.01,cruise,,,
18.8,30.18,-0.01,cruise,,,
18.9,30.18,-0.01,cruise,,,
19.0,30.18,-0.01,cruise,,,
19.1,30.18,-0.01,cruise,,,
19.2,30.18,-0.01,cruise,,,
19.3,30.18,-0.01,cruise,,,
19.4,30.18,-0.01,cruise,,,
19.5,30.17,-0.01,cruise,,,
19.6,30.17,-0.01,cruise,,,
19.7,30.17,-0.01,cruise,,,
19.8,30.17,-0.01,cruise,,,
19.9,30.17,-0.01,cruise,,,
20.0,30.17,-0.01,cruise,,,
20.1,30.17,-0.01,cruise,,,
20.2,30.17,-0.01,cruise,,,
20.3,30.17,-0.01,cruise,,,
20.4,30.16,-0.01,cruise,,,
20.5,30.16,-0.01,cruise,,,
20.6,30.16,-0.01,cruise,,,
20.7,30.16,-0.01,cruise,,,
20.8,30.16,-0.01,cruise,,,
20.9,30.16,-0.01,cruise,,,
21.0,30.16,-0.01,cruise,,,
21.1,30.16,-0.01,cruise,,,
21.2,30.16,-0.01,cruise,,,
21.3,30.15,-0.01,cruise,,,
21.4,30.15,-0.01,cruise,,,
21.5,30.15,-0.01,cruise,,,
21.6,30.15,-0.01,cruise,,,
21.7,30.15,-0.01,cruise,,,
21.8,30.15,-0.01,cruise,,,
21.9,30.15,-0.01,cruise,,,
22.0,30.15,-0.01,cruise,,,
22.1,30.15,-0.01,cruise,,,
22.2,30.15,-0.01,cruise,,,
22.3,30.14,-0.01,cruise,,,
22.4,30.14,-0.01,cruise,,,
22.5,30.14,-0.01,cruise,,,
22.6,30.14,-0.01,cruise,,,
22.7,30.14,-0.01,cruise,,,
22.8,30.14,-0.01,cruise,,,
22.9,30.14,-0.01,cruise,,,
23.0,30.14,-0.01,cruise,,,
23.1,30.14,-0.01,cruise,,,
23.2,30.14,-0.01,cruise,,,
23.3,30.14,-0.01,cruise,,,
23.4,30.13,-0.01,cruise,,,
23.5,30.13,-0.01,cruise,,,
23.6,30.13,-0.01,cruise,,,
23.7,30.13,-0.01,cruise,,,
23.8,30.13,-0.01,cruise,,,
23.9,30.13,-0.01,cruise,,,
24.0,30.13,-0.01,cruise,,,
24.1,30.13,-0.01,cruise,,,
24.2,30.13,-0.01,cruise,,,
24.3,30.13,-0.01,cruise,,,
24.4,30.13,-0.01,cruise,,,
24.5,30.12,-0.01,cruise,,,
24.6,30.12,-0.01,cruise,,,
24.7,30.12,-0.01,cruise,,,
24.8,30.12,-0.01,cruise,,,
24.9,30.12,-0.01,cruise,,,
25.0,30.12,-0.01,cruise,,,
25.1,30.12,-0.01,cruise,,,
25.2,30.12,-0.01,cruise,,,
25.3,30.12,-0.01,cruise,,,
25.4,30.12,-0.01,cruise,,,
25.5,30.12,-0.01,cruise,,,
25.6,30.12,-0.01,cruise,,,
25.7,30.11,-0.01,cruise,,,
25.8,30.11,-0.01,cruise,,,
25.9,30.11,-0.01,cruise,,,
26.0,30.11,-0.01,cruise,,,
26.1,30.11,-0.01,cruise,,,
26.2,30.11,-0.01,cruise,,,
26.3,30.11,-0.01,cruise,,,
26.4,30.11,-0.01,cruise,,,
26.5,30.11,-0.01,cruise,,,
26.6,30.11,-0.01,cruise,,,
26.7,30.11,-0.01,cruise,,,
26.8,30.11,-0.01,cruise,,,
26.9,30.11,-0.01,cruise,,,
27.0,30.1,-0.01,cruise,,,
27.1,30.1,-0.01,cruise,,,
27.2,30.1,-0.01,cruise,,,
27.3,30.1,-0.01,cruise,,,
27.4,30.1,-0.01,cruise,,,
27.5,30.1,-0.01,cruise,,,
27.6,30.1,-0.01,cruise,,,
27.7,30.1,-0.01,cruise,,,
27.8,30.1,-0.01,cruise,,,
27.9,30.1,-0.01,cruise,,,
28.0,30.1,-0.01,cruise,,,
28.1,30.1,-0.01,cruise,,,
28.2,30.1,-0.01,cruise,,,
28.3,30.1,-0.01,cruise,,,
28.4,30.1,-0.01,cruise,,,
28.5,30.09,-0.01,cruise,,,
28.6,30.09,-0.01,cruise,,,
28.7,30.09,-0.01,cruise,,,
28.8,30.09,-0.01,cruise,,,
28.9,30.09,-0.01,cruise,,,
29.0,30.09,-0.01,cruise,,,
29.1,30.09,-0.01,cruise,,,
29.2,30.09,-0.01,cruise,,,
29.3,30.09,-0.01,cruise,,,
29.4,30.09,-0.01,cruise,,,
29.5,30.09,-0.01,cruise,,,
29.6,30.09,-0.01,cruise,,,
29.7,30.09,-0.01,cruise,,,
29.8,30.09,-0.01,cruise,,,
29.9,30.09,-0.01,cruise,,,
30.0,29.29,-8.0,follow,3.03,52.1,13.3
30.1,29.35,0.64,follow,2.27,51.66,11.61
30.2,28.88,-4.66,follow,2.75,51.28,15.11
30.3,28.9,0.19,follow,2.33,51.0,18.46
30.4,28.45,-4.49,follow,2.76,50.59,13.92
30.5,28.4,-0.53,follow,2.45,50.23,14.03
30.6,28.11,-2.94,follow,2.59,50.01,25.95
30.7,27.99,-1.16,follow,2.41,49.75,20.64
30.8,27.69,-3.05,follow,2.57,49.42,16.28
30.9,27.59,-0.94,follow,2.33,49.19,22.55
31.0,27.29,-3.0,follow,2.49,48.9,18.52
31.1,27.17,-1.18,follow,2.3,48.63,19.28
31.2,26.95,-2.27,follow,2.32,48.44,27.42
31.3,26.73,-2.16,follow,2.32,48.1,15.22
31.4,26.52,-2.07,follow,2.3,47.8,16.99
31.5,26.37,-1.53,follow,2.18,47.6,26.6
31.6,26.17,-2.03,follow,2.17,47.39,24.6
31.7,26.08,-0.9,follow,1.95,47.3,56.58
31.8,25.85,-2.22,follow,1.99,47.12,30.72
31.9,25.73,-1.22,follow,1.85,46.93,26.18
32.0,25.67,-0.67,follow,1.63,46.97,
32.1,25.5,-1.68,follow,1.62,46.88,70.3
32.2,25.44,-0.58,follow,1.41,46.84,120.31
32.3,25.24,-2.01,follow,1.47,46.69,35.67
32.4,25.21,-0.33,follow,1.24,46.62,75.67
32.5,25.08,-1.31,follow,1.2,46.61,
32.6,24.98,-0.91,follow,1.1,46.52,55.06
32.7,24.94,-0.47,follow,0.93,46.55,
32.8,24.83,-1.12,follow,0.9,46.51,168.57
32.9,24.79,-0.34,follow,0.74,46.5,3819.1
33.0,24.69,-1.01,follow,0.71,46.48,329.13
33.1,24.76,0.72,follow,0.39,46.65,
33.2,24.62,-1.39,follow,0.47,46.67,
33.3,24.62,0.0,follow,0.31,46.63,112.47
33.4,24.6,-0.26,follow,0.21,46.73,
33.5,24.52,-0.83,follow,0.22,46.68,107.16
33.6,24.55,0.33,follow,0.03,46.74,
33.7,24.4,-1.5,follow,0.18,46.64,53.66
33.8,24.43,0.33,follow,-0.0,46.6,107.79
33.9,24.39,-0.46,follow,-0.02,46.67,
34.0,24.44,0.51,follow,-0.21,46.79,
34.1,24.39,-0.46,follow,-0.2,46.86,
34.2,24.42,0.28,follow,-0.32,46.91,
34.3,24.38,-0.36,follow,-0.32,46.94,
34.4,24.35,-0.3,follow,-0.32,46.89,101.3
34.5,24.35,0.0,follow,-0.38,46.9,
34.6,24.34,-0.1,follow,-0.4,46.93,
34.7,24.41,0.69,follow,-0.56,47.08,
34.8,24.39,-0.21,follow,-0.55,47.16,
34.9,24.36,-0.34,follow,-0.51,47.09,69.63
35.0,24.42,0.67,follow,-0.65,47.18,
35.1,24.38,-0.44,follow,-0.58,47.21,
35.2,24.42,0.37,follow,-0.65,47.22,
35.3,24.44,0.27,follow,-0.7,47.33,
35.4,24.5,0.57,follow,-0.79,47.46,
35.5,24.53,0.32,follow,-0.83,47.58,
35.6,24.51,-0.22,follow,-0.76,47.56,335.73
35.7,24.56,0.45,follow,-0.82,47.59,
35.8,24.57,0.18,follow,-0.82,47.66,
35.9,24.64,0.69,follow,-0.91,47.77,
36.0,24.61,-0.35,follow,-0.81,47.77,
36.1,24.67,0.63,follow,-0.88,47.8,
36.2,24.61,-0.59,follow,-0.74,47.75,107.63
36.3,24.65,0.36,follow,-0.77,47.7,86.8
36.4,24.69,0.43,follow,-0.82,47.79,
36.5,24.75,0.62,follow,-0.89,47.92,
36.6,24.74,-0.14,follow,-0.81,47.94,
36.7,24.84,0.95,follow,-0.93,48.04,
36.8,24.81,-0.23,follow,-0.84,48.09,
36.9,24.84,0.3,follow,-0.84,48.06,149.01
37.0,24.87,0.27,follow,-0.84,48.1,
37.1,24.95,0.8,follow,-0.93,48.23,
37.2,24.92,-0.31,follow,-0.81,48.23,
37.3,25.05,1.28,follow,-0.98,48.36,
37.4,24.86,-1.85,follow,-0.59,48.16,26.44
37.5,25.08,2.18,follow,-0.94,48.23,
37.6,24.93,-1.48,follow,-0.61,48.23,
37.7,25.07,1.36,follow,-0.82,48.22,167.88
37.8,24.98,-0.85,follow,-0.62,48.22,
37.9,24.99,0.06,follow,-0.6,48.07,32.52
38.0,24.99,0.02,follow,-0.57,48.05,318.91
