New Terminal Output:
run_id,date,line_id,shift,machine_id,oven_model,recipe_id,recipe_version,board_id,board_family,panel_count,board_length_cm,board_width_cm,board_thickness_mm,board_layers,copper_oz,board_mass_g,thermal_mass_idx,paste_type,paste_class,solder_liquidus_c,stencil_id,squeegee_speed_mm_s,spi_cpk,paste_age_hr,conveyor_speed_cm_min,loading_factor,boards_per_min,downtime_s,gas_mode,n2_flow_slm,o2_ppm_reflow,o2_ppm_dryout,o2_ppm_inlet,o2_ppm_mid,o2_ppm_outlet,ambient_c,humidity_rh,maintenance_overdue,zone1_sp_c,zone2_sp_c,zone3_sp_c,zone4_sp_c,zone5_sp_c,zone6_sp_c,zone7_sp_c,zone8_sp_c,zone9_sp_c,zone10_sp_c
R0004,2026-01-02,L1,Night,RF-03,8Z_IR+Conv,Wearable_Sn62Pb36Ag2_Z8,v3.4,PCB_F,Wearable,1,15,10,0.8,4,0.5,55,0.55,Sn62Pb36Ag2,WaterSoluble,179,STN-F78,68.4,1.21,3.7,93.2,0.7,4.058,42,N2_full,78.2,567,889,557,596,598,26.2,49.9,0,141.8,151.7,172.0,170.5,200.9,212.7,189.0,82.2,,
R0005,2026-01-02,L1,Day,RF-03,8Z_IR+Conv,Industrial_CTRL_SAC0307_Z8,v1.8,PCB_E,Industrial_CTRL,1,32,24,2.0,12,2.0,260,1.25,SAC0307,UltraLowResidue,217,STN-E80,45.1,1.4,9.6,87.5,0.7,1.871,2,Air,0.0,20404,19987,21564,18771,24385,24.4,46.2,1,140.6,151.5,161.6,161.3,222.2,231.8,188.9,78.4,,
R0003,2026-01-02,L2,Night,RF-01,8Z_Convection,Industrial_CTRL_Sn63Pb37_Z8,v3.6,PCB_E,Industrial_CTRL,1,32,24,2.0,12,2.0,260,1.25,Sn63Pb37,RMA,183,STN-E32,46.0,1.65,5.2,51.5,0.67,1.073,25,N2_mixed,86.9,665,333,698,622,668,26.3,41.6,0,145.2,156.5,162.9,161.3,190.1,200.2,177.0,77.8,,
R0006,2026-01-02,L2,Night,RF-03,8Z_IR+Conv,Mobile_PWR_SAC305_Z8,v3.9,PCB_A,Mobile_PWR,2,25,18,1.0,6,1.0,120,0.85,SAC305,NoClean_LowResidue,217,STN-A84,77.5,1.44,7.1,48.7,0.61,0.595,17,Air,0.0,18792,18381,17285,17147,16142,23.3,42.7,0,141.2,152.2,165.0,166.9,222.4,231.6,179.3,77.3,,
R0001,2026-01-02,L3,Day,RF-02,10Z_Convection,Sensor_Module_Sn63Pb37_Z10,v2.7,PCB_C,Sensor_Module,1,20,16,0.8,4,0.5,85,0.7,Sn63Pb37,RMA,183,STN-C17,57.1,1.34,2.3,64.8,0.7,2.125,46,Air,0.0,20448,20128,19926,22322,20426,25.1,37.1,0,133.5,142.4,152.4,159.5,160.7,176.2,186.5,197.7,182.8,76.5
R0002,2026-01-02,L3,Swing,RF-02,10Z_Convection,Compute_IO_Sn62Pb36Ag2_Z10,v2.2,PCB_B,Compute_IO,1,30,22,1.6,10,2.0,210,1.1,Sn62Pb36Ag2,WaterSoluble,179,STN-B91,44.0,1.09,9.2,75.1,0.53,1.403,206,N2_full,87.5,396,747,420,451,398,24.0,38.4,0,141.4,151.0,160.5,166.0,167.5,188.7,201.2,209.2,193.6,80.4
R0009,2026-01-03,L1,Swing,RF-01,8Z_Convection,Sensor_Module_SAC305_Z8,v2.4,PCB_C,Sensor_Module,2,20,16,0.8,4,0.5,85,0.7,SAC305,NoClean_LowResidue,217,STN-C22,24.2,1.44,2.1,86.2,0.92,1.736,32,N2_full,35.1,96,187,104,104,101,24.3,60.2,0,146.4,156.1,164.9,165.2,232.9,242.5,175.1,79.2,,
R0011,2026-01-03,L1,Night,RF-01,8Z_Convection,Compute_IO_Sn62Pb36Ag2_Z8,v2.9,PCB_B,Compute_IO,1,30,22,1.6,10,2.0,210,1.1,Sn62Pb36Ag2,WaterSoluble,179,STN-B95,65.6,1.09,6.5,75.8,0.75,2.172,0,N2_full,42.1,672,614,584,688,737,26.1,59.7,0,148.5,157.9,160.5,160.2,188.9,199.7,190.9,79.6,,
R0007,2026-01-03,L1,Swing,RF-02,10Z_Convection,Mobile_PWR_Sn62Pb36Ag2_Z10,v2.4,PCB_A,Mobile_PWR,2,25,18,1.0,6,1.0,120,0.85,Sn62Pb36Ag2,WaterSoluble,179,STN-A70,21.1,1.32,0.6,81.6,0.79,1.2,73,N2_full,93.8,616,440,578,576,743,22.5,67.3,0,142.6,155.1,163.2,163.2,164.9,189.6,200.8,210.0,187.6,83.3
R0010,2026-01-03,L1,Night,RF-02,10Z_Convection,Industrial_CTRL_Sn63Pb37_Z10,v1.6,PCB_E,Industrial_CTRL,2,32,24,2.0,12,2.0,260,1.25,Sn63Pb37,RMA,183,STN-E67,31.6,1.14,1.8,47.7,0.8,0.582,141,N2_mixed,82.7,464,381,483,429,525,22.5,52.9,0,146.7,154.9,164.5,175.1,174.5,198.5,210.4,219.5,192.3,83.5
R0012,2026-01-03,L1,Day,RF-03,8Z_IR+Conv,Industrial_CTRL_SAC0307_Z8,v2.6,PCB_E,Industrial_CTRL,2,32,24,2.0,12,2.0,260,1.25,SAC0307,UltraLowResidue,217,STN-E49,45.1,1.38,10.7,81.6,0.69,0.892,76,Air,0.0,19650,19789,16257,18649,22168,24.1,44.3,0,147.5,154.6,160.2,160.8,222.0,232.0,178.5,76.0,,
R0008,2026-01-03,L2,Swing,RF-01,8Z_Convection,Sensor_Module_SAC0307_Z8,v2.4,PCB_C,Sensor_Module,2,20,16,0.8,4,0.5,85,0.7,SAC0307,UltraLowResidue,217,STN-C26,30.2,1.08,3.9,106.7,0.9,2.699,69,N2_mixed,81.7,102,124,104,111,98,21.4,65.6,0,138.4,146.8,162.3,160.2,225.1,235.8,173.7,76.4,,
R0013,2026-01-04,L1,Night,RF-03,8Z_IR+Conv,Wearable_Sn63Pb37_Z8,v2.2,PCB_F,Wearable,1,15,10,0.8,4,0.5,55,0.55,Sn63Pb37,RMA,183,STN-F72,47.9,1.53,2.1,91.8,0.95,5.622,72,N2_full,107.2,258,259,236,260,271,22.3,35.1,0,143.2,152.8,167.0,167.4,193.2,203.7,178.3,79.4,,
R0014,2026-01-04,L2,Day,RF-01,8Z_Convection,Mobile_PWR_Sn63Pb37_Z8,v3.0,PCB_A,Mobile_PWR,2,25,18,1.0,6,1.0,120,0.85,Sn63Pb37,RMA,183,STN-A84,75.7,1.41,9.9,53.9,0.3,0.301,0,N2_mixed,84.1,460,347,470,420,541,22.9,56.1,0,140.2,148.0,162.1,162.4,194.8,205.0,188.4,79.3,,
R0016,2026-01-04,L2,Day,RF-03,8Z_IR+Conv,Industrial_CTRL_SAC305_Z8,v1.9,PCB_E,Industrial_CTRL,2,32,24,2.0,12,2.0,260,1.25,SAC305,NoClean_LowResidue,217,STN-E70,62.3,1.38,4.0,60.2,0.64,0.52,35,N2_full,112.4,140,109,143,159,120,24.9,38.2,0,145.3,157.3,161.8,161.4,242.0,254.0,194.0,81.4,,
R0018,2026-01-04,L2,Day,RF-03,8Z_IR+Conv,Wearable_Sn63Pb37_Z8,v2.9,PCB_F,Wearable,2,15,10,0.8,4,0.5,55,0.55,Sn63Pb37,RMA,183,STN-F19,45.1,1.18,1.9,82.9,0.75,2.223,89,N2_full,119.2,162,363,159,176,154,23.9,37.0,0,138.5,149.0,168.0,166.8,188.2,198.1,183.6,77.3,,
R0017,2026-01-04,L3,Night,RF-02,10Z_Convection,Industrial_CTRL_Sn63Pb37_Z10,v2.7,PCB_E,Industrial_CTRL,2,32,24,2.0,12,2.0,260,1.25,Sn63Pb37,RMA,183,STN-E23,58.3,1.21,7.6,59.5,0.54,0.571,70,N2_full,116.2,306,341,258,289,297,23.2,44.0,1,136.1,147.4,155.4,160.3,160.7,191.5,202.0,209.9,182.2,76.3
R0015,2026-01-04,L3,Night,RF-03,8Z_IR+Conv,Mobile_PWR_SAC305_Z8,v2.4,PCB_A,Mobile_PWR,1,25,18,1.0,6,1.0,120,0.85,SAC305,NoClean_LowResidue,217,STN-A80,60.8,1.4,3.4,63.1,0.28,0.758,0,N2_full,54.2,120,145,122,133,142,26.3,43.8,0,142.3,152.0,163.2,164.9,236.4,245.6,186.6,79.4,,
R0023,2026-01-05,L1,Night,RF-02,10Z_Convection,RF_FrontEnd_Sn63Pb37_Z10,v2.2,PCB_D,RF_FrontEnd,1,18,14,0.8,6,1.0,75,0.65,Sn63Pb37,RMA,183,STN-D30,75.7,1.51,7.3,85.8,0.58,2.74,182,N2_full,68.2,277,145,297,323,287,27.8,61.4,0,136.1,143.8,156.0,165.9,165.7,191.0,198.2,208.5,195.4,84.6
