New Terminal Output:
Vendors Data:
Row 1: ('id', 'name', 'iban')
Row 2: ('V001', 'Vendor 1', 'IBAN000000001')
Row 3: ('V002', 'Vendor 2', 'IBAN000000002')
Row 4: ('V003', 'Vendor 3', 'IBAN000000003')
Row 5: ('V004', 'Vendor 4', 'IBAN000000004')
Row 6: ('V005', 'Vendor 5', 'IBAN000000005')
Row 7: ('V006', 'Vendor 6', 'IBAN000000006')
Row 8: ('V007', 'Vendor 7', 'IBAN000000007')
Row 9: ('V008', 'Vendor 8', 'IBAN000000008')
Row 10: ('V009', 'Vendor 9', 'IBAN000000009')
Row 11: ('V010', 'Vendor 10', 'IBAN000000010')
Row 12: ('V011', 'Vendor 11', 'IBAN000000011')
Row 13: ('V012', 'Vendor 12', 'IBAN000000012')
Row 14: ('V013', 'Vendor 13', 'IBAN000000013')
Row 15: ('V014', 'Vendor 14', 'IBAN000000014')
