New Terminal Output:
[None, 'Gold, Fixing Committee of the London Bullion Market Association, London 3 PM fixed price, US$ per troy ounce', 'Monthly log return', '3-month volatility', '12-month volatility']
['1990M1', None, None, None, None]
['1990M2', None, None, None, None]
['1990M3', None, None, None, None]
['1990M4', None, None, None, None]
Answer sheet preview:
1 [None, 'STEP 1', None, None, None, None, None, None, None, None, None]
2 [None, None, None, None, None, None, None, None, None, None, None]
3 [None, 'Z-score (95% one-sided)', None, None, None, None, None, None, None, None, None]
4 [None, '3-month volatility', None, None, None, None, None, None, None, None, None]
5 [None, '3-month volatility annualized', None, None, None, None, None, None, None, None, None]
6 [None, '12-month volatility', None, None, None, None, None, None, None, None, None]
7 [None, None, None, None, None, None, None, None, None, None, None]
8 [None, None, None, None, None, None, None, None, None, None, None]
9 [None, 'STEP 2', None, None, None, None, None, None, None, None, None]
10 [None, None, None, None, None, None, None, None, None, None, None]
11 [None, 'Country', None, None, None, None, None, None, None, None, None]
12 [None, 'Gold reserves \n(in millions of USD)', None, None, None, None, None, None, None, None, None]
13 [None, 'Gold valuation exposure (95% one-sided shock)', None, None, None, None, None, None, None, None, None]
14 [None, None, None, None, None, None, None, None, None, None, None]
