time,ego_speed,acceleration_cmd,mode,distance_error,distance,ttc
0.0,0.3,3.0,cruise,,,
0.1,0.6,3.0,cruise,,,
0.2,0.9,3.0,cruise,,,
0.3,1.2,3.0,cruise,,,
0.4,1.5,3.0,cruise,,,
0.5,1.8,3.0,cruise,,,
0.6,2.1,3.0,cruise,,,
0.7,2.4,3.0,cruise,,,
0.8,2.7,3.0,cruise,,,
0.9,3.0,3.0,cruise,,,
1.0,3.3,3.0,cruise,,,
1.1,3.6,3.0,cruise,,,
1.2,3.9,3.0,cruise,,,
1.3,4.2,3.0,cruise,,,
1.4,4.5,3.0,cruise,,,
1.5,4.8,3.0,cruise,,,
1.6,5.1,3.0,cruise,,,
1.7,5.4,3.0,cruise,,,
1.8,5.7,3.0,cruise,,,
1.9,6.0,3.0,cruise,,,
2.0,6.3,3.0,cruise,,,
2.1,6.6,3.0,cruise,,,
2.2,6.9,3.0,cruise,,,
2.3,7.2,3.0,cruise,,,
2.4,7.5,3.0,cruise,,,
2.5,7.8,3.0,cruise,,,
2.6,8.1,3.0,cruise,,,
2.7,8.4,3.0,cruise,,,
2.8,8.7,3.0,cruise,,,
2.9,9.0,3.0,cruise,,,
3.0,9.3,3.0,cruise,,,
3.1,9.6,3.0,cruise,,,
3.2,9.9,3.0,cruise,,,
3.3,10.2,3.0,cruise,,,
3.4,10.5,3.0,cruise,,,
3.5,10.8,3.0,cruise,,,
3.6,11.1,3.0,cruise,,,
3.7,11.4,3.0,cruise,,,
3.8,11.7,3.0,cruise,,,
3.9,12.0,3.0,cruise,,,
4.0,12.3,3.0,cruise,,,
4.1,12.6,3.0,cruise,,,
4.2,12.9,3.0,cruise,,,
4.3,13.2,3.0,cruise,,,
4.4,13.5,3.0,cruise,,,
4.5,13.8,3.0,cruise,,,
4.6,14.1,3.0,cruise,,,
4.7,14.4,3.0,cruise,,,
4.8,14.7,3.0,cruise,,,
4.9,15.0,3.0,cruise,,,
5.0,15.3,3.0,cruise,,,
5.1,15.6,3.0,cruise,,,
5.2,15.9,3.0,cruise,,,
5.3,16.2,3.0,cruise,,,
5.4,16.5,3.0,cruise,,,
5.5,16.8,3.0,cruise,,,
5.6,17.1,3.0,cruise,,,
5.7,17.4,3.0,cruise,,,
5.8,17.7,3.0,cruise,,,
5.9,18.0,3.0,cruise,,,
6.0,18.3,3.0,cruise,,,
6.1,18.6,3.0,cruise,,,
6.2,18.9,3.0,cruise,,,
6.3,19.2,3.0,cruise,,,
6.4,19.5,3.0,cruise,,,
6.5,19.8,3.0,cruise,,,
6.6,20.1,3.0,cruise,,,
6.7,20.4,3.0,cruise,,,
6.8,20.7,3.0,cruise,,,
6.9,21.0,3.0,cruise,,,
7.0,21.3,3.0,cruise,,,
7.1,21.6,3.0,cruise,,,
7.2,21.9,3.0,cruise,,,
7.3,22.2,3.0,cruise,,,
7.4,22.5,3.0,cruise,,,
7.5,22.8,3.0,cruise,,,
7.6,23.1,3.0,cruise,,,
7.7,23.4,3.0,cruise,,,
7.8,23.7,3.0,cruise,,,
7.9,24.0,3.0,cruise,,,
8.0,24.3,3.0,cruise,,,
8.1,24.6,3.0,cruise,,,
8.2,24.9,3.0,cruise,,,
8.3,25.2,3.0,cruise,,,
8.4,25.5,3.0,cruise,,,
8.5,25.8,3.0,cruise,,,
8.6,26.1,3.0,cruise,,,
8.7,26.4,3.0,cruise,,,
8.8,26.7,3.0,cruise,,,
8.9,27.0,3.0,cruise,,,
9.0,27.3,3.0,cruise,,,
9.1,27.6,2.8,cruise,,,
9.2,27.8,2.5,cruise,,,
9.3,28.1,2.3,cruise,,,
9.4,28.3,2.0,cruise,,,
9.5,28.4,1.8,cruise,,,
9.6,28.6,1.7,cruise,,,
9.7,28.8,1.5,cruise,,,
9.8,28.9,1.3,cruise,,,
9.9,29.0,1.2,cruise,,,
10.0,29.1,1.1,cruise,,,
10.1,29.2,1.0,cruise,,,
10.2,29.3,0.9,cruise,,,
10.3,29.4,0.8,cruise,,,
10.4,29.5,0.7,cruise,,,
10.5,29.5,0.6,cruise,,,
10.6,29.6,0.6,cruise,,,
10.7,29.6,0.5,cruise,,,
10.8,29.7,0.5,cruise,,,
10.9,29.7,0.4,cruise,,,
11.0,29.8,0.4,cruise,,,
11.1,29.8,0.3,cruise,,,
11.2,29.8,0.3,cruise,,,
11.3,29.9,0.3,cruise,,,
11.4,29.9,0.2,cruise,,,
11.5,29.9,0.2,cruise,,,
11.6,29.9,0.2,cruise,,,
11.7,29.9,0.2,cruise,,,
11.8,30.0,0.2,cruise,,,
11.9,30.0,0.1,cruise,,,
12.0,30.0,0.1,cruise,,,
12.1,30.0,0.1,cruise,,,
12.2,30.0,0.1,cruise,,,
12.3,30.0,0.1,cruise,,,
12.4,30.0,0.1,cruise,,,
12.5,30.0,0.1,cruise,,,
12.6,30.0,0.1,cruise,,,
12.7,30.0,0.1,cruise,,,
12.8,30.0,0.1,cruise,,,
12.9,30.1,0.1,cruise,,,
13.0,30.1,0.0,cruise,,,
13.1,30.1,0.0,cruise,,,
13.2,30.1,0.0,cruise,,,
13.3,30.1,0.0,cruise,,,
13.4,30.1,0.0,cruise,,,
13.5,30.1,0.0,cruise,,,
13.6,30.1,0.0,cruise,,,
13.7,30.1,0.0,cruise,,,
13.8,30.1,0.0,cruise,,,
13.9,30.1,0.0,cruise,,,
14.0,30.1,0.0,cruise,,,
14.1,30.1,0.0,cruise,,,
14.2,30.1,0.0,cruise,,,
14.3,30.1,0.0,cruise,,,
14.4,30.1,0.0,cruise,,,
14.5,30.1,0.0,cruise,,,
14.6,30.1,0.0,cruise,,,
14.7,30.1,0.0,cruise,,,
14.8,30.1,0.0,cruise,,,
14.9,30.1,0.0,cruise,,,
15.0,30.1,0.0,cruise,,,
15.1,30.1,0.0,cruise,,,
15.2,30.1,0.0,cruise,,,
15.3,30.1,0.0,cruise,,,
15.4,30.1,0.0,cruise,,,
15.5,30.1,0.0,cruise,,,
15.6,30.1,0.0,cruise,,,
15.7,30.1,0.0,cruise,,,
15.8,30.1,0.0,cruise,,,
15.9,30.1,0.0,cruise,,,
16.0,30.1,0.0,cruise,,,
16.1,30.1,0.0,cruise,,,
16.2,30.1,0.0,cruise,,,
16.3,30.1,0.0,cruise,,,
16.4,30.1,0.0,cruise,,,
16.5,30.1,0.0,cruise,,,
16.6,30.1,0.0,cruise,,,
16.7,30.1,0.0,cruise,,,
16.8,30.1,-0.0,cruise,,,
16.9,30.1,-0.0,cruise,,,
17.0,30.1,-0.0,cruise,,,
17.1,30.1,-0.0,cruise,,,
17.2,30.1,-0.0,cruise,,,
17.3,30.1,-0.0,cruise,,,
17.4,30.1,-0.0,cruise,,,
17.5,30.1,-0.0,cruise,,,
17.6,30.1,-0.0,cruise,,,
17.7,30.1,-0.0,cruise,,,
17.8,30.1,-0.0,cruise,,,
17.9,30.1,-0.0,cruise,,,
18.0,30.1,-0.0,cruise,,,
18.1,30.1,-0.0,cruise,,,
18.2,30.1,-0.0,cruise,,,
18.3,30.1,-0.0,cruise,,,
18.4,30.1,-0.0,cruise,,,
18.5,30.1,-0.0,cruise,,,
18.6,30.1,-0.0,cruise,,,
18.7,30.1,-0.0,cruise,,,
18.8,30.1,-0.0,cruise,,,
18.9,30.1,-0.0,cruise,,,
19.0,30.1,-0.0,cruise,,,
19.1,30.1,-0.0,cruise,,,
19.2,30.1,-0.0,cruise,,,
19.3,30.1,-0.0,cruise,,,
19.4,30.1,-0.0,cruise,,,
19.5,30.1,-0.0,cruise,,,
19.6,30.1,-0.0,cruise,,,
19.7,30.1,-0.0,cruise,,,
19.8,30.1,-0.0,cruise,,,
19.9,30.1,-0.0,cruise,,,
20.0,30.1,-0.0,cruise,,,
20.1,30.1,-0.0,cruise,,,
20.2,30.1,-0.0,cruise,,,
20.3,30.1,-0.0,cruise,,,
20.4,30.1,-0.0,cruise,,,
20.5,30.1,-0.0,cruise,,,
20.6,30.1,-0.0,cruise,,,
20.7,30.1,-0.0,cruise,,,
20.8,30.1,-0.0,cruise,,,
20.9,30.1,-0.0,cruise,,,
21.0,30.1,-0.0,cruise,,,
21.1,30.1,-0.0,cruise,,,
21.2,30.1,-0.0,cruise,,,
21.3,30.1,-0.0,cruise,,,
21.4,30.1,-0.0,cruise,,,
21.5,30.1,-0.0,cruise,,,
21.6,30.1,-0.0,cruise,,,
21.7,30.1,-0.0,cruise,,,
21.8,30.1,-0.0,cruise,,,
21.9,30.1,-0.0,cruise,,,
22.0,30.1,-0.0,cruise,,,
22.1,30.1,-0.0,cruise,,,
22.2,30.1,-0.0,cruise,,,
22.3,30.1,-0.0,cruise,,,
22.4,30.1,-0.0,cruise,,,
22.5,30.1,-0.0,cruise,,,
22.6,30.1,-0.0,cruise,,,
22.7,30.1,-0.0,cruise,,,
22.8,30.1,-0.0,cruise,,,
22.9,30.1,-0.0,cruise,,,
23.0,30.1,-0.0,cruise,,,
23.1,30.1,-0.0,cruise,,,
23.2,30.1,-0.0,cruise,,,
23.3,30.1,-0.0,cruise,,,
23.4,30.1,-0.0,cruise,,,
23.5,30.1,-0.0,cruise,,,
23.6,30.1,-0.0,cruise,,,
23.7,30.1,-0.0,cruise,,,
23.8,30.1,-0.0,cruise,,,
23.9,30.1,-0.0,cruise,,,
24.0,30.1,-0.0,cruise,,,
24.1,30.1,-0.0,cruise,,,
24.2,30.1,-0.0,cruise,,,
24.3,30.1,-0.0,cruise,,,
24.4,30.1,-0.0,cruise,,,
24.5,30.1,-0.0,cruise,,,
24.6,30.1,-0.0,cruise,,,
24.7,30.1,-0.0,cruise,,,
24.8,30.1,-0.0,cruise,,,
24.9,30.1,-0.0,cruise,,,
25.0,30.1,-0.0,cruise,,,
25.1,30.1,-0.0,cruise,,,
25.2,30.1,-0.0,cruise,,,
25.3,30.1,-0.0,cruise,,,
25.4,30.1,-0.0,cruise,,,
25.5,30.1,-0.0,cruise,,,
25.6,30.1,-0.0,cruise,,,
25.7,30.1,-0.0,cruise,,,
25.8,30.1,-0.0,cruise,,,
25.9,30.1,-0.0,cruise,,,
26.0,30.1,-0.0,cruise,,,
26.1,30.1,-0.0,cruise,,,
26.2,30.1,-0.0,cruise,,,
26.3,30.1,-0.0,cruise,,,
26.4,30.1,-0.0,cruise,,,
26.5,30.1,-0.0,cruise,,,
26.6,30.1,-0.0,cruise,,,
26.7,30.1,-0.0,cruise,,,
26.8,30.1,-0.0,cruise,,,
26.9,30.1,-0.0,cruise,,,
27.0,30.1,-0.0,cruise,,,
27.1,30.1,-0.0,cruise,,,
27.2,30.1,-0.0,cruise,,,
27.3,30.1,-0.0,cruise,,,
27.4,30.1,-0.0,cruise,,,
27.5,30.1,-0.0,cruise,,,
27.6,30.1,-0.0,cruise,,,
27.7,30.1,-0.0,cruise,,,
27.8,30.1,-0.0,cruise,,,
27.9,30.1,-0.0,cruise,,,
28.0,30.1,-0.0,cruise,,,
28.1,30.1,-0.0,cruise,,,
28.2,30.1,-0.0,cruise,,,
28.3,30.1,-0.0,cruise,,,
28.4,30.1,-0.0,cruise,,,
28.5,30.1,-0.0,cruise,,,
28.6,30.1,-0.0,cruise,,,
28.7,30.1,-0.0,cruise,,,
28.8,30.1,-0.0,cruise,,,
28.9,30.1,-0.0,cruise,,,
29.0,30.1,-0.0,cruise,,,
29.1,30.1,-0.0,cruise,,,
29.2,30.1,-0.0,cruise,,,
29.3,30.1,-0.0,cruise,,,
29.4,30.1,-0.0,cruise,,,
29.5,30.1,-0.0,cruise,,,
29.6,30.1,-0.0,cruise,,,
29.7,30.1,-0.0,cruise,,,
29.8,30.1,-0.0,cruise,,,
29.9,30.1,-0.0,cruise,,,
30.0,30.1,-0.0,follow,3.03,52.1,11.05
30.1,30.1,-0.0,follow,4.26,50.87,9.81
30.2,30.1,-0.0,follow,6.03,49.1,10.69
30.3,30.1,-0.0,follow,7.54,47.59,12.06
30.4,30.1,-0.0,follow,6.06,49.07,9.32
30.5,30.1,-0.0,follow,6.97,48.16,9.15
30.6,30.1,-0.0,follow,6.71,48.42,12.4
30.7,30.1,-0.0,follow,7.53,47.6,10.57
30.8,30.1,-0.0,follow,7.39,47.74,8.78
30.9,30.1,-0.0,follow,10.01,45.12,9.65
31.0,30.1,-0.0,follow,7.88,47.25,8.69
31.1,30.1,-0.0,follow,9.81,45.32,8.34
31.2,30.1,-0.0,follow,7.69,47.44,9.67
31.3,30.1,-0.0,follow,11.77,43.36,6.66
31.4,30.1,-0.0,follow,8.93,46.2,7.25
31.5,30.1,-0.0,follow,11.32,43.81,7.96
31.6,30.1,-0.0,follow,12.77,42.36,7.25
31.7,30.1,-0.0,follow,12.89,42.24,8.72
31.8,30.1,-0.0,follow,13.01,42.12,7.31
31.9,30.1,-0.0,follow,12.38,42.75,6.96
32.0,30.1,-0.0,follow,12.57,42.56,10.68
32.1,30.1,-0.0,follow,14.25,40.88,7.78
32.2,30.1,-0.0,follow,13.85,41.28,8.2
32.3,30.1,-0.0,follow,11.45,43.67,7.1
32.4,30.1,-0.0,follow,12.25,42.87,7.8
32.5,30.1,-0.0,follow,14.09,41.03,8.2
32.6,30.1,-0.0,follow,14.82,40.3,6.78
32.7,30.1,-0.0,follow,14.97,40.15,8.36
32.8,30.1,-0.0,follow,14.61,40.51,7.32
32.9,30.1,-0.0,follow,16.77,38.35,7.23
33.0,30.1,-0.0,follow,16.07,39.05,7.06
33.1,30.1,-0.0,follow,17.93,37.19,10.07
33.2,30.1,-0.0,follow,15.69,39.43,7.74
33.3,30.1,-0.0,follow,15.59,39.53,6.73
33.4,30.1,-0.0,follow,17.07,38.05,8.53
33.5,30.1,-0.0,follow,14.85,40.27,6.71
33.6,30.1,-0.0,follow,18.23,36.89,7.49
33.7,30.1,-0.0,follow,18.64,36.48,5.57
33.8,30.1,-0.0,follow,16.83,38.29,6.3
33.9,30.1,-0.0,follow,16.02,39.1,7.93
34.0,30.1,-0.0,follow,15.41,39.71,8.76
34.1,30.1,-0.0,follow,17.94,37.18,7.51
34.2,30.1,-0.0,follow,16.29,38.83,7.51
34.3,30.1,-0.0,follow,17.63,37.49,7.06
34.4,30.1,-0.0,follow,17.85,37.27,6.02
34.5,30.1,-0.0,follow,16.73,38.39,6.83
34.6,30.1,-0.0,follow,17.04,38.08,7.01
34.7,30.1,-0.0,follow,19.57,35.55,8.28
34.8,30.1,-0.0,follow,16.19,38.93,8.07
34.9,30.1,-0.0,follow,16.32,38.8,6.06
35.0,30.1,-0.0,follow,18.57,36.55,7.55
35.1,30.1,-0.0,follow,17.43,37.69,7.02
35.2,30.1,-0.0,follow,17.32,37.8,6.76
35.3,30.1,-0.0,follow,17.58,37.54,8.12
35.4,30.1,-0.0,follow,18.48,36.64,8.5
35.5,30.1,-0.0,follow,18.62,36.5,8.33
35.6,30.1,-0.0,follow,17.9,37.22,6.52
35.7,30.1,-0.0,follow,16.56,38.56,7.26
35.8,30.1,-0.0,follow,17.26,37.86,7.84
35.9,30.1,-0.0,follow,18.28,36.84,8.47
36.0,30.1,-0.0,follow,17.01,38.11,7.01
36.1,30.1,-0.0,follow,21.05,34.07,6.53
36.2,30.1,-0.0,follow,16.59,38.53,6.52
36.3,30.1,-0.0,follow,19.81,35.31,5.9
36.4,30.1,-0.0,follow,18.28,36.84,8.24
36.5,30.1,-0.0,follow,19.12,36.0,8.87
36.6,30.1,-0.0,follow,19.32,35.8,6.98
36.7,30.1,-0.0,follow,16.57,38.55,8.9
36.8,30.1,-0.0,follow,18.39,36.73,7.64
36.9,30.1,-0.0,follow,17.48,37.64,6.77
37.0,30.1,-0.0,follow,17.92,37.2,7.73
37.1,30.1,-0.0,follow,17.34,37.78,9.62
37.2,30.1,-0.0,follow,17.78,37.34,7.31
37.3,30.1,-0.0,follow,19.3,35.82,9.16
37.4,30.1,-0.0,follow,16.76,38.36,5.45
37.5,30.1,-0.0,follow,18.42,36.7,8.23
37.6,30.1,-0.0,follow,19.61,35.51,7.09
37.7,30.1,-0.0,follow,18.35,36.77,6.94
