time,ego_speed,acceleration_cmd,mode,distance_error,distance,ttc
0.0,0.30,3.00,cruise,,,
0.1,0.60,3.00,cruise,,,
0.2,0.90,3.00,cruise,,,
0.3,1.20,3.00,cruise,,,
0.4,1.50,3.00,cruise,,,
0.5,1.80,3.00,cruise,,,
0.6,2.10,3.00,cruise,,,
0.7,2.40,3.00,cruise,,,
0.8,2.70,3.00,cruise,,,
0.9,3.00,3.00,cruise,,,
1.0,3.30,3.00,cruise,,,
1.1,3.60,3.00,cruise,,,
1.2,3.90,3.00,cruise,,,
1.3,4.20,3.00,cruise,,,
1.4,4.50,3.00,cruise,,,
1.5,4.80,3.00,cruise,,,
1.6,5.10,3.00,cruise,,,
1.7,5.40,3.00,cruise,,,
1.8,5.70,3.00,cruise,,,
1.9,6.00,3.00,cruise,,,
2.0,6.30,3.00,cruise,,,
2.1,6.60,3.00,cruise,,,
2.2,6.90,3.00,cruise,,,
2.3,7.20,3.00,cruise,,,
2.4,7.50,3.00,cruise,,,
2.5,7.80,3.00,cruise,,,
2.6,8.10,3.00,cruise,,,
2.7,8.40,3.00,cruise,,,
2.8,8.70,3.00,cruise,,,
2.9,9.00,3.00,cruise,,,
3.0,9.30,3.00,cruise,,,
3.1,9.60,3.00,cruise,,,
3.2,9.90,3.00,cruise,,,
3.3,10.20,3.00,cruise,,,
3.4,10.50,3.00,cruise,,,
3.5,10.80,3.00,cruise,,,
3.6,11.10,3.00,cruise,,,
3.7,11.40,3.00,cruise,,,
3.8,11.70,3.00,cruise,,,
3.9,12.00,3.00,cruise,,,
4.0,12.30,3.00,cruise,,,
4.1,12.60,3.00,cruise,,,
4.2,12.90,3.00,cruise,,,
4.3,13.20,3.00,cruise,,,
4.4,13.50,3.00,cruise,,,
4.5,13.80,3.00,cruise,,,
4.6,14.10,3.00,cruise,,,
4.7,14.40,3.00,cruise,,,
4.8,14.70,3.00,cruise,,,
4.9,15.00,3.00,cruise,,,
5.0,15.30,3.00,cruise,,,
5.1,15.60,3.00,cruise,,,
5.2,15.90,3.00,cruise,,,
5.3,16.20,3.00,cruise,,,
5.4,16.50,3.00,cruise,,,
5.5,16.80,3.00,cruise,,,
5.6,17.10,3.00,cruise,,,
5.7,17.40,3.00,cruise,,,
5.8,17.70,3.00,cruise,,,
5.9,18.00,3.00,cruise,,,
6.0,18.30,3.00,cruise,,,
6.1,18.60,3.00,cruise,,,
