New Terminal Output:
1 [None, 'Gold, Fixing Committee of the London Bullion Market Association, London 3 PM fixed price, US$ per troy ounce', 'Monthly log return', '3-month volatility', '12-month volatility']
2 ['1990M1', None, None, None, None]
3 ['1990M2', None, None, None, None]
4 ['1990M3', None, None, None, None]
5 ['1990M4', None, None, None, None]
6 ['1990M5', None, None, None, None]
7 ['1990M6', None, None, None, None]
8 ['1990M7', None, None, None, None]
9 ['1990M8', None, None, None, None]
10 ['1990M9', None, None, None, None]
--- Answer sheet first 15 rows
1 [None, 'STEP 1']
2 [None, None]
3 [None, 'Z-score (95% one-sided)']
4 [None, '3-month volatility']
5 [None, '3-month volatility annualized']
6 [None, '12-month volatility']
7 [None, None]
8 [None, None]
9 [None, 'STEP 2']
10 [None, None]
11 [None, 'Country']
12 [None, 'Gold reserves \n(in millions of USD)']
13 [None, 'Gold valuation exposure (95% one-sided shock)']
14 [None, None]
15 [None, None]
