New Terminal Output:
1: time,ego_speed,acceleration_cmd,mode,distance_error,distance,ttc
919: 91.7,60.24,3.0,follow,20.15,79.75,3.15
920: 91.8,60.54,3.0,follow,19.39,80.96,3.12
921: 91.9,60.84,3.0,follow,15.54,85.26,3.21
922: 92.0,61.14,3.0,follow,18.15,83.1,2.97
923: 92.1,60.34,-8.0,emergency,,79.63,3.07
924: 92.2,60.64,3.0,follow,14.57,85.93,3.46
925: 92.3,60.94,3.0,follow,18.62,82.33,3.2
926: 92.4,61.24,3.0,follow,12.27,89.13,3.45
927: 92.5,61.54,3.0,follow,14.33,87.52,3.09
928: 92.6,60.74,-8.0,emergency,,84.01,3.0
929: 92.7,61.04,3.0,follow,12.29,88.81,3.23
930: 92.8,61.34,3.0,follow,15.5,86.05,3.11
931: 92.9,61.64,3.0,follow,13.55,88.45,3.28
932: 93.0,60.84,-8.0,emergency,,87.86,3.03
933: 93.1,61.14,3.0,follow,16.51,84.74,3.24
934: 93.2,61.44,3.0,follow,16.1,85.6,3.04
935: 93.3,61.74,3.0,follow,11.81,90.34,3.14
936: 93.4,60.94,-8.0,emergency,,87.09,3.04
937: 93.5,60.14,-8.0,emergency,,87.23,3.06
