time,ego_speed,acceleration_cmd,mode,distance_error,distance,ttc
0.0,0.3,3.0,cruise,,,
0.1,0.45,1.48,cruise,,,
0.2,0.6,1.54,cruise,,,
0.3,0.76,1.56,cruise,,,
0.4,0.92,1.58,cruise,,,
0.5,1.08,1.6,cruise,,,
0.6,1.24,1.62,cruise,,,
0.7,1.4,1.64,cruise,,,
0.8,1.57,1.66,cruise,,,
0.9,1.74,1.68,cruise,,,
1.0,1.91,1.7,cruise,,,
1.1,2.08,1.72,cruise,,,
1.2,2.25,1.74,cruise,,,
1.3,2.43,1.76,cruise,,,
1.4,2.6,1.77,cruise,,,
1.5,2.78,1.79,cruise,,,
1.6,2.97,1.81,cruise,,,
1.7,3.15,1.83,cruise,,,
1.8,3.33,1.85,cruise,,,
1.9,3.52,1.86,cruise,,,
2.0,3.71,1.88,cruise,,,
2.1,3.9,1.9,cruise,,,
2.2,4.09,1.91,cruise,,,
2.3,4.28,1.93,cruise,,,
2.4,4.47,1.94,cruise,,,
2.5,4.67,1.96,cruise,,,
2.6,4.87,1.98,cruise,,,
2.7,5.07,1.99,cruise,,,
2.8,5.27,2.0,cruise,,,
2.9,5.47,2.02,cruise,,,
3.0,5.67,2.03,cruise,,,
3.1,5.88,2.05,cruise,,,
3.2,6.08,2.06,cruise,,,
3.3,6.29,2.07,cruise,,,
3.4,6.5,2.09,cruise,,,
3.5,6.71,2.1,cruise,,,
3.6,6.92,2.11,cruise,,,
3.7,7.13,2.12,cruise,,,
3.8,7.35,2.14,cruise,,,
3.9,7.56,2.15,cruise,,,
4.0,7.78,2.16,cruise,,,
4.1,8.0,2.17,cruise,,,
4.2,8.21,2.18,cruise,,,
4.3,8.43,2.19,cruise,,,
4.4,8.65,2.2,cruise,,,
4.5,8.87,2.21,cruise,,,
4.6,9.1,2.22,cruise,,,
4.7,9.32,2.23,cruise,,,
4.8,9.54,2.24,cruise,,,
4.9,9.77,2.25,cruise,,,
5.0,10.0,2.26,cruise,,,
5.1,10.22,2.27,cruise,,,
5.2,10.45,2.28,cruise,,,
5.3,10.68,2.28,cruise,,,
5.4,10.91,2.29,cruise,,,
5.5,11.14,2.3,cruise,,,
5.6,11.37,2.31,cruise,,,
5.7,11.6,2.31,cruise,,,
5.8,11.83,2.32,cruise,,,
5.9,12.06,2.33,cruise,,,
6.0,12.3,2.33,cruise,,,
6.1,12.53,2.34,cruise,,,
6.2,12.77,2.34,cruise,,,
6.3,13.0,2.35,cruise,,,
6.4,13.24,2.36,cruise,,,
6.5,13.47,2.36,cruise,,,
6.6,13.71,2.36,cruise,,,
6.7,13.95,2.37,cruise,,,
6.8,14.18,2.37,cruise,,,
6.9,14.42,2.38,cruise,,,
7.0,14.66,2.38,cruise,,,
7.1,14.9,2.38,cruise,,,
7.2,15.14,2.39,cruise,,,
7.3,15.38,2.39,cruise,,,
7.4,15.61,2.39,cruise,,,
7.5,15.85,2.4,cruise,,,
7.6,16.09,2.4,cruise,,,
7.7,16.33,2.4,cruise,,,
7.8,16.57,2.4,cruise,,,
7.9,16.81,2.4,cruise,,,
8.0,17.05,2.4,cruise,,,
8.1,17.3,2.4,cruise,,,
8.2,17.54,2.4,cruise,,,
8.3,17.78,2.41,cruise,,,
8.4,18.02,2.41,cruise,,,
8.5,18.26,2.41,cruise,,,
8.6,18.5,2.41,cruise,,,
8.7,18.74,2.4,cruise,,,
8.8,18.98,2.4,cruise,,,
8.9,19.22,2.4,cruise,,,
9.0,19.46,2.4,cruise,,,
9.1,19.7,2.4,cruise,,,
9.2,19.94,2.4,cruise,,,
9.3,20.18,2.4,cruise,,,
9.4,20.42,2.39,cruise,,,
9.5,20.66,2.39,cruise,,,
