time,ego_speed,acceleration_cmd,mode,distance_error,distance,ttc
0.0,0.3,3.00,cruise,,,
0.1,0.5,3.00,cruise,,,
0.2,0.7,3.00,cruise,,,
0.3,0.9,3.00,cruise,,,
0.4,1.1,3.00,cruise,,,
0.5,1.3,3.00,cruise,,,
0.6,1.5,3.00,cruise,,,
0.7,1.7,3.00,cruise,,,
0.8,1.9,3.00,cruise,,,
0.9,2.1,3.00,cruise,,,
1.0,2.3,3.00,cruise,,,
1.1,2.5,3.00,cruise,,,
1.2,2.7,3.00,cruise,,,
1.3,2.9,3.00,cruise,,,
1.4,3.1,3.00,cruise,,,
1.5,3.3,3.00,cruise,,,
1.6,3.5,3.00,cruise,,,
1.7,3.7,3.00,cruise,,,
1.8,3.9,3.00,cruise,,,
1.9,4.1,3.00,cruise,,,
2.0,4.3,3.00,cruise,,,
2.1,4.5,3.00,cruise,,,
2.2,4.7,3.00,cruise,,,
2.3,4.9,3.00,cruise,,,
2.4,5.1,3.00,cruise,,,
2.5,5.3,3.00,cruise,,,
2.6,5.5,3.00,cruise,,,
2.7,5.7,3.00,cruise,,,
2.8,5.9,3.00,cruise,,,
2.9,6.1,3.00,cruise,,,
3.0,6.3,3.00,cruise,,,
3.1,6.5,3.00,cruise,,,
3.2,6.7,3.00,cruise,,,
3.3,6.9,3.00,cruise,,,
3.4,7.1,3.00,cruise,,,
3.5,7.3,3.00,cruise,,,
3.6,7.5,3.00,cruise,,,
3.7,7.7,3.00,cruise,,,
3.8,7.9,3.00,cruise,,,
3.9,8.1,3.00,cruise,,,
4.0,8.3,3.00,cruise,,,
4.1,8.5,3.00,cruise,,,
4.2,8.7,3.00,cruise,,,
4.3,8.9,3.00,cruise,,,
4.4,9.1,3.00,cruise,,,
4.5,9.3,3.00,cruise,,,
4.6,9.5,3.00,cruise,,,
4.7,9.7,3.00,cruise,,,
4.8,9.9,3.00,cruise,,,
4.9,10.1,3.00,cruise,,,
5.0,10.3,3.00,cruise,,,
5.1,10.5,3.00,cruise,,,
5.2,10.7,3.00,cruise,,,
5.3,10.9,3.00,cruise,,,
5.4,11.1,3.00,cruise,,,
5.5,11.3,3.00,cruise,,,
5.6,11.5,3.00,cruise,,,
5.7,11.7,3.00,cruise,,,
5.8,11.9,3.00,cruise,,,
5.9,12.1,3.00,cruise,,,
6.0,12.3,3.00,cruise,,,
6.1,12.5,3.00,cruise,,,
6.2,12.7,3.00,cruise,,,
6.3,12.9,3.00,cruise,,,
6.4,13.1,3.00,cruise,,,
6.5,13.3,3.00,cruise,,,
6.6,13.5,3.00,cruise,,,
6.7,13.7,3.00,cruise,,,
6.8,13.9,3.00,cruise,,,
6.9,14.1,3.00,cruise,,,
7.0,14.3,3.00,cruise,,,
7.1,14.5,3.00,cruise,,,
