New Terminal Output:
=== CPI.xlsx ===
Sheet names: ['Sheet1']
Shape: (53, 2)
First 20 rows:
       0         1
0   Year  CPI_2024
1   1973  0.141542
2   1974  0.157189
3   1975  0.171561
4   1976  0.181417
5   1977  0.193212
6   1978  0.207956
7   1979   0.23136
8   1980  0.262707
9   1981  0.289857
10  1982   0.30763
11  1983  0.317512
12  1984  0.331167
13  1985  0.342909
14  1986  0.349417
15  1987  0.362222
16  1988  0.376992
17  1989   0.39519
18  1990  0.416522
19  1991  0.434162

Last 20 rows:
       0         1
33  2005  0.622565
34  2006  0.642649
35  2007  0.660981
36  2008  0.686357
37  2009  0.683917
38  2010  0.695133
39  2011  0.717077
40  2012  0.731916
41  2013  0.742637
42  2014  0.754685
43  2015   0.75558
44  2016  0.765112
45  2017   0.78141
46  2018  0.800497
47  2019  0.815003
48  2020  0.825057
49  2021  0.863817
50  2022  0.932947
51  2023   0.97135
52  2024         1
