time,ego_speed,acceleration_cmd,mode,distance_error,distance,ttc
0.0,0.3,3.0,cruise,,,
0.1,0.6,3.0,cruise,,,
0.2,0.9,3.0,cruise,,,
0.3,1.2,3.0,cruise,,,
0.4,1.5,3.0,cruise,,,
0.5,1.8,3.0,cruise,,,
0.6,2.1,3.0,cruise,,,
0.7,2.4,3.0,cruise,,,
0.8,2.7,3.0,cruise,,,
0.9,3.0,3.0,cruise,,,
1.0,3.3,3.0,cruise,,,
1.1,3.6,3.0,cruise,,,
1.2,3.9,3.0,cruise,,,
1.3,4.2,3.0,cruise,,,
1.4,4.5,3.0,cruise,,,
1.5,4.8,3.0,cruise,,,
1.6,5.1,3.0,cruise,,,
1.7,5.4,3.0,cruise,,,
1.8,5.7,3.0,cruise,,,
1.9,6.0,3.0,cruise,,,
2.0,6.3,3.0,cruise,,,
2.1,6.6,3.0,cruise,,,
2.2,6.9,3.0,cruise,,,
2.3,7.2,3.0,cruise,,,
2.4,7.5,3.0,cruise,,,
2.5,7.8,3.0,cruise,,,
2.6,8.1,3.0,cruise,,,
2.7,8.4,3.0,cruise,,,
2.8,8.7,3.0,cruise,,,
2.9,9.0,3.0,cruise,,,
3.0,9.3,3.0,cruise,,,
3.1,9.6,3.0,cruise,,,
3.2,9.9,3.0,cruise,,,
3.3,10.2,3.0,cruise,,,
3.4,10.5,3.0,cruise,,,
3.5,10.8,3.0,cruise,,,
3.6,11.1,3.0,cruise,,,
3.7,11.4,3.0,cruise,,,
3.8,11.7,3.0,cruise,,,
3.9,12.0,3.0,cruise,,,
4.0,12.3,3.0,cruise,,,
4.1,12.6,3.0,cruise,,,
4.2,12.9,3.0,cruise,,,
4.3,13.2,3.0,cruise,,,
4.4,13.5,3.0,cruise,,,
4.5,13.8,3.0,cruise,,,
4.6,14.1,3.0,cruise,,,
4.7,14.4,3.0,cruise,,,
4.8,14.7,3.0,cruise,,,
4.9,15.0,3.0,cruise,,,
5.0,15.3,3.0,cruise,,,
5.1,15.6,3.0,cruise,,,
5.2,15.9,3.0,cruise,,,
5.3,16.2,3.0,cruise,,,
5.4,16.5,3.0,cruise,,,
5.5,16.8,3.0,cruise,,,
5.6,17.1,3.0,cruise,,,
5.7,17.4,3.0,cruise,,,
5.8,17.7,3.0,cruise,,,
5.9,18.0,3.0,cruise,,,
6.0,18.3,3.0,cruise,,,
6.1,18.6,3.0,cruise,,,
6.2,18.9,3.0,cruise,,,
6.3,19.2,3.0,cruise,,,
6.4,19.5,3.0,cruise,,,
6.5,19.8,3.0,cruise,,,
6.6,20.1,3.0,cruise,,,
6.7,20.4,3.0,cruise,,,
6.8,20.7,3.0,cruise,,,
6.9,21.0,3.0,cruise,,,
7.0,21.3,3.0,cruise,,,
7.1,21.6,3.0,cruise,,,
7.2,21.9,3.0,cruise,,,
7.3,22.2,3.0,cruise,,,
7.4,22.5,3.0,cruise,,,
7.5,22.8,3.0,cruise,,,
7.6,23.1,3.0,cruise,,,
7.7,23.4,3.0,cruise,,,
7.8,23.7,3.0,cruise,,,
7.9,24.0,3.0,cruise,,,
8.0,24.3,3.0,cruise,,,
8.1,24.6,3.0,cruise,,,
8.2,24.9,3.0,cruise,,,
8.3,25.2,3.0,cruise,,,
8.4,25.5,3.0,cruise,,,
8.5,25.8,3.0,cruise,,,
8.6,26.1,3.0,cruise,,,
8.7,26.4,3.0,cruise,,,
8.8,26.7,3.0,cruise,,,
8.9,27.0,3.0,cruise,,,
9.0,27.3,3.0,cruise,,,
9.1,27.6,3.0,cruise,,,
9.2,27.9,3.0,cruise,,,
9.3,28.2,3.0,cruise,,,
9.4,28.5,3.0,cruise,,,
9.5,28.8,2.9,cruise,,,
9.6,29.1,2.8,cruise,,,
9.7,29.3,2.7,cruise,,,
9.8,29.6,2.6,cruise,,,
9.9,29.9,2.5,cruise,,,
10.0,30.1,2.5,cruise,,,
10.1,30.3,2.4,cruise,,,
10.2,30.6,2.3,cruise,,,
10.3,30.8,2.2,cruise,,,
10.4,31.0,2.2,cruise,,,
10.5,31.2,2.1,cruise,,,
10.6,31.4,2.0,cruise,,,
10.7,31.6,2.0,cruise,,,
10.8,31.8,1.9,cruise,,,
10.9,32.0,1.8,cruise,,,
11.0,32.2,1.8,cruise,,,
11.1,32.3,1.7,cruise,,,
11.2,32.5,1.6,cruise,,,
11.3,32.6,1.6,cruise,,,
11.4,32.8,1.5,cruise,,,
11.5,33.0,1.5,cruise,,,
11.6,33.1,1.4,cruise,,,
11.7,33.2,1.4,cruise,,,
11.8,33.4,1.3,cruise,,,
11.9,33.5,1.3,cruise,,,
12.0,33.6,1.2,cruise,,,
12.1,33.7,1.2,cruise,,,
12.2,33.8,1.1,cruise,,,
12.3,34.0,1.1,cruise,,,
12.4,34.1,1.1,cruise,,,
12.5,34.2,1.0,cruise,,,
12.6,34.3,1.0,cruise,,,
12.7,34.4,0.9,cruise,,,
12.8,34.5,0.9,cruise,,,
12.9,34.5,0.9,cruise,,,
13.0,34.6,0.8,cruise,,,
13.1,34.7,0.8,cruise,,,
13.2,34.8,0.8,cruise,,,
13.3,34.9,0.7,cruise,,,
13.4,34.9,0.7,cruise,,,
13.5,35.0,0.7,cruise,,,
13.6,35.1,0.6,cruise,,,
13.7,35.1,0.6,cruise,,,
13.8,35.2,0.6,cruise,,,
13.9,35.2,0.6,cruise,,,
14.0,35.3,0.5,cruise,,,
14.1,35.3,0.5,cruise,,,
14.2,35.4,0.5,cruise,,,
14.3,35.4,0.5,cruise,,,
14.4,35.5,0.4,cruise,,,
14.5,35.5,0.4,cruise,,,
14.6,35.6,0.4,cruise,,,
14.7,35.6,0.4,cruise,,,
14.8,35.6,0.4,cruise,,,
14.9,35.7,0.3,cruise,,,
15.0,35.7,0.3,cruise,,,
15.1,35.7,0.3,cruise,,,
15.2,35.8,0.3,cruise,,,
15.3,35.8,0.3,cruise,,,
15.4,35.8,0.2,cruise,,,
15.5,35.8,0.2,cruise,,,
15.6,35.8,0.2,cruise,,,
15.7,35.9,0.2,cruise,,,
15.8,35.9,0.2,cruise,,,
15.9,35.9,0.2,cruise,,,
16.0,35.9,0.1,cruise,,,
16.1,35.9,0.1,cruise,,,
16.2,35.9,0.1,cruise,,,
16.3,35.9,0.1,cruise,,,
16.4,36.0,0.1,cruise,,,
16.5,36.0,0.1,cruise,,,
16.6,36.0,0.1,cruise,,,
16.7,36.0,0.1,cruise,,,
16.8,36.0,0.0,cruise,,,
16.9,36.0,0.0,cruise,,,
17.0,36.0,0.0,cruise,,,
17.1,36.0,0.0,cruise,,,
17.2,36.0,0.0,cruise,,,
17.3,36.0,-0.0,cruise,,,
17.4,36.0,-0.0,cruise,,,
17.5,36.0,-0.0,cruise,,,
17.6,36.0,-0.0,cruise,,,
17.7,36.0,-0.0,cruise,,,
17.8,36.0,-0.1,cruise,,,
17.9,36.0,-0.1,cruise,,,
18.0,36.0,-0.1,cruise,,,
18.1,36.0,-0.1,cruise,,,
18.2,35.9,-0.1,cruise,,,
18.3,35.9,-0.1,cruise,,,
18.4,35.9,-0.1,cruise,,,
18.5,35.9,-0.1,cruise,,,
18.6,35.9,-0.1,cruise,,,
18.7,35.9,-0.1,cruise,,,
18.8,35.9,-0.1,cruise,,,
18.9,35.9,-0.1,cruise,,,
19.0,35.9,-0.1,cruise,,,
19.1,35.8,-0.1,cruise,,,
19.2,35.8,-0.1,cruise,,,
19.3,35.8,-0.1,cruise,,,
19.4,35.8,-0.1,cruise,,,
19.5,35.8,-0.2,cruise,,,
19.6,35.8,-0.2,cruise,,,
19.7,35.8,-0.2,cruise,,,
19.8,35.7,-0.2,cruise,,,
19.9,35.7,-0.2,cruise,,,
20.0,35.7,-0.2,cruise,,,
20.1,35.7,-0.2,cruise,,,
20.2,35.7,-0.2,cruise,,,
20.3,35.6,-0.2,cruise,,,
20.4,35.6,-0.2,cruise,,,
20.5,35.6,-0.2,cruise,,,
20.6,35.6,-0.2,cruise,,,
20.7,35.6,-0.2,cruise,,,
20.8,35.6,-0.2,cruise,,,
20.9,35.5,-0.2,cruise,,,
21.0,35.5,-0.2,cruise,,,
21.1,35.5,-0.2,cruise,,,
21.2,35.5,-0.2,cruise,,,
21.3,35.4,-0.2,cruise,,,
21.4,35.4,-0.2,cruise,,,
21.5,35.4,-0.2,cruise,,,
21.6,35.4,-0.2,cruise,,,
21.7,35.4,-0.2,cruise,,,
21.8,35.3,-0.2,cruise,,,
21.9,35.3,-0.2,cruise,,,
22.0,35.3,-0.2,cruise,,,
22.1,35.3,-0.2,cruise,,,
22.2,35.3,-0.2,cruise,,,
22.3,35.2,-0.2,cruise,,,
22.4,35.2,-0.2,cruise,,,
22.5,35.2,-0.2,cruise,,,
22.6,35.2,-0.2,cruise,,,
22.7,35.1,-0.2,cruise,,,
22.8,35.1,-0.2,cruise,,,
22.9,35.1,-0.2,cruise,,,
23.0,35.1,-0.2,cruise,,,
23.1,35.0,-0.2,cruise,,,
23.2,35.0,-0.2,cruise,,,
23.3,35.0,-0.2,cruise,,,
23.4,35.0,-0.2,cruise,,,
23.5,35.0,-0.2,cruise,,,
23.6,34.9,-0.2,cruise,,,
23.7,34.9,-0.2,cruise,,,
23.8,34.9,-0.2,cruise,,,
23.9,34.9,-0.2,cruise,,,
24.0,34.8,-0.2,cruise,,,
24.1,34.8,-0.2,cruise,,,
24.2,34.8,-0.2,cruise,,,
24.3,34.8,-0.2,cruise,,,
24.4,34.7,-0.2,cruise,,,
24.5,34.7,-0.2,cruise,,,
24.6,34.7,-0.2,cruise,,,
24.7,34.7,-0.2,cruise,,,
24.8,34.6,-0.2,cruise,,,
24.9,34.6,-0.2,cruise,,,
25.0,34.6,-0.2,cruise,,,
25.1,34.6,-0.2,cruise,,,
25.2,34.6,-0.2,cruise,,,
25.3,34.5,-0.2,cruise,,,
25.4,34.5,-0.2,cruise,,,
25.5,34.5,-0.2,cruise,,,
25.6,34.5,-0.2,cruise,,,
25.7,34.4,-0.2,cruise,,,
25.8,34.4,-0.2,cruise,,,
25.9,34.4,-0.2,cruise,,,
26.0,34.4,-0.2,cruise,,,
26.1,34.3,-0.2,cruise,,,
26.2,34.3,-0.2,cruise,,,
26.3,34.3,-0.2,cruise,,,
26.4,34.3,-0.2,cruise,,,
26.5,34.2,-0.2,cruise,,,
26.6,34.2,-0.2,cruise,,,
26.7,34.2,-0.2,cruise,,,
26.8,34.2,-0.2,cruise,,,
26.9,34.2,-0.2,cruise,,,
27.0,34.1,-0.2,cruise,,,
27.1,34.1,-0.2,cruise,,,
27.2,34.1,-0.2,cruise,,,
27.3,34.1,-0.2,cruise,,,
27.4,34.0,-0.2,cruise,,,
27.5,34.0,-0.2,cruise,,,
27.6,34.0,-0.2,cruise,,,
27.7,34.0,-0.2,cruise,,,
27.8,34.0,-0.2,cruise,,,
27.9,33.9,-0.2,cruise,,,
28.0,33.9,-0.2,cruise,,,
28.1,33.9,-0.2,cruise,,,
28.2,33.9,-0.2,cruise,,,
28.3,33.8,-0.2,cruise,,,
28.4,33.8,-0.2,cruise,,,
28.5,33.8,-0.2,cruise,,,
28.6,33.8,-0.2,cruise,,,
28.7,33.8,-0.2,cruise,,,
28.8,33.7,-0.2,cruise,,,
28.9,33.7,-0.2,cruise,,,
29.0,33.7,-0.2,cruise,,,
29.1,33.7,-0.2,cruise,,,
29.2,33.7,-0.2,cruise,,,
29.3,33.6,-0.2,cruise,,,
29.4,33.6,-0.2,cruise,,,
29.5,33.6,-0.2,cruise,,,
29.6,33.6,-0.2,cruise,,,
29.7,33.5,-0.2,cruise,,,
29.8,33.5,-0.2,cruise,,,
29.9,33.5,-0.2,cruise,,,
30.0,33.6,0.4,follow,8.16,52.10,6.40
30.1,33.6,0.5,follow,9.46,50.87,5.88
30.2,33.8,2.2,follow,11.30,49.10,6.06
30.3,34.0,2.3,follow,13.13,47.59,6.20
30.4,33.9,-1.8,follow,12.00,49.07,5.32
30.5,34.0,1.1,follow,12.64,48.16,5.32
30.6,34.2,1.9,follow,12.55,48.42,6.21
30.7,34.2,0.6,follow,13.66,47.60,5.54
30.8,34.2,-0.5,follow,13.61,47.74,4.98
30.9,34.5,3.0,follow,16.16,45.12,5.14
31.0,34.3,-1.4,follow,14.48,47.25,4.80
31.1,34.5,2.0,follow,16.19,45.32,4.68
31.2,34.5,-0.1,follow,14.38,47.44,5.07
31.3,34.7,1.8,follow,18.45,43.36,3.95
31.4,34.6,-1.0,follow,15.87,46.20,4.20
31.5,34.9,3.0,follow,18.12,43.81,4.36
31.6,35.1,1.7,follow,20.02,42.36,3.97
31.7,35.3,2.4,follow,20.39,42.24,4.29
31.8,35.4,0.4,follow,20.87,42.12,3.83
31.9,35.4,0.3,follow,20.30,42.75,3.74
32.0,35.7,3.0,follow,20.54,42.56,4.58
32.1,35.8,1.2,follow,22.67,40.88,3.76
32.2,36.0,1.4,follow,22.45,41.28,3.83
32.3,35.8,-1.6,follow,20.27,43.67,3.63
32.4,36.0,2.4,follow,20.84,42.87,3.82
32.5,36.3,3.0,follow,23.04,41.03,3.74
32.6,36.4,0.9,follow,24.22,40.30,3.30
32.7,36.7,2.9,follow,24.51,40.15,3.60
32.8,36.8,0.6,follow,24.58,40.51,3.33
32.9,37.1,3.0,follow,26.83,38.35,3.19
33.0,37.2,1.0,follow,26.58,39.05,3.12
33.1,37.5,3.0,follow,28.59,37.19,3.44
33.2,37.4,-1.0,follow,26.80,39.43,3.15
33.3,36.6,-8.0,emergency,29.53,39.53,3.00
33.4,36.9,3.0,follow,26.83,38.05,3.47
33.5,36.8,-1.4,follow,25.06,40.27,3.14
33.6,37.1,3.0,follow,28.24,36.89,3.18
33.7,36.3,-8.0,emergency,26.48,36.48,2.70
33.8,36.2,-0.2,follow,26.09,38.29,3.13
33.9,36.5,2.5,follow,25.25,39.10,3.53
34.0,36.7,1.9,follow,25.02,39.71,3.63
34.1,37.0,3.0,follow,27.83,37.18,3.22
34.2,37.0,0.6,follow,26.63,38.83,3.22
34.3,37.3,2.7,follow,28.06,37.49,3.06
34.4,36.5,-8.0,emergency,27.27,37.27,2.78
34.5,36.6,1.1,follow,26.36,38.39,3.19
34.6,36.8,2.3,follow,26.83,38.08,3.18
34.7,37.1,3.0,follow,29.71,35.55,3.22
34.8,37.1,-0.6,follow,26.78,38.93,3.28
34.9,36.3,-8.0,emergency,28.80,38.80,2.90
35.0,36.6,3.0,follow,27.87,36.55,3.31
35.1,36.7,0.8,follow,27.18,37.69,3.18
35.2,36.8,1.7,follow,27.18,37.80,3.11
35.3,37.1,3.0,follow,27.70,37.54,3.30
35.4,37.4,3.0,follow,29.05,36.64,3.23
35.5,37.7,2.4,follow,29.64,36.50,3.11
35.6,36.9,-8.0,emergency,27.22,37.22,2.80
35.7,36.8,-0.1,follow,26.73,38.56,3.19
35.8,37.1,3.0,follow,27.41,37.86,3.26
35.9,37.4,3.0,follow,28.88,36.84,3.23
36.0,36.6,-8.0,emergency,28.11,38.11,2.98
36.1,35.8,-8.0,emergency,24.07,34.07,2.89
36.2,35.8,-0.6,follow,25.24,38.53,3.30
36.3,36.1,3.0,follow,28.38,35.31,3.02
36.4,36.4,2.9,follow,27.30,36.84,3.52
36.5,36.7,3.0,follow,28.57,36.00,3.47
36.6,36.8,1.4,follow,29.22,35.80,3.05
36.7,37.0,1.3,follow,26.68,38.55,3.48
36.8,37.2,2.9,follow,28.70,36.73,3.14
36.9,36.4,-8.0,emergency,27.64,37.64,2.96
37.0,36.7,2.1,follow,27.47,37.20,3.33
37.1,36.9,2.9,follow,27.20,37.78,3.60
37.2,37.1,1.3,follow,28.07,37.34,3.12
37.3,37.4,3.0,follow,29.79,35.82,3.29
37.4,36.6,-8.0,emergency,28.36,38.36,2.68
37.5,36.7,1.4,follow,28.16,36.70,3.35
37.6,37.0,2.7,follow,29.56,35.51,3.05
37.7,37.1,1.2,follow,28.69,36.77,3.01
37.8,37.2,1.1,follow,26.72,38.93,3.24
37.9,36.4,-8.0,emergency,28.20,38.20,2.79
