Previous response had warnings:
WARNINGS: - Extra text detected before JSON object
- Extra text detected after JSON object

New Terminal Output:

root@5872ab224e04:~# grep -n '[0-9]$' sensor_data.csv | head -30
302:30.0,30.0,25.37,52.1
303:30.1,29.9,24.9,50.87
304:30.2,29.8,25.49,49.1
305:30.3,29.7,26.14,47.59
306:30.4,29.6,24.82,49.07
307:30.5,29.5,24.82,48.16
308:30.6,29.4,26.18,48.42
309:30.7,29.3,25.58,47.6
310:30.8,29.2,24.65,47.74
311:30.9,29.1,25.41,45.12
312:31.0,29.0,24.65,47.25
313:31.1,28.9,24.65,45.32
314:31.2,28.8,25.18,47.44
315:31.3,28.7,23.57,43.36
316:31.4,28.6,23.71,46.2
317:31.5,28.5,24.58,43.81
318:31.6,28.4,24.24,42.36
319:31.7,28.3,25.24,42.24
320:31.8,28.2,24.32,42.12
321:31.9,28.1,23.94,42.75
322:32.0,28.0,26.1,42.56
323:32.1,27.9,24.83,40.88
324:32.2,27.8,25.05,41.28
325:32.3,27.7,23.93,43.67
326:32.4,27.6,24.59,42.87
327:32.5,27.5,25.08,41.03
328:32.6,27.4,24.14,40.3
329:32.7,27.3,25.28,40.15
330:32.8,27.2,24.55,40.51
331:32.9,27.1,24.78,38.35
root@5872ab224e04:~# tail -30 sensor_data.csv
147.1,30.0,,
147.2,30.0,,
147.3,30.0,,
147.4,30.0,,
147.5,30.0,,
147.6,30.0,,
147.7,30.0,,
147.8,30.0,,
147.9,30.0,,
148.0,30.0,,
148.1,30.0,,
148.2,30.0,,
148.3,30.0,,
148.4,30.0,,
148.5,30.0,,
148.6,30.0,,
148.7,30.0,,
148.8,30.0,,
148.9,30.0,,
149.0,30.0,,
149.1,30.0,,
149.2,30.0,,
149.3,30.0,,
149.4,30.0,,
149.5,30.0,,
149.6,30.0,,
149.7,30.0,,
149.8,30.0,,
149.9,30.0,,
150.0,30.0,,
root@5872ab224e04:~# awk -F',' 'NR>1 && $3!="" {print NR": "$0; count++} count>=10{exit}' sensor_data.csv
302: 30.0,30.0,25.37,52.1
303: 30.1,29.9,24.9,50.87
304: 30.2,29.8,25.49,49.1
305: 30.3,29.7,26.14,47.59
306: 30.4,29.6,24.82,49.07
307: 30.5,29.5,24.82,48.16
308: 30.6,29.4,26.18,48.42
309: 30.7,29.3,25.58,47.6
310: 30.8,29.2,24.65,47.74
311: 30.9,29.1,25.41,45.12
root@5872ab224e04:~#
