New Terminal Output:

root@b544bb5f2e92:~# python3 -c "import pandas as pd; df=pd.read_csv('simulation_results.csv'); print(df.iloc[400:420])"
     time  ego_speed  acceleration_cmd    mode  distance_error  distance  ttc
400  40.0      14.22               3.0  follow            7.03     38.37  NaN
401  40.1      14.52              -8.0  follow            2.22     34.01  NaN
402  40.2      13.72               3.0  follow            8.99     39.58  NaN
403  40.3      14.02              -8.0  follow            6.05     37.09  NaN
404  40.4      13.22               3.0  follow            8.65     38.49  NaN
405  40.5      13.52              -8.0  follow            5.80     36.09  NaN
406  40.6      12.72               3.0  follow            8.84     37.93  NaN
407  40.7      13.02              -8.0  follow            6.53     36.07  NaN
408  40.8      12.22               3.0  follow            8.21     36.55  NaN
409  40.9      12.52               3.0  follow           10.60     39.39  NaN
410  41.0      12.82              -8.0  follow            7.80     37.04  NaN
411  41.1      12.02               3.0  follow            9.45     37.49  NaN
412  41.2      12.32               3.0  follow            9.73     38.22  NaN
413  41.3      12.62               3.0  follow            8.86     37.80  NaN
414  41.4      12.92               3.0  follow            8.03     37.42  NaN
415  41.5      13.22               3.0  follow            7.82     37.66  NaN
416  41.6      13.52               3.0  follow            9.65     39.94  NaN
417  41.7      13.82              -8.0  follow            6.45     37.19  NaN
418  41.8      13.02               3.0  follow            7.93     37.47  NaN
419  41.9      13.32               3.0  follow            8.43     38.42  NaN
root@b544bb5f2e92:~# python3 -c "import pandas as pd; df=pd.read_csv('simulation_results.csv'); print(df.iloc[400:420])"

