time,ego_speed,acceleration_cmd,mode,distance_error,distance,ttc
0.0,0.3,3.0,cruise,,,
0.1,0.6,3.0,cruise,,,
0.2,0.9,3.0,cruise,,,
0.3,1.2,3.0,cruise,,,
0.4,1.5,3.0,cruise,,,
0.5,1.8,3.0,cruise,,,
0.6,2.1,3.0,cruise,,,
0.7,2.4,3.0,cruise,,,
0.8,2.7,3.0,cruise,,,
0.9,3.0,3.0,cruise,,,
1.0,3.3,3.0,cruise,,,
1.1,3.6,3.0,cruise,,,
1.2,3.9,3.0,cruise,,,
1.3,4.2,3.0,cruise,,,
1.4,4.5,3.0,cruise,,,
1.5,4.8,3.0,cruise,,,
1.6,5.1,3.0,cruise,,,
1.7,5.4,3.0,cruise,,,
1.8,5.7,3.0,cruise,,,
1.9,6.0,3.0,cruise,,,
2.0,6.3,3.0,cruise,,,
2.1,6.6,3.0,cruise,,,
2.2,6.9,3.0,cruise,,,
2.3,7.2,3.0,cruise,,,
2.4,7.5,3.0,cruise,,,
2.5,7.8,3.0,cruise,,,
2.6,8.1,3.0,cruise,,,
2.7,8.4,3.0,cruise,,,
2.8,8.7,3.0,cruise,,,
2.9,9.0,3.0,cruise,,,
3.0,9.3,3.0,cruise,,,
3.1,9.6,3.0,cruise,,,
3.2,9.9,3.0,cruise,,,
3.3,10.2,3.0,cruise,,,
3.4,10.5,3.0,cruise,,,
3.5,10.8,3.0,cruise,,,
3.6,11.1,3.0,cruise,,,
3.7,11.4,3.0,cruise,,,
3.8,11.7,3.0,cruise,,,
3.9,12.0,3.0,cruise,,,
4.0,12.3,3.0,cruise,,,
4.1,12.6,3.0,cruise,,,
4.2,12.9,3.0,cruise,,,
4.3,13.2,3.0,cruise,,,
4.4,13.5,3.0,cruise,,,
4.5,13.8,3.0,cruise,,,
4.6,14.1,3.0,cruise,,,
4.7,14.4,3.0,cruise,,,
4.8,14.7,3.0,cruise,,,
4.9,15.0,3.0,cruise,,,
5.0,15.3,3.0,cruise,,,
5.1,15.6,3.0,cruise,,,
5.2,15.9,3.0,cruise,,,
5.3,16.2,3.0,cruise,,,
5.4,16.5,3.0,cruise,,,
5.5,16.8,3.0,cruise,,,
5.6,17.1,3.0,cruise,,,
5.7,17.4,3.0,cruise,,,
5.8,17.7,3.0,cruise,,,
5.9,18.0,3.0,cruise,,,
6.0,18.3,3.0,cruise,,,
6.1,18.6,3.0,cruise,,,
6.2,18.9,3.0,cruise,,,
6.3,19.2,3.0,cruise,,,
6.4,19.5,3.0,cruise,,,
6.5,19.8,3.0,cruise,,,
6.6,20.1,3.0,cruise,,,
6.7,20.4,3.0,cruise,,,
6.8,20.7,3.0,cruise,,,
6.9,21.0,3.0,cruise,,,
7.0,21.3,3.0,cruise,,,
7.1,21.6,3.0,cruise,,,
7.2,21.9,3.0,cruise,,,
7.3,22.2,3.0,cruise,,,
7.4,22.5,3.0,cruise,,,
7.5,22.8,3.0,cruise,,,
7.6,23.1,3.0,cruise,,,
7.7,23.4,3.0,cruise,,,
7.8,23.7,3.0,cruise,,,
7.9,24.0,3.0,cruise,,,
8.0,24.3,3.0,cruise,,,
8.1,24.6,3.0,cruise,,,
8.2,24.9,3.0,cruise,,,
8.3,25.2,3.0,cruise,,,
8.4,25.5,3.0,cruise,,,
8.5,25.8,3.0,cruise,,,
8.6,26.1,3.0,cruise,,,
8.7,26.4,3.0,cruise,,,
8.8,26.7,3.0,cruise,,,
8.9,27.0,3.0,cruise,,,
9.0,27.3,3.0,cruise,,,
9.1,27.6,3.0,cruise,,,
9.2,27.9,3.0,cruise,,,
9.3,28.2,3.0,cruise,,,
9.4,28.5,3.0,cruise,,,
9.5,28.8,3.0,cruise,,,
9.6,29.1,3.0,cruise,,,
9.7,29.39,2.9,cruise,,,
9.8,29.531,1.41,cruise,,,
9.9,29.831,3.0,cruise,,,
10.0,29.682,-1.486,cruise,,,
10.1,29.982,3.0,cruise,,,
10.2,29.743,-2.394,cruise,,,
10.3,30.043,3.0,cruise,,,
10.4,29.767,-2.758,cruise,,,
10.5,30.067,3.0,cruise,,,
10.6,29.777,-2.903,cruise,,,
10.7,30.077,3.0,cruise,,,
10.8,29.781,-2.961,cruise,,,
10.9,30.081,3.0,cruise,,,
11.0,29.782,-2.985,cruise,,,
11.1,30.082,3.0,cruise,,,
11.2,29.783,-2.994,cruise,,,
11.3,30.083,3.0,cruise,,,
11.4,29.783,-2.998,cruise,,,
11.5,30.083,3.0,cruise,,,
11.6,29.783,-2.999,cruise,,,
11.7,30.083,3.0,cruise,,,
11.8,29.783,-3.0,cruise,,,
11.9,30.083,3.0,cruise,,,
12.0,29.783,-3.0,cruise,,,
12.1,30.083,3.0,cruise,,,
12.2,29.783,-3.0,cruise,,,
12.3,30.083,3.0,cruise,,,
12.4,29.783,-3.0,cruise,,,
12.5,30.083,3.0,cruise,,,
12.6,29.783,-3.0,cruise,,,
12.7,30.083,3.0,cruise,,,
12.8,29.783,-3.0,cruise,,,
12.9,30.083,3.0,cruise,,,
13.0,29.783,-3.0,cruise,,,
13.1,30.083,3.0,cruise,,,
13.2,29.783,-3.0,cruise,,,
13.3,30.083,3.0,cruise,,,
13.4,29.783,-3.0,cruise,,,
13.5,30.083,3.0,cruise,,,
13.6,29.783,-3.0,cruise,,,
13.7,30.083,3.0,cruise,,,
13.8,29.783,-3.0,cruise,,,
13.9,30.083,3.0,cruise,,,
14.0,29.783,-3.0,cruise,,,
14.1,30.083,3.0,cruise,,,
14.2,29.783,-3.0,cruise,,,
14.3,30.083,3.0,cruise,,,
14.4,29.783,-3.0,cruise,,,
14.5,30.083,3.0,cruise,,,
14.6,29.783,-3.0,cruise,,,
14.7,30.083,3.0,cruise,,,
14.8,29.783,-3.0,cruise,,,
14.9,30.083,3.0,cruise,,,
15.0,29.783,-3.0,cruise,,,
15.1,30.083,3.0,cruise,,,
15.2,29.783,-3.0,cruise,,,
15.3,30.083,3.0,cruise,,,
15.4,29.783,-3.0,cruise,,,
15.5,30.083,3.0,cruise,,,
15.6,29.783,-3.0,cruise,,,
15.7,30.083,3.0,cruise,,,
15.8,29.783,-3.0,cruise,,,
15.9,30.083,3.0,cruise,,,
16.0,29.783,-3.0,cruise,,,
16.1,30.083,3.0,cruise,,,
16.2,29.783,-3.0,cruise,,,
16.3,30.083,3.0,cruise,,,
16.4,29.783,-3.0,cruise,,,
16.5,30.083,3.0,cruise,,,
16.6,29.783,-3.0,cruise,,,
16.7,30.083,3.0,cruise,,,
16.8,29.783,-3.0,cruise,,,
16.9,30.083,3.0,cruise,,,
17.0,29.783,-3.0,cruise,,,
17.1,30.083,3.0,cruise,,,
17.2,29.783,-3.0,cruise,,,
17.3,30.083,3.0,cruise,,,
17.4,29.783,-3.0,cruise,,,
17.5,30.083,3.0,cruise,,,
17.6,29.783,-3.0,cruise,,,
17.7,30.083,3.0,cruise,,,
17.8,29.783,-3.0,cruise,,,
17.9,30.083,3.0,cruise,,,
18.0,29.783,-3.0,cruise,,,
18.1,30.083,3.0,cruise,,,
18.2,29.783,-3.0,cruise,,,
18.3,30.083,3.0,cruise,,,
18.4,29.783,-3.0,cruise,,,
18.5,30.083,3.0,cruise,,,
18.6,29.783,-3.0,cruise,,,
18.7,30.083,3.0,cruise,,,
18.8,29.783,-3.0,cruise,,,
18.9,30.083,3.0,cruise,,,
19.0,29.783,-3.0,cruise,,,
19.1,30.083,3.0,cruise,,,
19.2,29.783,-3.0,cruise,,,
19.3,30.083,3.0,cruise,,,
19.4,29.783,-3.0,cruise,,,
19.5,30.083,3.0,cruise,,,
19.6,29.783,-3.0,cruise,,,
19.7,30.083,3.0,cruise,,,
19.8,29.783,-3.0,cruise,,,
19.9,30.083,3.0,cruise,,,
20.0,29.783,-3.0,cruise,,,
20.1,30.083,3.0,cruise,,,
20.2,29.783,-3.0,cruise,,,
20.3,30.083,3.0,cruise,,,
20.4,29.783,-3.0,cruise,,,
20.5,30.083,3.0,cruise,,,
20.6,29.783,-3.0,cruise,,,
20.7,30.083,3.0,cruise,,,
20.8,29.783,-3.0,cruise,,,
20.9,30.083,3.0,cruise,,,
21.0,29.783,-3.0,cruise,,,
21.1,30.083,3.0,cruise,,,
21.2,29.783,-3.0,cruise,,,
21.3,30.083,3.0,cruise,,,
21.4,29.783,-3.0,cruise,,,
21.5,30.083,3.0,cruise,,,
21.6,29.783,-3.0,cruise,,,
21.7,30.083,3.0,cruise,,,
21.8,29.783,-3.0,cruise,,,
21.9,30.083,3.0,cruise,,,
22.0,29.783,-3.0,cruise,,,
22.1,30.083,3.0,cruise,,,
22.2,29.783,-3.0,cruise,,,
22.3,30.083,3.0,cruise,,,
22.4,29.783,-3.0,cruise,,,
22.5,30.083,3.0,cruise,,,
22.6,29.783,-3.0,cruise,,,
22.7,30.083,3.0,cruise,,,
22.8,29.783,-3.0,cruise,,,
22.9,30.083,3.0,cruise,,,
23.0,29.783,-3.0,cruise,,,
23.1,30.083,3.0,cruise,,,
23.2,29.783,-3.0,cruise,,,
23.3,30.083,3.0,cruise,,,
23.4,29.783,-3.0,cruise,,,
23.5,30.083,3.0,cruise,,,
23.6,29.783,-3.0,cruise,,,
23.7,30.083,3.0,cruise,,,
23.8,29.783,-3.0,cruise,,,
23.9,30.083,3.0,cruise,,,
24.0,29.783,-3.0,cruise,,,
24.1,30.083,3.0,cruise,,,
24.2,29.783,-3.0,cruise,,,
24.3,30.083,3.0,cruise,,,
24.4,29.783,-3.0,cruise,,,
24.5,30.083,3.0,cruise,,,
24.6,29.783,-3.0,cruise,,,
24.7,30.083,3.0,cruise,,,
24.8,29.783,-3.0,cruise,,,
24.9,30.083,3.0,cruise,,,
25.0,29.783,-3.0,cruise,,,
25.1,30.083,3.0,cruise,,,
25.2,29.783,-3.0,cruise,,,
25.3,30.083,3.0,cruise,,,
25.4,29.783,-3.0,cruise,,,
25.5,30.083,3.0,cruise,,,
25.6,29.783,-3.0,cruise,,,
25.7,30.083,3.0,cruise,,,
25.8,29.783,-3.0,cruise,,,
25.9,30.083,3.0,cruise,,,
26.0,29.783,-3.0,cruise,,,
26.1,30.083,3.0,cruise,,,
26.2,29.783,-3.0,cruise,,,
26.3,30.083,3.0,cruise,,,
26.4,29.783,-3.0,cruise,,,
26.5,30.083,3.0,cruise,,,
26.6,29.783,-3.0,cruise,,,
26.7,30.083,3.0,cruise,,,
26.8,29.783,-3.0,cruise,,,
26.9,30.083,3.0,cruise,,,
27.0,29.783,-3.0,cruise,,,
27.1,30.083,3.0,cruise,,,
27.2,29.783,-3.0,cruise,,,
27.3,30.083,3.0,cruise,,,
27.4,29.783,-3.0,cruise,,,
27.5,30.083,3.0,cruise,,,
27.6,29.783,-3.0,cruise,,,
27.7,30.083,3.0,cruise,,,
27.8,29.783,-3.0,cruise,,,
27.9,30.083,3.0,cruise,,,
28.0,29.783,-3.0,cruise,,,
28.1,30.083,3.0,cruise,,,
28.2,29.783,-3.0,cruise,,,
28.3,30.083,3.0,cruise,,,
28.4,29.783,-3.0,cruise,,,
28.5,30.083,3.0,cruise,,,
28.6,29.783,-3.0,cruise,,,
28.7,30.083,3.0,cruise,,,
28.8,29.783,-3.0,cruise,,,
28.9,30.083,3.0,cruise,,,
29.0,29.783,-3.0,cruise,,,
29.1,30.083,3.0,cruise,,,
29.2,29.783,-3.0,cruise,,,
29.3,30.083,3.0,cruise,,,
29.4,29.783,-3.0,cruise,,,
29.5,30.083,3.0,cruise,,,
29.6,29.783,-3.0,cruise,,,
29.7,30.083,3.0,cruise,,,
29.8,29.783,-3.0,cruise,,,
29.9,30.083,3.0,cruise,,,
30.0,29.283,-8.0,follow,-4.045,52.1,13.314
30.1,29.367,0.835,follow,-3.52,50.87,11.389
30.2,29.667,3.0,follow,-0.865,49.1,11.756
30.3,29.967,3.0,follow,1.62,47.59,12.436
30.4,29.167,-8.0,follow,-1.84,49.07,11.289
30.5,29.467,3.0,follow,-0.93,48.16,10.364
30.6,29.767,3.0,follow,0.85,48.42,13.5
30.7,28.967,-8.0,follow,0.77,47.6,14.055
30.8,28.167,-8.0,follow,-0.765,47.74,13.575
30.9,28.467,3.0,follow,2.995,45.12,14.761
31.0,27.667,-8.0,follow,-0.275,47.25,15.663
31.1,27.967,3.0,follow,1.655,45.32,13.664
31.2,27.167,-8.0,follow,0.33,47.44,23.878
31.3,27.467,3.0,follow,1.995,43.36,11.127
31.4,26.667,-8.0,follow,-0.635,46.2,15.625
31.5,26.967,3.0,follow,3.06,43.81,18.356
31.6,27.267,3.0,follow,4.0,42.36,13.995
31.7,27.567,3.0,follow,5.62,42.24,18.154
31.8,26.767,-8.0,follow,4.36,42.12,17.215
31.9,25.967,-8.0,follow,3.16,42.75,21.093
32.0,26.267,3.0,follow,6.59,42.56,255.253
32.1,26.567,3.0,follow,6.365,40.88,23.538
32.2,26.867,3.0,follow,6.295,41.28,22.722
32.3,26.067,-8.0,follow,2.225,43.67,20.438
32.4,26.367,3.0,follow,4.015,42.87,24.129
32.5,26.667,3.0,follow,6.59,41.03,25.858
32.6,26.266,-4.012,follow,5.91,40.3,18.96
32.7,26.566,3.0,follow,7.77,40.15,31.233
32.8,25.766,-8.0,follow,6.315,40.51,33.328
32.9,26.066,3.0,follow,8.82,38.35,29.833
33.0,25.319,-7.469,follow,7.775,39.05,50.806
33.1,25.619,3.0,follow,12.395,37.19,
33.2,24.819,-8.0,follow,8.055,39.43,
33.3,24.019,-8.0,follow,6.785,39.53,
33.4,24.319,3.0,follow,10.38,38.05,
33.5,23.519,-8.0,follow,5.85,40.27,
33.6,23.819,3.0,follow,10.85,36.89,
33.7,23.019,-8.0,follow,8.815,36.48,
33.8,22.219,-8.0,follow,7.71,38.29,
33.9,22.519,3.0,follow,8.625,39.1,
34.0,22.819,3.0,follow,8.615,39.71,
34.1,23.119,3.0,follow,10.515,37.18,
34.2,22.319,-8.0,follow,8.535,38.83,
34.3,22.619,3.0,follow,9.665,37.49,
34.4,21.931,-6.877,follow,8.565,37.27,
34.5,22.231,3.0,follow,8.3,38.39,
34.6,22.531,3.0,follow,8.895,38.08,
34.7,22.831,3.0,follow,13.135,35.55,
34.8,22.031,-8.0,follow,8.96,38.93,
34.9,21.231,-8.0,follow,6.72,38.8,
35.0,21.531,3.0,follow,11.31,36.55,
35.1,20.731,-8.0,follow,9.375,37.69,
35.2,21.031,3.0,follow,8.935,37.8,
35.3,21.331,3.0,follow,10.65,37.54,
35.4,21.631,3.0,follow,12.015,36.64,
35.5,21.931,3.0,follow,12.05,36.5,
35.6,21.131,-8.0,follow,9.335,37.22,
35.7,21.05,-0.806,follow,8.595,38.56,
35.8,21.35,3.0,follow,10.015,37.86,
35.9,21.65,3.0,follow,11.755,36.84,
36.0,20.85,-8.0,follow,8.85,38.11,
36.1,21.15,3.0,follow,13.22,34.07,
36.2,20.35,-8.0,follow,7.725,38.53,
36.3,20.65,3.0,follow,10.84,35.31,
36.4,20.95,3.0,follow,11.575,36.84,
36.5,21.25,3.0,follow,13.03,36.0,
36.6,20.525,-7.258,follow,11.625,35.8,
36.7,19.725,-8.0,follow,10.075,38.55,
36.8,20.025,3.0,follow,11.175,36.73,
36.9,19.225,-8.0,follow,9.14,37.64,
37.0,19.525,3.0,follow,10.705,37.2,
37.1,19.825,3.0,follow,11.445,37.78,
37.2,19.092,-7.329,follow,10.115,37.34,
37.3,19.392,3.0,follow,13.435,35.82,
37.4,18.592,-8.0,follow,6.2,38.36,
37.5,18.892,3.0,follow,11.73,36.7,
37.6,19.192,3.0,follow,12.095,35.51,
37.7,18.392,-8.0,follow,10.4,36.77,
37.8,17.592,-8.0,follow,8.675,38.93,
37.9,16.792,-8.0,follow,7.065,38.2,
38.0,17.092,3.0,follow,10.4,36.86,
38.1,17.392,3.0,follow,11.045,36.86,
38.2,17.692,3.0,follow,12.275,36.89,
38.3,16.892,-8.0,follow,7.345,39.57,
38.4,17.192,3.0,follow,8.905,37.68,
38.5,17.492,3.0,follow,9.2,37.73,
38.6,17.792,3.0,follow,10.135,38.4,
