New Terminal Output:

root@5c6359148b36:~# cat /root/results.csv
time,n_stations,n_picks
2019-07-04T19:00:10.690,14,14
2019-07-04T19:01:11.730,14,14
2019-07-04T19:02:26.250,12,12
2019-07-04T19:03:41.000,13,13
2019-07-04T19:04:34.128,5,5
2019-07-04T19:04:58.760,14,14
2019-07-04T19:05:36.170,10,10
2019-07-04T19:06:45.910,4,4
2019-07-04T19:07:34.473,7,7
2019-07-04T19:08:25.178,9,9
2019-07-04T19:09:19.810,14,14
2019-07-04T19:09:56.960,13,13
2019-07-04T19:10:21.560,14,14
2019-07-04T19:11:49.568,9,9
2019-07-04T19:12:38.718,7,7
2019-07-04T19:13:18.790,7,7
2019-07-04T19:15:01.580,14,14
2019-07-04T19:16:07.120,14,14
2019-07-04T19:16:58.980,14,14
2019-07-04T19:17:52.930,14,14
2019-07-04T19:20:04.302,7,7
2019-07-04T19:20:22.610,11,13
2019-07-04T19:20:54.070,14,14
2019-07-04T19:21:34.320,14,14
2019-07-04T19:24:44.518,7,7
2019-07-04T19:25:44.960,10,10
2019-07-04T19:26:21.980,14,14
2019-07-04T19:26:59.560,13,13
2019-07-04T19:27:20.490,14,14
2019-07-04T19:29:11.323,7,11
2019-07-04T19:31:57.762,6,6
2019-07-04T19:32:25.910,9,11
2019-07-04T19:33:04.130,13,13
2019-07-04T19:34:04.168,14,14
2019-07-04T19:34:55.219,9,9
2019-07-04T19:36:06.313,8,8
2019-07-04T19:38:24.480,10,10
2019-07-04T19:39:38.030,14,30
2019-07-04T19:40:30.910,11,11
2019-07-04T19:41:53.000,14,15
2019-07-04T19:44:33.928,9,10
2019-07-04T19:45:09.158,8,8
2019-07-04T19:46:41.738,14,14
2019-07-04T19:47:41.291,14,18
2019-07-04T19:48:39.498,8,8
2019-07-04T19:49:06.870,14,14
2019-07-04T19:51:17.990,14,14
2019-07-04T19:52:09.978,14,14
2019-07-04T19:52:41.430,9,9
2019-07-04T19:53:20.690,14,14
2019-07-04T19:53:45.290,11,11
2019-07-04T19:54:18.980,11,11
2019-07-04T19:54:52.473,6,6
2019-07-04T19:56:02.520,14,14
2019-07-04T19:57:23.340,7,7
2019-07-04T19:58:01.320,14,14
2019-07-04T19:58:49.830,12,12
2019-07-04T19:59:45.390,14,15
root@5c6359148b36:~#
