New Terminal Output:

root@e00a671c414b:/app# cat > /tmp/analyze.py << 'EOF'
> import pandas as pd
> import numpy as np
> import json
>
> # Load data
> mes_log = pd.read_csv('/app/data/mes_log.csv')
> thermocouples = pd.read_csv('/app/data/thermocouples.csv')
> test_defects = pd.read_csv('/app/data/test_defects.csv')
>
> print("Data loaded successfully")
> print(f"MES log: {len(mes_log)} runs")
> print(f"Thermocouples: {len(thermocouples)} records")
> print(f"Test defects: {len(test_defects)} records")
>
> # Check unique run_ids
> print(f"\nUnique runs in MES: {sorted(mes_log['run_id'].unique())}")
> print(f"Unique runs in TC: {sorted(thermocouples['run_id'].unique())}")
>
> # Check tc_location values
> print(f"\nTC locations: {thermocouples['tc_location'].unique()}")
>
> # Check solder types and liquidus temps
> print(f"\nSolder liquidus temps:")
> print(mes_log[['run_id', 'paste_type', 'solder_liquidus_c']].drop_duplicates())
> EOF
root@e00a671c414b:/app# python3 /tmp/analyze.py
Data loaded successfully
MES log: 60 runs
Thermocouples: 18835 records
Test defects: 271 records

Unique runs in MES: ['R0001', 'R0002', 'R0003', 'R0004', 'R0005', 'R0006', 'R0007', 'R0008', 'R0009', 'R0010', 'R0011', 'R0012', 'R0013', 'R0014', 'R0015', 'R00
16', 'R0017', 'R0018', 'R0019', 'R0020', 'R0021', 'R0022', 'R0023', 'R0024', 'R0025', 'R0026', 'R0027', 'R0028', 'R0029', 'R0030', 'R0031', 'R0032', 'R0033', 'R
0034', 'R0035', 'R0036', 'R0037', 'R0038', 'R0039', 'R0040', 'R0041', 'R0042', 'R0043', 'R0044', 'R0045', 'R0046', 'R0047', 'R0048', 'R0049', 'R0050', 'R0051',
'R0052', 'R0053', 'R0054', 'R0055', 'R0056', 'R0057', 'R0058', 'R0059', 'R0060']
Unique runs in TC: ['R0001', 'R0002', 'R0003', 'R0004', 'R0005', 'R0006', 'R0007', 'R0008', 'R0009', 'R0010', 'R0011', 'R0012', 'R0013', 'R0014', 'R0015', 'R001
6', 'R0017', 'R0018', 'R0019', 'R0020', 'R0021', 'R0022', 'R0023', 'R0024', 'R0025', 'R0026', 'R0027', 'R0028', 'R0029', 'R0030', 'R0031', 'R0032', 'R0033', 'R0
034', 'R0035', 'R0036', 'R0037', 'R0038', 'R0039', 'R0040', 'R0041', 'R0042', 'R0043', 'R0044', 'R0045', 'R0046', 'R0047', 'R0048', 'R0049', 'R0050', 'R0051', '
R0052', 'R0053', 'R0054', 'R0055', 'R0056', 'R0057', 'R0058', 'R0059', 'R0060']

TC locations: ['largest_mass' 'smallest_mass' 'board_edge' 'center_BGA'
 'connector_shield' 'near_heatsink']

Solder liquidus temps:
   run_id   paste_type  solder_liquidus_c
0   R0004  Sn62Pb36Ag2                179
1   R0005      SAC0307                217
2   R0003     Sn63Pb37                183
3   R0006       SAC305                217
4   R0001     Sn63Pb37                183
5   R0002  Sn62Pb36Ag2                179
6   R0009       SAC305                217
7   R0011  Sn62Pb36Ag2                179
8   R0007  Sn62Pb36Ag2                179
9   R0010     Sn63Pb37                183
10  R0012      SAC0307                217
11  R0008      SAC0307                217
12  R0013     Sn63Pb37                183
13  R0014     Sn63Pb37                183
14  R0016       SAC305                217
15  R0018     Sn63Pb37                183
16  R0017     Sn63Pb37                183
17  R0015       SAC305                217
18  R0023     Sn63Pb37                183
19  R0024  Sn62Pb36Ag2                179
20  R0019      SAC0307                217
21  R0020      SAC0307                217
22  R0021     Sn63Pb37                183
23  R0022  Sn62Pb36Ag2                179
24  R0029  Sn62Pb36Ag2                179
25  R0026      SAC0307                217
26  R0027     Sn63Pb37                183
27  R0025     Sn63Pb37                183
28  R0028     Sn63Pb37                183
29  R0030  Sn62Pb36Ag2                179
30  R0034     Sn63Pb37                183
31  R0032     Sn63Pb37                183
32  R0035       SAC305                217
33  R0033  Sn62Pb36Ag2                179
34  R0036      SAC0307                217
35  R0031       SAC305                217
36  R0037      SAC0307                217
37  R0040  Sn62Pb36Ag2                179
38  R0038      SAC0307                217
39  R0041      SAC0307                217
40  R0042     Sn63Pb37                183
41  R0039  Sn62Pb36Ag2                179
42  R0047      SAC0307                217
43  R0046  Sn62Pb36Ag2                179
44  R0043     Sn63Pb37                183
45  R0044  Sn62Pb36Ag2                179
46  R0045     Sn63Pb37                183
47  R0048       SAC305                217
48  R0054     Sn63Pb37                183
49  R0049       SAC305                217
50  R0051     Sn63Pb37                183
51  R0053     Sn63Pb37                183
52  R0050      SAC0307                217
53  R0052       SAC305                217
54  R0059     Sn63Pb37                183
55  R0056       SAC305                217
56  R0058     Sn63Pb37                183
57  R0055       SAC305                217
58  R0057     Sn63Pb37                183
59  R0060  Sn62Pb36Ag2                179
root@e00a671c414b:/app#
