Previous response had warnings:
WARNINGS: - Extra text detected before JSON object
- Extra text detected after JSON object

Current Terminal Screen:
bash: cannot set terminal process group (-1): Inappropriate ioctl for device
bash: no job control in this shell
Col 16: ck
Col 17: ctfp
Col 18: cwtfp
Col 19: rgdpna
Col 20: rconna
Col 21: rdana
Col 22: rnna
Col 23: rkna
Col 24: rtfpna
Col 25: rwtfpna
Col 26: labsh
Col 27: irr
Col 28: delta
Col 29: xr
Col 30: pl_con
Col 31: pl_da
Col 32: pl_gdpo
Col 33: i_cig
Col 34: i_xm
Col 35: i_xr
Col 36: i_outlier
Col 37: i_irr
Col 38: cor_exp
Col 39: statcap
Col 40: csh_c
Col 41: csh_i
Col 42: csh_g
Col 43: csh_x
Col 44: csh_m
Col 45: csh_r
Col 46: pl_c
Col 47: pl_i
Col 48: pl_g
Col 49: pl_x
Col 50: pl_m
Col 51: pl_n
Col 52: pl_k

Found 'rnna' at column 22
root@42fd8f89c9fb:~#
