Previous response had warnings:
WARNINGS: - Extra text detected before JSON object
- Extra text detected after JSON object

New Terminal Output:

root@6ce812eb7398:~# python3 << 'EOF'
> import json
>
> with open('/root/package-lock.json', 'r') as f:
>     data = json.load(f)
>
> packages = {}
> if 'packages' in data:
>     for pkg_path, pkg_info in data['packages'].items():
>         if pkg_path and pkg_path != '':
>             # Extract package name and version
>             if 'version' in pkg_info:
>                 packages[pkg_path] = pkg_info['version']
>
> # Print first 20 packages
> for i, (path, version) in enumerate(list(packages.items())[:20]):
>     print(f"{path}: {version}")
>
> print(f"\nTotal packages: {len(packages)}")
> EOF
docs: 1.0.0
node_modules/@actions/core: 1.9.1
node_modules/@actions/core/node_modules/uuid: 8.3.2
node_modules/@actions/http-client: 2.0.1
node_modules/@babel/code-frame: 7.16.7
node_modules/@babel/core: 7.12.9
node_modules/@babel/core/node_modules/semver: 5.7.1
node_modules/@babel/generator: 7.17.7
node_modules/@babel/helper-environment-visitor: 7.16.7
node_modules/@babel/helper-function-name: 7.16.7
node_modules/@babel/helper-get-function-arity: 7.16.7
node_modules/@babel/helper-hoist-variables: 7.16.7
node_modules/@babel/helper-module-imports: 7.16.7
node_modules/@babel/helper-module-transforms: 7.17.7
node_modules/@babel/helper-simple-access: 7.17.7
node_modules/@babel/helper-split-export-declaration: 7.16.7
node_modules/@babel/helper-validator-identifier: 7.16.7
node_modules/@babel/helpers: 7.17.8
node_modules/@babel/highlight: 7.16.10
node_modules/@babel/highlight/node_modules/ansi-styles: 3.2.1

Total packages: 1267
root@6ce812eb7398:~#
