New Terminal Output:
Warning: Game 8.0 has 1 turns, skipping

Calculated scores for 2999 games
    game_number  best_score
0           1.0        50.0
1           2.0        52.0
2           3.0        50.0
3           4.0        53.0
4           5.0        67.0
5           6.0        50.0
6           7.0        56.0
7           9.0        65.0
8          10.0        70.0
9          11.0        67.0
10         12.0        66.0
11         13.0        74.0
12         14.0        71.0
13         15.0        68.0
14         16.0        39.0
15         17.0        74.0
16         18.0        98.0
17         19.0        60.0
18         20.0        40.0
19         21.0        59.0
