New Terminal Output:
file_name,phase,pick_idx
BG.ACR..DP.0215954.npz,P,3986
BG.ACR..DP.0215954.npz,P,6020
BG.ACR..DP.0215954.npz,S,4036
BG.ACR..DP.0215954.npz,S,6058
BG.ACR..DP.0346833.npz,P,84
BG.ACR..DP.0346833.npz,P,6068
BG.ACR..DP.0346833.npz,S,134
BG.ACR..DP.0346833.npz,S,6070
BG.AL6..DP.0301915.npz,P,54
BG.AL6..DP.0301915.npz,P,6145
BG.AL6..DP.0301915.npz,S,343
BG.AL6..DP.0301915.npz,S,6140
BG.BRP..DP.0414480.npz,P,126
BG.BRP..DP.0414480.npz,P,6018
BG.BRP..DP.0414480.npz,S,178
BG.BRP..DP.0414480.npz,S,6018
BG.DRK..DP.0351524.npz,P,6134
BG.DRK..DP.0351524.npz,S,6184
BG.EPR..DP.0252305.npz,P,1972
