New Terminal Output:
keyframes_001.png: coins=0, enemies=0, turtles=3
keyframes_002.png: coins=3, enemies=0, turtles=5
keyframes_003.png: coins=3, enemies=1, turtles=2
keyframes_004.png: coins=0, enemies=0, turtles=4
keyframes_005.png: coins=4, enemies=0, turtles=4
keyframes_006.png: coins=4, enemies=0, turtles=4
keyframes_007.png: coins=4, enemies=0, turtles=5
keyframes_008.png: coins=1, enemies=1, turtles=5
keyframes_009.png: coins=2, enemies=0, turtles=5
keyframes_010.png: coins=3, enemies=0, turtles=3
keyframes_011.png: coins=2, enemies=0, turtles=8
keyframes_012.png: coins=4, enemies=0, turtles=4
keyframes_013.png: coins=0, enemies=0, turtles=5
keyframes_014.png: coins=0, enemies=0, turtles=4

Results written to /root/counting_results.csv
