New Terminal Output:
Dots sheet structure with formulas:
========================================================================================================================
Name | Sex | BodyweightKg | Best3SquatKg | Best3BenchKg | Best3DeadliftKg | TotalKg | Dots
Julien Comte | M | 82.25 | 215 | 132.5 | 260 | [Formula: =ROUND(D2+E2+F2,3)...] | [Formula: =ROUND(IF(B2="M",G2*(500/(-307.75076+24.0900756*C2...]
Matthew Starkey | M | 82.9 | 205 | 130 | 227.5 | [Formula: =ROUND(D3+E3+F3,3)...] | [Formula: =ROUND(IF(B3="M",G3*(500/(-307.75076+24.0900756*C3...]
Austin Keanu | M | 122.4 | 275 | 142.5 | 235 | [Formula: =ROUND(D4+E4+F4,3)...] | [Formula: =ROUND(IF(B4="M",G4*(500/(-307.75076+24.0900756*C4...]
Michelle McKeaveney | F | 96.8 | 102.5 | 50 | 137.5 | [Formula: =ROUND(D5+E5+F5,3)...] | [Formula: =ROUND(IF(B5="M",G5*(500/(-307.75076+24.0900756*C5...]

========================================================================================================================

Now loading with data_only=True to see calculated values...

LibreOffice found, recalculating formulas...
Formulas recalculated

Dots sheet with calculated values:
======================================================================================================================================================
Name                      | Sex  | BW       | Squat    | Bench    | DL       | TotalKg    | Dots      
======================================================================================================================================================
Julien Comte              | M    | 82.25    | 215      | 132.5    | 260      | None       | None      
Matthew Starkey           | M    | 82.9     | 205      | 130      | 227.5    | None       | None      
Austin Keanu              | M    | 122.4    | 275      | 142.5    | 235      | None       | None      
Michelle McKeaveney       | F    | 96.8     | 102.5    | 50       | 137.5    | None       | None      
Tracy Klinger             | F    | 130.82   | 62.5     | 57.5     | 117.5    | None       | None      
Mohanad Ibrahiem          | M    | 103.94   | 255      | 165      | 292.5    | None       | None      
Pamela Cresci             | F    | 58.2     | 82.5     | 47.5     | 130      | None       | None      
Wilie Carpentier          | M    | 81.8     | 200      | 130      | 237.5    | None       | None      
Joshua Noble              | M    | 90.5     | 242.5    | 132.5    | 232.5    | None       | None      
Amber Gomez               | F    | 75.9     | 137.5    | 75       | 167.5    | None       | None      
Arlene van Diepen         | F    | 79.3     | 107.5    | 50       | 140      | None       | None      
Alma Kimura               | F    | 61.81    | 107.5    | 52.5     | 130      | None       | None      
Jonathan Cruz #1          | M    | 72.5     | 245      | 152.5    | 290      | None       | None      
Serena Abweh              | F    | 46.1     | 82.5     | 52.5     | 125.5    | None       | None      
Ashleigh Sutton           | F    | 74.2     | 170      | 85       | 197.5    | None       | None      
Aaron Ziffle              | M    | 92.8     | 255      | 182.5    | 245      | None       | None      
Adelaide Hurlbert         | F    | 61.8     | 87.5     | 57.5     | 110      | None       | None      
Coralee Traurig           | F    | 71.1     | 107.5    | 65       | 115      | None       | None      
Hugo Laliberté            | M    | 80.2     | 162.5    | 102.5    | 205      | None       | None      
Curtis Laird              | M    | 108.98   | 226.8    | 165.56   | 242.67   | None       | None      
======================================================================================================================================================
