New Terminal Output:
Values calculated and written to Dots sheet
Workbook saved

Dots sheet with calculated values:
======================================================================================================================================================
Name                      | Sex  | BW       | Squat    | Bench    | DL       | TotalKg    | Dots      
======================================================================================================================================================
Julien Comte              | M    | 82.25    | 215      | 132.5    | 260      | 607.5      | 209.978   
Matthew Starkey           | M    | 82.9     | 205      | 130      | 227.5    | 562.5      | 189.73    
Austin Keanu              | M    | 122.4    | 275      | 142.5    | 235      | 652.5      | 61.159    
Michelle McKeaveney       | F    | 96.8     | 102.5    | 50       | 137.5    | 290.0      | 202.042   
Tracy Klinger             | F    | 130.82   | 62.5     | 57.5     | 117.5    | 237.5      | 88.952    
Mohanad Ibrahiem          | M    | 103.94   | 255      | 165      | 292.5    | 712.5      | 115.713   
Pamela Cresci             | F    | 58.2     | 82.5     | 47.5     | 130      | 260.0      | 411.776   
Wilie Carpentier          | M    | 81.8     | 200      | 130      | 237.5    | 567.5      | 199.513   
Joshua Noble              | M    | 90.5     | 242.5    | 132.5    | 232.5    | 607.5      | 155.248   
Amber Gomez               | F    | 75.9     | 137.5    | 75       | 167.5    | 380.0      | 403.613   
Arlene van Diepen         | F    | 79.3     | 107.5    | 50       | 140      | 297.5      | 294.215   
Alma Kimura               | F    | 61.81    | 107.5    | 52.5     | 130      | 290.0      | 421.283   
Jonathan Cruz #1          | M    | 72.5     | 245      | 152.5    | 290      | 687.5      | 347.217   
Serena Abweh              | F    | 46.1     | 82.5     | 52.5     | 125.5    | 260.5      | 568.38    
Ashleigh Sutton           | F    | 74.2     | 170      | 85       | 197.5    | 452.5      | 498.338   
Aaron Ziffle              | M    | 92.8     | 255      | 182.5    | 245      | 682.5      | 160.85    
Adelaide Hurlbert         | F    | 61.8     | 87.5     | 57.5     | 110      | 255.0      | 370.525   
Coralee Traurig           | F    | 71.1     | 107.5    | 65       | 115      | 287.5      | 338.559   
Hugo Laliberté            | M    | 80.2     | 162.5    | 102.5    | 205      | 470.0      | 175.595   
Curtis Laird              | M    | 108.98   | 226.8    | 165.56   | 242.67   | 635.03     | 88.054    
======================================================================================================================================================
