New Terminal Output:
time_s  temp_c  zone_id
0        0   24.68        1
1       10   37.45        1
2       20   53.49        1
3       30   69.44        1
4       40   84.46        1
5       50  100.67        1
6       60  116.40        1
7       70  131.08        2
8       80  148.48        2
9       90  163.96        2
10     100  178.96        2
11     110  194.96        2
12     120  211.10        2
13     130  226.37        2
14     140  242.12        3
15     150  257.12        3
16     160  274.06        3
17     170  289.54        3
18     180  305.36        3
19     190  320.01        3
20     200  337.65        4
21     210  352.49        4
22     220  158.85        4
23     230  160.30        4
24     240  159.06        4
25     250  158.22        4
26     260  158.84        4
27     270  157.71        5
28     280  159.72        5
29     290  158.84        5
30     300  158.64        5
31     310  159.73        5
32     320  158.10        5
33     330  159.41        5
34     340  157.85        6
35     350  158.69        6
36     360  158.36        6
37     370  161.58        6
38     380  164.47        6
39     390  165.92        6
40     400  169.32        7
41     410  171.41        7
42     420  174.56        7
43     430  176.47        7
44     440  178.60        7
45     450  181.25        7
46     460  185.26        7
47     470  183.57        8
48     480  175.90        8
49     490  168.93        8
50     500  163.90        8
51     510  156.41        8
52     520  149.84        8
53     530  143.44        8
54     540  136.73        9
55     550  130.13        9
56     560  122.97        9
57     570  117.64        9
58     580  110.80        9
59     590  105.08        9
60     600   97.65       10
61     610   90.24       10
62     620   84.84       10
63     630   79.43       10
64     640   71.69       10
65     650   64.90       10
66     660   58.23       10
