New Terminal Output:
=== ERP-2025-table10.xls (PCE) - Column Headers ===
Rows 2-5 (headers):
Row 2: ['Year or quarter', 'Personal  consumption  expenditures', 'Goods', nan, nan]
Row 3: [nan, nan, 'Total', 'Durable', nan]
Row 4: [nan, nan, nan, 'Total 1', 'Motor  vehicles  and  parts']
Row 5: ['1973.', 849.6, 416.6, 130.5, 54.4]

Data rows 5-10:
Row 5: ['1973.', 849.6, 416.6, 130.5, 54.4]
Row 6: ['1974.', 930.2, 451.5, 130.2, 48.2]
Row 7: ['1975.', 1030.5, 491.3, 142.2, 52.6]
Row 8: ['1976.', 1147.7, 546.3, 168.6, 68.2]
Row 9: ['1977.', 1274, 600.4, 192, 79.8]
Row 10: ['1978.', 1422.3, 663.6, 213.3, 89.2]
