New Terminal Output:
network,station,location,channel,longitude,latitude,elevation_m,response
CI,CCC,,BHE,-117.36453,35.52495,670.0,627372967.51
CI,CCC,,BHN,-117.36453,35.52495,670.0,627372967.51
CI,CCC,,BHZ,-117.36453,35.52495,670.0,627372967.51
CI,CCC,,HHE,-117.36453,35.52495,670.0,627368612.81
CI,CCC,,HHN,-117.36453,35.52495,670.0,627368612.81
CI,CCC,,HHZ,-117.36453,35.52495,670.0,627368612.81
CI,CCC,,HNE,-117.36453,35.52495,670.0,213979.64
CI,CCC,,HNN,-117.36453,35.52495,670.0,214321.79
CI,CCC,,HNZ,-117.36453,35.52495,670.0,213808.57
CI,CLC,,BHE,-117.59751,35.81574,775.0,627373000.0
CI,CLC,,BHN,-117.59751,35.81574,775.0,627373000.0
CI,CLC,,BHZ,-117.59751,35.81574,775.0,627373000.0
CI,CLC,,HHE,-117.59751,35.81574,775.0,627369000.0
CI,CLC,,HHN,-117.59751,35.81574,775.0,627369000.0
CI,CLC,,HHZ,-117.59751,35.81574,775.0,627369000.0
CI,CLC,,HNE,-117.59751,35.81574,775.0,213945.0
CI,CLC,,HNN,-117.59751,35.81574,775.0,213809.0
CI,CLC,,HNZ,-117.59751,35.81574,775.0,213740.0
CI,JRC2,,BHE,-117.80885,35.98249,1469.0,784872189.89
