New Terminal Output:
Found 53 connected components
Component 0: 128 triangles, volume=6242.89, material_ids={42}
Component 1: 12 triangles, volume=1.00, material_ids={1}
Component 2: 12 triangles, volume=8.00, material_ids={1}
Component 3: 4 triangles, volume=19.20, material_ids={0}
Component 4: 4 triangles, volume=4.95, material_ids={0}
Component 5: 4 triangles, volume=0.78, material_ids={0}
Component 6: 4 triangles, volume=1.95, material_ids={0}
Component 7: 4 triangles, volume=4.46, material_ids={0}
Component 8: 4 triangles, volume=19.01, material_ids={0}
Component 9: 4 triangles, volume=2.86, material_ids={0}
Component 10: 4 triangles, volume=2.88, material_ids={0}
Component 11: 4 triangles, volume=11.91, material_ids={0}
Component 12: 4 triangles, volume=0.97, material_ids={0}
Component 13: 4 triangles, volume=7.26, material_ids={0}
Component 14: 4 triangles, volume=10.45, material_ids={0}
Component 15: 4 triangles, volume=3.20, material_ids={0}
Component 16: 4 triangles, volume=4.36, material_ids={0}
Component 17: 4 triangles, volume=7.17, material_ids={0}
Component 18: 4 triangles, volume=2.10, material_ids={0}
Component 19: 4 triangles, volume=2.47, material_ids={0}
Component 20: 4 triangles, volume=5.08, material_ids={0}
Component 21: 4 triangles, volume=7.28, material_ids={0}
Component 22: 4 triangles, volume=19.58, material_ids={0}
Component 23: 4 triangles, volume=5.09, material_ids={0}
Component 24: 4 triangles, volume=9.98, material_ids={0}
Component 25: 4 triangles, volume=5.88, material_ids={0}
Component 26: 4 triangles, volume=19.95, material_ids={0}
Component 27: 4 triangles, volume=3.19, material_ids={0}
Component 28: 4 triangles, volume=6.81, material_ids={0}
Component 29: 4 triangles, volume=8.45, material_ids={0}
Component 30: 4 triangles, volume=0.40, material_ids={0}
Component 31: 4 triangles, volume=8.33, material_ids={0}
Component 32: 4 triangles, volume=2.39, material_ids={0}
Component 33: 4 triangles, volume=5.45, material_ids={0}
Component 34: 4 triangles, volume=3.26, material_ids={0}
Component 35: 4 triangles, volume=7.83, material_ids={0}
Component 36: 4 triangles, volume=1.05, material_ids={0}
Component 37: 4 triangles, volume=2.77, material_ids={0}
Component 38: 4 triangles, volume=9.22, material_ids={0}
Component 39: 4 triangles, volume=6.09, material_ids={0}
Component 40: 4 triangles, volume=19.63, material_ids={0}
Component 41: 4 triangles, volume=12.91, material_ids={0}
Component 42: 4 triangles, volume=0.50, material_ids={0}
Component 43: 4 triangles, volume=0.63, material_ids={0}
Component 44: 4 triangles, volume=20.49, material_ids={0}
Component 45: 4 triangles, volume=16.84, material_ids={0}
Component 46: 4 triangles, volume=1.95, material_ids={0}
Component 47: 4 triangles, volume=8.50, material_ids={0}
Component 48: 4 triangles, volume=0.54, material_ids={0}
Component 49: 4 triangles, volume=1.72, material_ids={0}
Component 50: 4 triangles, volume=3.38, material_ids={0}
Component 51: 4 triangles, volume=3.54, material_ids={0}
Component 52: 4 triangles, volume=0.50, material_ids={0}
