New Terminal Output:
=== Feature types on map ===
  FEATURE_FLOODPLAINS_PLAINS: 4
  FEATURE_FOREST: 3
  FEATURE_GEOTHERMAL_FISSURE: 1
  FEATURE_ICE: 261
  FEATURE_JUNGLE: 2
  FEATURE_REEF: 1

Largest cluster: 63 tiles

Features in largest cluster:
  ID: 507 (23, 11) TERRAIN_GRASS - FEATURE_FOREST
  ID: 552 (24, 12) TERRAIN_GRASS - FEATURE_FOREST
  ID: 593 (21, 13) TERRAIN_GRASS - FEATURE_GEOTHERMAL_FISSURE
  ID: 592 (20, 13) TERRAIN_GRASS - FEATURE_JUNGLE
  ID: 595 (23, 13) TERRAIN_GRASS - FEATURE_FOREST
  ID: 639 (23, 14) TERRAIN_PLAINS - FEATURE_FLOODPLAINS_PLAINS
  ID: 636 (20, 14) TERRAIN_COAST - FEATURE_REEF
  ID: 683 (23, 15) TERRAIN_PLAINS - FEATURE_FLOODPLAINS_PLAINS
  ID: 680 (20, 15) TERRAIN_GRASS - FEATURE_JUNGLE
  ID: 727 (23, 16) TERRAIN_PLAINS - FEATURE_FLOODPLAINS_PLAINS
  ID: 770 (22, 17) TERRAIN_PLAINS - FEATURE_FLOODPLAINS_PLAINS
