New Terminal Output:
======================================================================
SEISMIC PHASE ASSOCIATION - TIME-BASED CLUSTERING
======================================================================

[1/3] Loading data...
  Loaded 45 traces and 129 station channels

[2/3] Extracting phase picks...
  Processing trace 1/45...
  Processing trace 6/45...
  Processing trace 11/45...
  Processing trace 16/45...
  Processing trace 21/45...
  Processing trace 26/45...
  Processing trace 31/45...
  Processing trace 36/45...
  Processing trace 41/45...
  Total picks: 9650
  P picks: 4825
  S picks: 4825

[3/3] Clustering picks into events...
  Found 167 events

  Events:
    Event 0: 2019-07-04T19:00:02.500000+00:00 (142 picks)
    Event 1: 2019-07-04T19:00:20.028300+00:00 (46 picks)
    Event 2: 2019-07-04T19:01:05.530000+00:00 (50 picks)
    Event 3: 2019-07-04T19:01:18.868300+00:00 (82 picks)
    Event 4: 2019-07-04T19:01:36.153300+00:00 (60 picks)
    Event 5: 2019-07-04T19:01:53.468300+00:00 (10 picks)
    Event 6: 2019-07-04T19:02:06.123100+00:00 (14 picks)
    Event 7: 2019-07-04T19:02:32.498300+00:00 (132 picks)
    Event 8: 2019-07-04T19:02:51.233100+00:00 (66 picks)
    Event 9: 2019-07-04T19:03:10.418300+00:00 (38 picks)
    Event 10: 2019-07-04T19:03:22.388300+00:00 (2 picks)
    Event 11: 2019-07-04T19:03:48.438300+00:00 (126 picks)
    Event 12: 2019-07-04T19:04:03.648300+00:00 (38 picks)
    Event 13: 2019-07-04T19:04:27.643300+00:00 (56 picks)
    Event 14: 2019-07-04T19:04:43.678300+00:00 (98 picks)
    Event 15: 2019-07-04T19:05:04.948300+00:00 (148 picks)
    Event 16: 2019-07-04T19:05:40.358300+00:00 (108 picks)
    Event 17: 2019-07-04T19:05:56.818300+00:00 (10 picks)
    Event 18: 2019-07-04T19:06:21.318100+00:00 (28 picks)
    Event 19: 2019-07-04T19:06:33.885700+00:00 (8 picks)
    Event 20: 2019-07-04T19:06:49.613300+00:00 (44 picks)
    Event 21: 2019-07-04T19:07:09.658300+00:00 (2 picks)
    Event 22: 2019-07-04T19:07:44.135700+00:00 (64 picks)
    Event 23: 2019-07-04T19:07:58.753300+00:00 (8 picks)
    Event 24: 2019-07-04T19:08:35.878300+00:00 (90 picks)
    Event 25: 2019-07-04T19:08:48.403100+00:00 (6 picks)
    Event 26: 2019-07-04T19:09:21.068300+00:00 (10 picks)
    Event 27: 2019-07-04T19:09:25.528300+00:00 (106 picks)
    Event 28: 2019-07-04T19:10:02.280700+00:00 (116 picks)
    Event 29: 2019-07-04T19:10:09.300000+00:00 (14 picks)
    Event 30: 2019-07-04T19:10:27.260000+00:00 (174 picks)
    Event 31: 2019-07-04T19:11:31.833100+00:00 (68 picks)
    Event 32: 2019-07-04T19:11:56.998300+00:00 (54 picks)
    Event 33: 2019-07-04T19:12:05.123300+00:00 (40 picks)
    Event 34: 2019-07-04T19:12:31.359150+00:00 (48 picks)
    Event 35: 2019-07-04T19:12:50.078300+00:00 (56 picks)
    Event 36: 2019-07-04T19:13:07.818300+00:00 (10 picks)
    Event 37: 2019-07-04T19:13:24.728300+00:00 (80 picks)
    Event 38: 2019-07-04T19:13:47.843300+00:00 (52 picks)
    Event 39: 2019-07-04T19:14:02.648300+00:00 (2 picks)
    Event 40: 2019-07-04T19:14:37.218300+00:00 (10 picks)
    Event 41: 2019-07-04T19:15:03.383300+00:00 (36 picks)
    Event 42: 2019-07-04T19:15:07.463300+00:00 (140 picks)
    Event 43: 2019-07-04T19:15:23.498300+00:00 (14 picks)
    Event 44: 2019-07-04T19:15:49.298300+00:00 (4 picks)
    Event 45: 2019-07-04T19:16:12.903300+00:00 (184 picks)
    Event 46: 2019-07-04T19:16:25.588300+00:00 (8 picks)
    Event 47: 2019-07-04T19:17:04.718300+00:00 (212 picks)
    Event 48: 2019-07-04T19:17:55.998300+00:00 (30 picks)
    Event 49: 2019-07-04T19:17:59.668300+00:00 (98 picks)
    Event 50: 2019-07-04T19:18:12.028300+00:00 (6 picks)
    Event 51: 2019-07-04T19:18:33.658300+00:00 (6 picks)
    Event 52: 2019-07-04T19:18:57.898300+00:00 (50 picks)
    Event 53: 2019-07-04T19:19:35.638300+00:00 (34 picks)
    Event 54: 2019-07-04T19:19:45.518300+00:00 (12 picks)
    Event 55: 2019-07-04T19:20:08.665000+00:00 (120 picks)
    Event 56: 2019-07-04T19:20:31.358100+00:00 (72 picks)
    Event 57: 2019-07-04T19:20:39.510000+00:00 (8 picks)
    Event 58: 2019-07-04T19:20:59.048300+00:00 (150 picks)
    Event 59: 2019-07-04T19:21:15.018300+00:00 (6 picks)
    Event 60: 2019-07-04T19:21:39.913300+00:00 (136 picks)
    Event 61: 2019-07-04T19:23:13.473300+00:00 (24 picks)
    Event 62: 2019-07-04T19:23:36.888300+00:00 (6 picks)
    Event 63: 2019-07-04T19:23:51.588300+00:00 (42 picks)
    Event 64: 2019-07-04T19:24:07.579150+00:00 (48 picks)
    Event 65: 2019-07-04T19:24:24.523300+00:00 (12 picks)
    Event 66: 2019-07-04T19:24:50.998300+00:00 (46 picks)
    Event 67: 2019-07-04T19:25:00.338300+00:00 (38 picks)
