New Terminal Output:
file_name,phase,pick_idx
BG.ACR..DP.0215954.npz,P,3979
BG.ACR..DP.0215954.npz,P,5991
BG.ACR..DP.0215954.npz,S,6049
BG.ACR..DP.0346833.npz,P,834
BG.ACR..DP.0346833.npz,P,5754
BG.ACR..DP.0346833.npz,P,5985
BG.ACR..DP.0346833.npz,S,6051
BG.AL6..DP.0301915.npz,P,270
BG.AL6..DP.0301915.npz,P,5989
BG.AL6..DP.0301915.npz,S,6108
BG.BRP..DP.0414480.npz,P,5999
BG.BRP..DP.0414480.npz,S,6120
BG.DRK..DP.0351524.npz,S,2422
BG.DRK..DP.0351524.npz,P,5985
BG.DRK..DP.0351524.npz,S,6091
BG.EPR..DP.0252305.npz,P,1960
BG.EPR..DP.0252305.npz,P,5994
BG.EPR..DP.0252305.npz,S,6172
BG.HER..DP.0254197.npz,P,1967

---

PG.LM..EH.0170871.npz,S,6485
PG.LMD..EH.0259174.npz,P,5999
PG.LMD..EH.0259174.npz,S,6200
PG.PB..EH.0163793.npz,P,5999
PG.PB..EH.0163793.npz,S,6313
PG.WRD..EH.0309999.npz,S,552
PG.WRD..EH.0309999.npz,P,5997
PG.WRD..EH.0309999.npz,S,6524
TA.P01C..BH.0201171.npz,P,5995
TA.P01C..BH.0201171.npz,S,6232
