New Terminal Output:
Shape: 720x1280
Frame 0: 0 pixels, valid CSR
Frame 1: 153206 pixels, valid CSR
Frame 2: 165577 pixels, valid CSR
Frame 3: 173666 pixels, valid CSR
Frame 4: 190755 pixels, valid CSR
Frame 5: 182260 pixels, valid CSR
Frame 6: 167844 pixels, valid CSR
Frame 7: 186947 pixels, valid CSR
Frame 8: 171857 pixels, valid CSR
Frame 9: 179052 pixels, valid CSR
Frame 10: 184040 pixels, valid CSR
Frame 11: 186844 pixels, valid CSR
Frame 12: 136637 pixels, valid CSR
Frame 13: 136178 pixels, valid CSR
Frame 14: 177151 pixels, valid CSR
Frame 15: 139846 pixels, valid CSR
Frame 16: 144242 pixels, valid CSR
Frame 17: 153473 pixels, valid CSR
Frame 18: 132089 pixels, valid CSR
Frame 19: 151928 pixels, valid CSR
Frame 20: 135532 pixels, valid CSR

All frames validated successfully!
