New Terminal Output:
All data in Data sheet:
Row 1: Name | Sex: Sex | BW: BodyweightKg | Sq: Best3SquatKg | BP: Best3BenchKg | DL: Best3DeadliftKg
Row 2: Julien Comte | Sex: M | BW: 82.25 | Sq: 215 | BP: 132.5 | DL: 260
Row 3: Matthew Starkey | Sex: M | BW: 82.9 | Sq: 205 | BP: 130 | DL: 227.5
Row 4: Austin Keanu | Sex: M | BW: 122.4 | Sq: 275 | BP: 142.5 | DL: 235
Row 5: Michelle McKeaveney | Sex: F | BW: 96.8 | Sq: 102.5 | BP: 50 | DL: 137.5
Row 6: Tracy Klinger | Sex: F | BW: 130.82 | Sq: 62.5 | BP: 57.5 | DL: 117.5
Row 7: Mohanad Ibrahiem | Sex: M | BW: 103.94 | Sq: 255 | BP: 165 | DL: 292.5
Row 8: Pamela Cresci | Sex: F | BW: 58.2 | Sq: 82.5 | BP: 47.5 | DL: 130
Row 9: Wilie Carpentier | Sex: M | BW: 81.8 | Sq: 200 | BP: 130 | DL: 237.5
Row 10: Joshua Noble | Sex: M | BW: 90.5 | Sq: 242.5 | BP: 132.5 | DL: 232.5
Row 11: Amber Gomez | Sex: F | BW: 75.9 | Sq: 137.5 | BP: 75 | DL: 167.5
Row 12: Arlene van Diepen | Sex: F | BW: 79.3 | Sq: 107.5 | BP: 50 | DL: 140
Row 13: Alma Kimura | Sex: F | BW: 61.81 | Sq: 107.5 | BP: 52.5 | DL: 130
Row 14: Jonathan Cruz #1 | Sex: M | BW: 72.5 | Sq: 245 | BP: 152.5 | DL: 290
Row 15: Serena Abweh | Sex: F | BW: 46.1 | Sq: 82.5 | BP: 52.5 | DL: 125.5
Row 16: Ashleigh Sutton | Sex: F | BW: 74.2 | Sq: 170 | BP: 85 | DL: 197.5
Row 17: Aaron Ziffle | Sex: M | BW: 92.8 | Sq: 255 | BP: 182.5 | DL: 245
Row 18: Adelaide Hurlbert | Sex: F | BW: 61.8 | Sq: 87.5 | BP: 57.5 | DL: 110
Row 19: Coralee Traurig | Sex: F | BW: 71.1 | Sq: 107.5 | BP: 65 | DL: 115
Row 20: Hugo Laliberté | Sex: M | BW: 80.2 | Sq: 162.5 | BP: 102.5 | DL: 205
Row 21: Curtis Laird | Sex: M | BW: 108.98 | Sq: 226.8 | BP: 165.56 | DL: 242.67
