New Terminal Output:
=== DATA SHEET ===
Dimensions: A1:R47
Row 1: ['Database -->', 'ID:WEO_PUBLI', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row 4: ['Database', 'Series_code', 'Country', 'Indicator', 'Indicator.Na', 'Frequency', 'Scale', '2018', '2019', '2020', '2021', '2022', '2023', '', '', '', '', '', '']
Row 6: ['=$B$1', '686NGDP.A', 'Morocco', 'NGDP', 'Gross domest', 'Annual', 'Billions', '1195.237', '1239.836', '1152.477', '1274.727', '1330.158', '1454.3763178', '', '', '', '', '', '']
Row 7: ['=$B$1', '686NGDP_R.A', 'Morocco', 'NGDP_R', 'Gross domest', 'Annual', 'Billions', '1137.368', '1170.249', '1086.246', '1173.374', '1188.142', '1223.9859287', '', '', '', '', '', '']
Row 8: ['=$B$1', '686NCP_R.A', 'Morocco', 'NCP_R', 'Private cons', 'Annual', 'Billions', '686.169', '701.101', '661.815', '708.411', '704.34', '707.87466855', '', '', '', '', '', '']
Row 9: ['=$B$1', '686NCG_R.A', 'Morocco', 'NCG_R', 'Public consu', 'Annual', 'Billions', '212.191', '222.274', '221.051', '236.957', '244.846', '252.24363485', '', '', '', '', '', '']
Row 10: ['=$B$1', '686NFI_R.A', 'Morocco', 'NFI_R', 'Gross fixed ', 'Annual', 'Billions', '326.657', '332.15', '298.94', '321.522', '314.578', '324.35771575', '', '', '', '', '', '']
Row 11: ['=$B$1', '686NINV_R.A', 'Morocco', 'NINV_R', 'Changes in i', 'Annual', 'Billions', '52.749', '46.024', '33.636', '61.551', '39.787', '44.566908', '', '', '', '', '', '']
Row 12: ['=$B$1', '686NX_R.A', 'Morocco', 'NX_R', 'Exports of g', 'Annual', 'Billions', '386.928', '406.766', '345.803', '373.196', '449.408', '505.95754735', '', '', '', '', '', '']
Row 13: ['=$B$1', '686NM_R.A', 'Morocco', 'NM_R', 'Imports of g', 'Annual', 'Billions', '533.734', '545.103', '480.305', '530.274', '578.078', '624.64715455', '', '', '', '', '', '']
Row 14: ['=$B$1', '686ENDA.A', 'Morocco', 'ENDA', 'National cur', 'Annual', 'Units', '9.3861024209', '9.6170760995', '9.4968473222', '8.9884840241', '10.160660243', '10.102416666', '', '', '', '', '', '']
Row 15: ['=$B$1', '686ENDE.A', 'Morocco', 'ENDE', 'National cur', 'Annual', 'Units', '9.5655', '9.5932', '8.9048', '9.2804', '10.448', '10.0311', '', '', '', '', '', '']
Row 16: ['=$B$1', '686PCPI.A', 'Morocco', 'PCPI', 'Consumer Pri', 'Annual', 'Units', '101.6', '101.8', '102.5', '103.9', '110.8', '117.6', '', '', '', '', '', '']
Row 17: ['=$B$1', '686PCPIE.A', 'Morocco', 'PCPIE', 'Consumer Pri', 'Annual', 'Units', '101.4', '102.5', '102.2', '105.5', '114.3', '118.2', '', '', '', '', '', '']
Row 18: ['=$B$1', '686FIDR.A', 'Morocco', 'FIDR', 'Short-term i', 'Annual', 'Units', '3.09', '3.09', '2.5', '2.5', '2.5', '2.5', '', '', '', '', '', '']
Row 21: ['=$B$1', '419BXGS_BP6.', 'Bahrain', 'BXGS_BP6', 'Balance of P', 'Annual', 'Billions', '29.959042553', '29.564361702', '25.249202127', '35.234574468', '44.581914893', '39.718617883', '', '', '', '', '', '']
Row 22: ['=$B$1', '443BXGS_BP6.', 'Kuwait', 'BXGS_BP6', 'Balance of P', 'Annual', 'Billions', '79.463684437', '73.329911592', '48.546003755', '76.737517335', '110.95132081', '95.670966334', '', '', '', '', '', '']
Row 23: ['=$B$1', '449BXGS_BP6.', 'Oman', 'BXGS_BP6', 'Balance of P', 'Annual', 'Billions', '46.321366928', '43.546596596', '35.691352884', '46.572312960', '69.701179652', '62.710422972', '', '', '', '', '', '']
Row 24: ['=$B$1', '453BXGS_BP6.', 'Qatar', 'BXGS_BP6', 'Balance of P', 'Annual', 'Billions', '102.56098901', '92.046153846', '70.933241758', '105.54945054', '161.69285714', '139.67949184', '', '', '', '', '', '']
Row 25: ['=$B$1', '456BXGS_BP6.', 'Saudi Arabia', 'BXGS_BP6', 'Balance of P', 'Annual', 'Billions', '314.9165', '285.8599', '182.8481', '286.5016', '445.8812', '366.98801401', '', '', '', '', '', '']
Row 26: ['=$B$1', '466BXGS_BP6.', 'United Arab ', 'BXGS_BP6', 'Balance of P', 'Annual', 'Billions', '408.49653980', '404.04628999', '350.27910142', '425.13274336', '515.27900871', '540.78417518', '', '', '', '', '', '']
Row 28: ['=$B$1', '419BMGS_BP6.', 'Bahrain', 'BMGS_BP6', 'Balance of P', 'Annual', 'Billions', '27.048670212', '25.207712765', '23.296808510', '27.577393617', '33.068882978', '31.984470084', '', '', '', '', '', '']
Row 29: ['=$B$1', '443BMGS_BP6.', 'Kuwait', 'BMGS_BP6', 'Balance of P', 'Annual', 'Billions', '63.056270078', '55.817553528', '42.530818842', '44.916045549', '55.923097440', '61.852011504', '', '', '', '', '', '']
Row 30: ['=$B$1', '449BMGS_BP6.', 'Oman', 'BMGS_BP6', 'Balance of P', 'Annual', 'Billions', '35.600412262', '32.568555250', '33.827095340', '37.215737451', '46.325891329', '46.584549407', '', '', '', '', '', '']
Row 31: ['=$B$1', '453BMGS_BP6.', 'Qatar', 'BMGS_BP6', 'Balance of P', 'Annual', 'Billions', '65.810989010', '66.769780219', '59.064560439', '61.204395604', '74.520054945', '75.344216850', '', '', '', '', '', '']
Row 32: ['=$B$1', '456BMGS_BP6.', 'Saudi Arabia', 'BMGS_BP6', 'Balance of P', 'Annual', 'Billions', '209.0688', '218.9747', '182.1837', '213.5156', '258.2128', '290.47286025', '', '', '', '', '', '']
Row 33: ['=$B$1', '466BMGS_BP6.', 'United Arab ', 'BMGS_BP6', 'Balance of P', 'Annual', 'Billions', '322.57349892', '321.52484683', '273.68277739', '320.40844111', '389.65207624', '424.04805462', '', '', '', '', '', '']
Row 35: ['=$B$1', '419NGDPD.A', 'Bahrain', 'NGDPD', 'Gross domest', 'Annual', 'Billions', '37.801941489', '38.653776595', '34.621728723', '39.288696808', '44.383297872', '44.674285110', '', '', '', '', '', '']
Row 36: ['=$B$1', '443NGDPD.A', 'Kuwait', 'NGDPD', 'Gross domest', 'Annual', 'Billions', '138.21143506', '138.69477983', '107.51571556', '141.77312684', '182.84628741', '161.78358724', '', '', '', '', '', '']
Row 37: ['=$B$1', '449NGDPD.A', 'Oman', 'NGDPD', 'Gross domest', 'Annual', 'Billions', '91.505397927', '88.060684998', '75.908712613', '88.191937581', '114.66684005', '109.13349311', '', '', '', '', '', '']
Row 38: ['=$B$1', '453NGDPD.A', 'Qatar', 'NGDPD', 'Gross domest', 'Annual', 'Billions', '183.33495381', '176.37126768', '144.41136334', '179.73214285', '236.25824175', '234.21758949', '', '', '', '', '', '']
Row 39: ['=$B$1', '456NGDPD.A', 'Saudi Arabia', 'NGDPD', 'Gross domest', 'Annual', 'Billions', '846.58426666', '838.56373333', '734.2712', '874.156', '1108.572', '1067.5834666', '', '', '', '', '', '']
Row 40: ['=$B$1', '466NGDPD.A', 'United Arab ', 'NGDPD', 'Gross domest', 'Annual', 'Billions', '427.04942137', '417.98965282', '349.47311095', '415.17876106', '507.06385296', '504.17335900', '', '', '', '', '', '']
Row 42: ['=$B$1', '419GGXWDG_GD', 'Bahrain', 'GGXWDG_GDP', 'General gove', 'Annual', 'Units', '94.607031469', '101.63486268', '130.11494288', '127.12978057', '116.86703115', '124.59575248', '', '', '', '', '', '']
Row 43: ['=$B$1', '443GGXWDG_GD', 'Kuwait', 'GGXWDG_GDP', 'General gove', 'Annual', 'Units', '14.335351811', '10.715583345', '10.600170088', '7.5760941493', '2.9471969477', '3.1794591845', '', '', '', '', '', '']
Row 44: ['=$B$1', '449GGXWDG_GD', 'Oman', 'GGXWDG_GDP', 'General gove', 'Annual', 'Units', '44.690990178', '52.463820831', '67.902171522', '61.264498463', '39.805521596', '36.374976895', '', '', '', '', '', '']
Row 45: ['=$B$1', '453GGXWDG_GD', 'Qatar', 'GGXWDG_GDP', 'General gove', 'Annual', 'Units', '52.177360983', '62.087434670', '72.610416437', '58.389697733', '42.473080769', '39.411084583', '', '', '', '', '', '']
Row 46: ['=$B$1', '456GGXWDG_GD', 'Saudi Arabia', 'GGXWDG_GDP', 'General gove', 'Annual', 'Units', '17.638913519', '21.559530041', '31.000607587', '28.616026711', '23.933205970', '26.227457500', '', '', '', '', '', '']
Row 47: ['=$B$1', '466GGXWDG_GD', 'United Arab ', 'GGXWDG_GDP', 'General gove', 'Annual', 'Units', '21.329189122', '26.801074398', '41.085814336', '35.885153787', '31.082122817', '30.858265947', '', '', '', '', '', '']
