New Terminal Output:
Running multi-parameter optimization...
Testing combinations of sw_factor and coef_wind_stir...

  sw_factor=0.6, coef_wind_stir=0.15... RMSE=6.2143
  sw_factor=0.6, coef_wind_stir=0.18... RMSE=6.2149
  sw_factor=0.6, coef_wind_stir=0.2... RMSE=6.2124
    ✓ Improved! New best RMSE: 6.2124
  sw_factor=0.6, coef_wind_stir=0.25... RMSE=6.2138
  sw_factor=0.65, coef_wind_stir=0.15... RMSE=6.3825
  sw_factor=0.65, coef_wind_stir=0.18... RMSE=6.3842
  sw_factor=0.65, coef_wind_stir=0.2... RMSE=6.3845
  sw_factor=0.65, coef_wind_stir=0.25... RMSE=6.3859
  sw_factor=0.7, coef_wind_stir=0.15... RMSE=6.5735
  sw_factor=0.7, coef_wind_stir=0.18... RMSE=6.5745
  sw_factor=0.7, coef_wind_stir=0.2... RMSE=6.5742
  sw_factor=0.7, coef_wind_stir=0.25... RMSE=6.5737
  sw_factor=0.75, coef_wind_stir=0.15... RMSE=6.7837
  sw_factor=0.75, coef_wind_stir=0.18... RMSE=6.7833
  sw_factor=0.75, coef_wind_stir=0.2... RMSE=6.7822
  sw_factor=0.75, coef_wind_stir=0.25... RMSE=6.7849

Best combination: {'sw_factor': 0.6, 'coef_wind_stir': 0.2} with RMSE: 6.2124
