New Terminal Output:
Multi-parameter optimization: cd + sw_factor + mixing params...

[1/27] cd=0.006, sw_factor=0.5, coef_mix_turb=0.5... RMSE=5.3858
[2/27] cd=0.006, sw_factor=0.5, coef_mix_turb=0.7... RMSE=5.3859
[3/27] cd=0.006, sw_factor=0.5, coef_mix_turb=0.9... RMSE=5.3858
[4/27] cd=0.006, sw_factor=0.6, coef_mix_turb=0.5... RMSE=5.2993
[5/27] cd=0.006, sw_factor=0.6, coef_mix_turb=0.7... RMSE=5.2992
[6/27] cd=0.006, sw_factor=0.6, coef_mix_turb=0.9... RMSE=5.2992
[7/27] cd=0.006, sw_factor=0.7, coef_mix_turb=0.5... RMSE=5.2492
[8/27] cd=0.006, sw_factor=0.7, coef_mix_turb=0.7... RMSE=5.2507
[9/27] cd=0.006, sw_factor=0.7, coef_mix_turb=0.9... RMSE=5.2508
[10/27] cd=0.008, sw_factor=0.5, coef_mix_turb=0.5... RMSE=5.4109
[11/27] cd=0.008, sw_factor=0.5, coef_mix_turb=0.7... RMSE=5.4114
[12/27] cd=0.008, sw_factor=0.5, coef_mix_turb=0.9... RMSE=5.4114
[13/27] cd=0.008, sw_factor=0.6, coef_mix_turb=0.5... RMSE=5.2974
[14/27] cd=0.008, sw_factor=0.6, coef_mix_turb=0.7... RMSE=5.2971
[15/27] cd=0.008, sw_factor=0.6, coef_mix_turb=0.9... RMSE=5.2972
[16/27] cd=0.008, sw_factor=0.7, coef_mix_turb=0.5... RMSE=5.2243
    ✓ Improved! New best RMSE: 5.2243
[17/27] cd=0.008, sw_factor=0.7, coef_mix_turb=0.7... RMSE=5.2244
[18/27] cd=0.008, sw_factor=0.7, coef_mix_turb=0.9... RMSE=5.2235
    ✓ Improved! New best RMSE: 5.2235
[19/27] cd=0.01, sw_factor=0.5, coef_mix_turb=0.5... RMSE=5.4367
[20/27] cd=0.01, sw_factor=0.5, coef_mix_turb=0.7... RMSE=5.4366
[21/27] cd=0.01, sw_factor=0.5, coef_mix_turb=0.9... RMSE=5.4367
[22/27] cd=0.01, sw_factor=0.6, coef_mix_turb=0.5... RMSE=5.3299
[23/27] cd=0.01, sw_factor=0.6, coef_mix_turb=0.7... RMSE=5.3298
[24/27] cd=0.01, sw_factor=0.6, coef_mix_turb=0.9... RMSE=5.3298
[25/27] cd=0.01, sw_factor=0.7, coef_mix_turb=0.5... RMSE=5.2486
[26/27] cd=0.01, sw_factor=0.7, coef_mix_turb=0.7... RMSE=5.2481
[27/27] cd=0.01, sw_factor=0.7, coef_mix_turb=0.9... RMSE=5.2540

Best config: {'cd': 0.008, 'sw_factor': 0.7, 'coef_mix_turb': 0.9}
Best RMSE: 5.2235
