New Terminal Output:
=== VENDORS DATA ===
Headers: ('id', 'name', 'iban')
Row 2: ('V001', 'Vendor 1', 'IBAN000000001')
Row 3: ('V002', 'Vendor 2', 'IBAN000000002')
Row 4: ('V003', 'Vendor 3', 'IBAN000000003')
Row 5: ('V004', 'Vendor 4', 'IBAN000000004')
Row 6: ('V005', 'Vendor 5', 'IBAN000000005')
Row 7: ('V006', 'Vendor 6', 'IBAN000000006')
Row 8: ('V007', 'Vendor 7', 'IBAN000000007')
Row 9: ('V008', 'Vendor 8', 'IBAN000000008')
Row 10: ('V009', 'Vendor 9', 'IBAN000000009')
Row 11: ('V010', 'Vendor 10', 'IBAN000000010')
Row 12: ('V011', 'Vendor 11', 'IBAN000000011')
Row 13: ('V012', 'Vendor 12', 'IBAN000000012')
Row 14: ('V013', 'Vendor 13', 'IBAN000000013')
Row 15: ('V014', 'Vendor 14', 'IBAN000000014')
Row 16: ('V015', 'Vendor 15', 'IBAN000000015')
Row 17: ('V016', 'Vendor 16', 'IBAN000000016')
Row 18: ('V017', 'Vendor 17', 'IBAN000000017')
Row 19: ('V018', 'Vendor 18', 'IBAN000000018')
Row 20: ('V019', 'Vendor 19', 'IBAN000000019')
Row 21: ('V020', 'Vendor 20', 'IBAN000000020')
Row 22: ('V021', 'Vendor 21', 'IBAN000000021')
Row 23: ('V022', 'Vendor 22', 'IBAN000000022')
Row 24: ('V023', 'Vendor 23', 'IBAN000000023')
Row 25: ('V024', 'Vendor 24', 'IBAN000000024')
Row 26: ('V025', 'Vendor 25', 'IBAN000000025')
Row 27: ('V026', 'Vendor 26', 'IBAN000000026')
Row 28: ('V027', 'Vendor 27', 'IBAN000000027')
Row 29: ('V028', 'Vendor 28', 'IBAN000000028')
Row 30: ('V029', 'Vendor 29', 'IBAN000000029')
Row 31: ('V030', 'Vendor 30', 'IBAN000000030')
Row 32: ('V031', 'Vendor 31', 'IBAN000000031')
Row 33: ('V032', 'Vendor 32', 'IBAN000000032')
Row 34: ('V033', 'Vendor 33', 'IBAN000000033')
Row 35: ('V034', 'Vendor 34', 'IBAN000000034')
Row 36: ('V035', 'Vendor 35', 'IBAN000000035')
Row 37: ('V036', 'Vendor 36', 'IBAN000000036')
Row 38: ('V037', 'Vendor 37', 'IBAN000000037')
Row 39: ('V038', 'Vendor 38', 'IBAN000000038')
Row 40: ('V039', 'Vendor 39', 'IBAN000000039')
Row 41: ('V040', 'Vendor 40', 'IBAN000000040')
Row 42: ('V041', 'Vendor 41', 'IBAN000000041')
Row 43: ('V042', 'Vendor 42', 'IBAN000000042')
