New Terminal Output:
City center: (24, 15)

Analyzing adjacent tiles for district placement:
  (22, 12) dist=3: TERRAIN_GRASS
  (23, 12) dist=3: TERRAIN_GRASS
  (24, 12) dist=3: TERRAIN_GRASS
  (25, 12) dist=3: TERRAIN_GRASS
  (26, 12) dist=3: TERRAIN_GRASS
  (21, 13) dist=3: TERRAIN_GRASS
  (22, 13) dist=2: TERRAIN_GRASS
  (23, 13) dist=2: TERRAIN_GRASS
  (24, 13) dist=2: TERRAIN_GRASS
  (25, 13) dist=2: TERRAIN_GRASS
  (26, 13) dist=2: TERRAIN_GRASS
  (21, 14) dist=3: TERRAIN_GRASS
  (22, 14) dist=2: TERRAIN_GRASS
  (23, 14) dist=1: TERRAIN_PLAINS
  (24, 14) dist=1: TERRAIN_GRASS
  (25, 14) dist=1: TERRAIN_GRASS
  (26, 14) dist=2: TERRAIN_GRASS
  (27, 14) dist=3: TERRAIN_GRASS
  (22, 15) dist=2: TERRAIN_GRASS
  (23, 15) dist=1: TERRAIN_PLAINS
  (25, 15) dist=1: TERRAIN_GRASS
  (26, 15) dist=2: TERRAIN_GRASS
  (22, 16) dist=2: TERRAIN_GRASS
  (23, 16) dist=1: TERRAIN_PLAINS
  (24, 16) dist=1: TERRAIN_GRASS
  (25, 16) dist=1: TERRAIN_GRASS
  (26, 16) dist=2: TERRAIN_GRASS
  (22, 17) dist=2: TERRAIN_PLAINS
  (23, 17) dist=2: TERRAIN_GRASS
  (24, 17) dist=2: TERRAIN_GRASS
  (25, 17) dist=2: TERRAIN_GRASS

Total candidate tiles for districts: 31
Distance 1: 8 tiles
Distance 2: 15 tiles
Distance 3: 8 tiles
